strategy_id,strategy_name,redesign_priority,redesign_theme,required_evidence_before_next_execution_expansion
S10,Passive market making,exclude,Do not redesign as alpha in this lane.,None for alpha promotion; maintain only if execution/risk plumbing remains useful.
S11,Spoof-like wall filter,exclude,Do not redesign as alpha in this lane.,None for alpha promotion; maintain only if execution/risk plumbing remains useful.
S01,Momentum/breakout filtered by MLOFI,low,Do not iterate current signal without a materially new hypothesis.,A new signal thesis that forecasts beyond spread and fee hurdle before full execution replay.
S02,Pure multi-level OFI directional model,low,Do not iterate current signal without a materially new hypothesis.,A new signal thesis that forecasts beyond spread and fee hurdle before full execution replay.
S03,Liquidity-vacuum breakout,medium,Replace weak market-by-price proxy labels with acceptance-grade event labels before more replay expansion.,"Multi-day Class B labels, timestamp-skew/common-shock controls, and broker/exchange fill-cost reconciliation."
S04,Trade-flow plus depth confirmation,medium,Replace weak market-by-price proxy labels with acceptance-grade event labels before more replay expansion.,"Multi-day Class B labels, timestamp-skew/common-shock controls, and broker/exchange fill-cost reconciliation."
S05,Microprice entry/exit filter,medium,"Cost-aware trigger redesign around the tiny zero-latency edge; explicitly test whether edge survives spread, latency, and Zerodha charges.","New event-level feature definition, charged retail/stressed replay, and multi-day real tick validation."
S06,Absorption and exhaustion reversal,medium,Replace weak market-by-price proxy labels with acceptance-grade event labels before more replay expansion.,"Multi-day Class B labels, timestamp-skew/common-shock controls, and broker/exchange fill-cost reconciliation."
S07,Mean reversion after imbalance,medium,"Cost-aware trigger redesign around the tiny zero-latency edge; explicitly test whether edge survives spread, latency, and Zerodha charges.","New event-level feature definition, charged retail/stressed replay, and multi-day real tick validation."
S08,Cross-ticker/index lead-lag OFI,medium,Replace weak market-by-price proxy labels with acceptance-grade event labels before more replay expansion.,"Multi-day Class B labels, timestamp-skew/common-shock controls, and broker/exchange fill-cost reconciliation."
S09,Pure queue-imbalance scalping,medium,"Cost-aware trigger redesign around the tiny zero-latency edge; explicitly test whether edge survives spread, latency, and Zerodha charges.","New event-level feature definition, charged retail/stressed replay, and multi-day real tick validation."
