strategy_id,evidence_scope,phase25_profile_rows,phase25_trades,phase25_best_mean_net_return,phase25_positive_after_cost_rows,phase25_acceptance_ready_rows,phase26_variant_profile_rows,phase26_realistic_positive_rows,phase26_zero_latency_positive_control_rows,phase26_salvage_candidate_rows,phase27_candidate_profile_rows,phase27_realistic_cost_clearing_rows,phase28_proxy_rows,phase29_profile_rows,phase29_trades,phase29_realistic_positive_rows,phase29_proxy_candidate_rows,acceptance_ready_rows,evidence_note,total_execution_profile_rows,total_replay_trades_directly_attributed,realistic_positive_execution_rows,candidate_rows,source_totals_note
S01,runnable_proxy_event_replay_salvage_feature_edge,3,4377,-0.0004848580471773,0,0,72,0,0,0,336,0,0,0,0,0,0,0,Phase25 direct event replay found no positive strategy/profile rows; Phase26 found no realistic salvage rows; Phase27 found no feature family clearing costs.,411,4377,0,0,"Workspace-level execution totals: Phase25=113848, Phase26=542406, Phase27=1213296, Phase28_proxy_labels=290162, Phase29=742623."
S02,runnable_proxy_event_replay_salvage_feature_edge,3,27321,-0.0003359158195518,0,0,72,0,0,0,336,0,0,0,0,0,0,0,Phase25 direct event replay found no positive strategy/profile rows; Phase26 found no realistic salvage rows; Phase27 found no feature family clearing costs.,411,27321,0,0,"Workspace-level execution totals: Phase25=113848, Phase26=542406, Phase27=1213296, Phase28_proxy_labels=290162, Phase29=742623."
S03,partial_proxy_label_replay,0,0,,0,0,0,0,0,0,0,0,47449,3,22469,0,0,0,"Phase28 engineered weak proxy labels; Phase29 replay found no positive rows after costs and no proxy candidates, so labels are diagnostic only.",3,22469,0,0,"Workspace-level execution totals: Phase25=113848, Phase26=542406, Phase27=1213296, Phase28_proxy_labels=290162, Phase29=742623."
S04,partial_proxy_label_replay,0,0,,0,0,0,0,0,0,0,0,38481,3,112654,0,0,0,"Phase28 engineered weak proxy labels; Phase29 replay found no positive rows after costs and no proxy candidates, so labels are diagnostic only.",3,112654,0,0,"Workspace-level execution totals: Phase25=113848, Phase26=542406, Phase27=1213296, Phase28_proxy_labels=290162, Phase29=742623."
S05,runnable_proxy_event_replay_salvage_feature_edge,3,8475,-0.0009746550000831,0,0,48,0,2,0,336,0,0,0,0,0,0,0,Phase25 direct event replay found no positive strategy/profile rows; Phase26 found no realistic salvage rows; Phase27 found no feature family clearing costs.,387,8475,0,0,"Workspace-level execution totals: Phase25=113848, Phase26=542406, Phase27=1213296, Phase28_proxy_labels=290162, Phase29=742623."
S06,partial_proxy_label_replay,0,0,,0,0,0,0,0,0,0,0,71244,3,208728,0,0,0,"Phase28 engineered weak proxy labels; Phase29 replay found no positive rows after costs and no proxy candidates, so labels are diagnostic only.",3,208728,0,0,"Workspace-level execution totals: Phase25=113848, Phase26=542406, Phase27=1213296, Phase28_proxy_labels=290162, Phase29=742623."
S07,runnable_proxy_event_replay_salvage_feature_edge,3,6355,-0.0008731827160589,0,0,42,0,10,0,336,0,0,0,0,0,0,0,Phase25 direct event replay found no positive strategy/profile rows; Phase26 found no realistic salvage rows; Phase27 found no feature family clearing costs.,381,6355,0,0,"Workspace-level execution totals: Phase25=113848, Phase26=542406, Phase27=1213296, Phase28_proxy_labels=290162, Phase29=742623."
S08,partial_proxy_label_replay,0,0,,0,0,0,0,0,0,0,0,132988,3,398772,0,0,0,"Phase28 engineered weak proxy labels; Phase29 replay found no positive rows after costs and no proxy candidates, so labels are diagnostic only.",3,398772,0,0,"Workspace-level execution totals: Phase25=113848, Phase26=542406, Phase27=1213296, Phase28_proxy_labels=290162, Phase29=742623."
S09,runnable_proxy_event_replay_salvage_feature_edge,3,8475,-0.0009819207901266,0,0,48,0,5,0,336,0,0,0,0,0,0,0,Phase25 direct event replay found no positive strategy/profile rows; Phase26 found no realistic salvage rows; Phase27 found no feature family clearing costs.,387,8475,0,0,"Workspace-level execution totals: Phase25=113848, Phase26=542406, Phase27=1213296, Phase28_proxy_labels=290162, Phase29=742623."
S10,non_alpha_control_or_risk_filter,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Classified as research/risk plumbing, not an alpha candidate for promotion.",0,0,0,0,"Workspace-level execution totals: Phase25=113848, Phase26=542406, Phase27=1213296, Phase28_proxy_labels=290162, Phase29=742623."
S11,non_alpha_control_or_risk_filter,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Classified as research/risk plumbing, not an alpha candidate for promotion.",0,0,0,0,"Workspace-level execution totals: Phase25=113848, Phase26=542406, Phase27=1213296, Phase28_proxy_labels=290162, Phase29=742623."
