trade_date,exchange,symbol,share,file_path_redacted,local_path,status,bytes_written,secret_material_recorded
2026-08-03,NSE,AXISBANK,ctrade1-l2-data,raw_l2/trade_date=2026-08-03/exchange=NSE/symbol=AXISBANK/part-REDACTED.parquet,real_data_sample\l2_unseen_validation\trade_date=2026-08-03\exchange=NSE\symbol=AXISBANK\part-054836_938862-016898.parquet,existing,34797,0
2026-08-03,NSE,ADANIPORTS,ctrade1-l2-data,raw_l2/trade_date=2026-08-03/exchange=NSE/symbol=ADANIPORTS/part-REDACTED.parquet,real_data_sample\l2_unseen_validation\trade_date=2026-08-03\exchange=NSE\symbol=ADANIPORTS\part-053029_813019-014401.parquet,existing,34659,0
2026-08-03,NSE,AXISBANK,ctrade1-l2-data,raw_l2/trade_date=2026-08-03/exchange=NSE/symbol=AXISBANK/part-REDACTED.parquet,real_data_sample\l2_unseen_validation\trade_date=2026-08-03\exchange=NSE\symbol=AXISBANK\part-092639_946033-046146.parquet,existing,35707,0
2026-08-03,NSE,ADANIPORTS,ctrade1-l2-data,raw_l2/trade_date=2026-08-03/exchange=NSE/symbol=ADANIPORTS/part-REDACTED.parquet,real_data_sample\l2_unseen_validation\trade_date=2026-08-03\exchange=NSE\symbol=ADANIPORTS\part-041104_564382-003585.parquet,existing,34671,0
2026-08-03,NSE,AXISBANK,ctrade1-l2-data,raw_l2/trade_date=2026-08-03/exchange=NSE/symbol=AXISBANK/part-REDACTED.parquet,real_data_sample\l2_unseen_validation\trade_date=2026-08-03\exchange=NSE\symbol=AXISBANK\part-060620_931698-019330.parquet,existing,34679,0
2026-08-03,NSE,AXISBANK,ctrade1-l2-data,raw_l2/trade_date=2026-08-03/exchange=NSE/symbol=AXISBANK/part-REDACTED.parquet,real_data_sample\l2_unseen_validation\trade_date=2026-08-03\exchange=NSE\symbol=AXISBANK\part-091111_210706-044098.parquet,existing,34580,0
2026-08-03,NSE,AXISBANK,ctrade1-l2-data,raw_l2/trade_date=2026-08-03/exchange=NSE/symbol=AXISBANK/part-REDACTED.parquet,real_data_sample\l2_unseen_validation\trade_date=2026-08-03\exchange=NSE\symbol=AXISBANK\part-084449_188718-040578.parquet,existing,35825,0
2026-08-03,NSE,ADANIPORTS,ctrade1-l2-data,raw_l2/trade_date=2026-08-03/exchange=NSE/symbol=ADANIPORTS/part-REDACTED.parquet,real_data_sample\l2_unseen_validation\trade_date=2026-08-03\exchange=NSE\symbol=ADANIPORTS\part-062824_564480-022305.parquet,existing,34702,0
2026-08-03,NSE,AXISBANK,ctrade1-l2-data,raw_l2/trade_date=2026-08-03/exchange=NSE/symbol=AXISBANK/part-REDACTED.parquet,real_data_sample\l2_unseen_validation\trade_date=2026-08-03\exchange=NSE\symbol=AXISBANK\part-054823_172823-016866.parquet,existing,34711,0
2026-08-03,NSE,AXISBANK,ctrade1-l2-data,raw_l2/trade_date=2026-08-03/exchange=NSE/symbol=AXISBANK/part-REDACTED.parquet,real_data_sample\l2_unseen_validation\trade_date=2026-08-03\exchange=NSE\symbol=AXISBANK\part-052001_438120-012962.parquet,existing,34991,0
2026-08-03,NSE,ADANIPORTS,ctrade1-l2-data,raw_l2/trade_date=2026-08-03/exchange=NSE/symbol=ADANIPORTS/part-REDACTED.parquet,real_data_sample\l2_unseen_validation\trade_date=2026-08-03\exchange=NSE\symbol=ADANIPORTS\part-053015_813035-014369.parquet,existing,34553,0
2026-08-03,NSE,AXISBANK,ctrade1-l2-data,raw_l2/trade_date=2026-08-03/exchange=NSE/symbol=AXISBANK/part-REDACTED.parquet,real_data_sample\l2_unseen_validation\trade_date=2026-08-03\exchange=NSE\symbol=AXISBANK\part-092625_438294-046114.parquet,existing,36192,0
2026-08-03,NSE,ADANIPORTS,ctrade1-l2-data,raw_l2/trade_date=2026-08-03/exchange=NSE/symbol=ADANIPORTS/part-REDACTED.parquet,real_data_sample\l2_unseen_validation\trade_date=2026-08-03\exchange=NSE\symbol=ADANIPORTS\part-041050_814046-003553.parquet,existing,35491,0
2026-08-03,NSE,AXISBANK,ctrade1-l2-data,raw_l2/trade_date=2026-08-03/exchange=NSE/symbol=AXISBANK/part-REDACTED.parquet,real_data_sample\l2_unseen_validation\trade_date=2026-08-03\exchange=NSE\symbol=AXISBANK\part-060606_943619-019298.parquet,existing,34681,0
2026-08-03,NSE,AXISBANK,ctrade1-l2-data,raw_l2/trade_date=2026-08-03/exchange=NSE/symbol=AXISBANK/part-REDACTED.parquet,real_data_sample\l2_unseen_validation\trade_date=2026-08-03\exchange=NSE\symbol=AXISBANK\part-091056_435480-044066.parquet,existing,34621,0
2026-08-03,NSE,AXISBANK,ctrade1-l2-data,raw_l2/trade_date=2026-08-03/exchange=NSE/symbol=AXISBANK/part-REDACTED.parquet,real_data_sample\l2_unseen_validation\trade_date=2026-08-03\exchange=NSE\symbol=AXISBANK\part-084434_941820-040546.parquet,existing,36011,0
