feature_name,present,non_null_rows,unique_values,finite_rows
recent_mid_return_bps,1,1792,1,1792
spread_bps,1,1792,1703,1792
l1_imbalance,1,1792,1317,1792
l25_imbalance,1,1792,1584,1792
volume_delta_lookback,1,1792,23,1792
l1_l5_bid_depth_slope,1,1792,1265,1792
l1_l5_ask_depth_slope,1,1792,1318,1792
l1_l5_depth_concentration,1,1792,382,1792
l25_order_imbalance,1,1792,148,1792
ofi_l1_lookback,1,1792,1,1792
ofi_l25_lookback,1,1792,1,1792
l25_replenishment_events,1,1792,1,1792
l25_withdrawal_events,1,1792,1,1792
microprice_l1_minus_mid_bps,1,1792,1787,1792
microprice_l25_minus_mid_bps,1,1792,1785,1792
spread_change_lookback_bps,1,1792,1,1792
spread_mean_lookback_bps,1,1792,1703,1792
trade_qty_sum_lookback,1,1792,23,1792
trade_qty_accel_lookback,1,1792,23,1792
minute_of_day,1,1792,1005,1792
