model_id,model_name,model_type,simulation_seed,rows_evaluated,trades,signal_fraction,mean_gross_return_proxy,win_rate_proxy,total_gross_pnl_units_proxy,acceptance_ready,pilot_status,caveat
B01,Random direction with matched trade frequency,baseline,910001,239173,235973,0.9866205633579042,-7.1620742416220056e-06,0.48942463756446714,-1.6900561450182696,False,medium_pilot_proxy_not_acceptance,Medium-pilot baseline proxy; not acceptance-grade.
B02,Buy-and-hold intraday control,baseline,910001,239173,235973,0.9866205633579042,-2.2705277044505813e-05,0.49083581596199566,-5.35783234002317,False,medium_pilot_proxy_not_acceptance,Medium-pilot baseline proxy; not acceptance-grade.
B03,Simple short-term momentum,baseline,910001,239173,223623,0.9349843000673153,-0.00028370455484999306,0.45755579703339994,-63.44286366922,False,medium_pilot_proxy_not_acceptance,Medium-pilot baseline proxy; not acceptance-grade.
B04,Opening-range breakout,baseline,910001,239173,231704,0.968771558662558,4.1547627423229095e-05,0.49586109864309635,9.626751464471875,False,medium_pilot_proxy_not_acceptance,Medium-pilot baseline proxy; not acceptance-grade.
B05,VWAP continuation,baseline,910001,239173,232003,0.9700216997738039,-8.893388318421565e-05,0.4677180898522864,-20.632927700387583,False,medium_pilot_proxy_not_acceptance,Medium-pilot baseline proxy; B05 uses rolling-mid proxy because trade-volume/VWAP is not yet acceptance-grade.
B06,Short-term mean reversion,baseline,910001,239173,223623,0.9349843000673153,0.00028370455484999306,0.520550211740295,63.44286366922,False,medium_pilot_proxy_not_acceptance,Medium-pilot baseline proxy; not acceptance-grade.
B07,Volatility breakout,baseline,910001,239173,125624,0.5252432339770794,-0.0003758275670622449,0.4495239763102592,-47.21296228462745,False,medium_pilot_proxy_not_acceptance,Medium-pilot baseline proxy; not acceptance-grade.
B01,Random direction with matched trade frequency,baseline,910002,239173,235973,0.9866205633579042,-2.317734935785235e-06,0.4880304102588008,-0.5469228660020493,False,medium_pilot_proxy_not_acceptance,Medium-pilot baseline proxy; not acceptance-grade.
B02,Buy-and-hold intraday control,baseline,910002,239173,235973,0.9866205633579042,-2.2705277044505813e-05,0.49083581596199566,-5.35783234002317,False,medium_pilot_proxy_not_acceptance,Medium-pilot baseline proxy; not acceptance-grade.
B03,Simple short-term momentum,baseline,910002,239173,223623,0.9349843000673153,-0.00028370455484999306,0.45755579703339994,-63.44286366922,False,medium_pilot_proxy_not_acceptance,Medium-pilot baseline proxy; not acceptance-grade.
B04,Opening-range breakout,baseline,910002,239173,231704,0.968771558662558,4.1547627423229095e-05,0.49586109864309635,9.626751464471875,False,medium_pilot_proxy_not_acceptance,Medium-pilot baseline proxy; not acceptance-grade.
B05,VWAP continuation,baseline,910002,239173,232003,0.9700216997738039,-8.893388318421565e-05,0.4677180898522864,-20.632927700387583,False,medium_pilot_proxy_not_acceptance,Medium-pilot baseline proxy; B05 uses rolling-mid proxy because trade-volume/VWAP is not yet acceptance-grade.
B06,Short-term mean reversion,baseline,910002,239173,223623,0.9349843000673153,0.00028370455484999306,0.520550211740295,63.44286366922,False,medium_pilot_proxy_not_acceptance,Medium-pilot baseline proxy; not acceptance-grade.
B07,Volatility breakout,baseline,910002,239173,125624,0.5252432339770794,-0.0003758275670622449,0.4495239763102592,-47.21296228462745,False,medium_pilot_proxy_not_acceptance,Medium-pilot baseline proxy; not acceptance-grade.
B01,Random direction with matched trade frequency,baseline,910003,239173,235973,0.9866205633579042,9.641695819043596e-06,0.48719133121162167,2.2751798875071745,False,medium_pilot_proxy_not_acceptance,Medium-pilot baseline proxy; not acceptance-grade.
B02,Buy-and-hold intraday control,baseline,910003,239173,235973,0.9866205633579042,-2.2705277044505813e-05,0.49083581596199566,-5.35783234002317,False,medium_pilot_proxy_not_acceptance,Medium-pilot baseline proxy; not acceptance-grade.
B03,Simple short-term momentum,baseline,910003,239173,223623,0.9349843000673153,-0.00028370455484999306,0.45755579703339994,-63.44286366922,False,medium_pilot_proxy_not_acceptance,Medium-pilot baseline proxy; not acceptance-grade.
B04,Opening-range breakout,baseline,910003,239173,231704,0.968771558662558,4.1547627423229095e-05,0.49586109864309635,9.626751464471875,False,medium_pilot_proxy_not_acceptance,Medium-pilot baseline proxy; not acceptance-grade.
B05,VWAP continuation,baseline,910003,239173,232003,0.9700216997738039,-8.893388318421565e-05,0.4677180898522864,-20.632927700387583,False,medium_pilot_proxy_not_acceptance,Medium-pilot baseline proxy; B05 uses rolling-mid proxy because trade-volume/VWAP is not yet acceptance-grade.
B06,Short-term mean reversion,baseline,910003,239173,223623,0.9349843000673153,0.00028370455484999306,0.520550211740295,63.44286366922,False,medium_pilot_proxy_not_acceptance,Medium-pilot baseline proxy; not acceptance-grade.
B07,Volatility breakout,baseline,910003,239173,125624,0.5252432339770794,-0.0003758275670622449,0.4495239763102592,-47.21296228462745,False,medium_pilot_proxy_not_acceptance,Medium-pilot baseline proxy; not acceptance-grade.
