quarter_profile,scenario_day,trade_date,regime_code,regime_family,is_market_shock_day,vol_multiplier,event_rate_multiplier,spread_multiplier,depth_multiplier
Q-A,1,2026-07-14,D04,Gradual bullish trend,False,1.1,1.1,1.0,1.0
Q-A,2,2026-07-15,D12,Event day,True,1.6,1.35,1.25,0.85
Q-A,3,2026-07-16,D02,Low-volatility sideways,False,0.65,0.8,0.85,1.05
Q-A,4,2026-07-17,D01,Normal balanced,False,1.0,1.0,1.0,1.0
Q-A,5,2026-07-20,D07,Sell-off/panic,True,2.2,1.55,1.75,0.65
Q-A,6,2026-07-21,D10,Gap-down continuation,False,1.55,1.3,1.25,0.85
Q-A,7,2026-07-22,D15,Rotation day,False,1.15,1.1,1.05,1.0
Q-A,8,2026-07-23,D01,Normal balanced,False,1.0,1.0,1.0,1.0
Q-A,9,2026-07-24,D03,High-volatility sideways,False,1.45,1.15,1.2,0.95
Q-A,10,2026-07-27,D04,Gradual bullish trend,False,1.1,1.1,1.0,1.0
Q-A,11,2026-07-28,D08,Gap-up continuation,False,1.35,1.2,1.05,0.95
Q-A,12,2026-07-29,D08,Gap-up continuation,False,1.35,1.2,1.05,0.95
Q-A,13,2026-07-30,D02,Low-volatility sideways,False,0.65,0.8,0.85,1.05
Q-A,14,2026-07-31,D03,High-volatility sideways,False,1.45,1.15,1.2,0.95
Q-A,15,2026-08-03,D15,Rotation day,False,1.15,1.1,1.05,1.0
Q-A,16,2026-08-04,D10,Gap-down continuation,False,1.55,1.3,1.25,0.85
Q-A,17,2026-08-05,D02,Low-volatility sideways,False,0.65,0.8,0.85,1.05
Q-A,18,2026-08-06,D17,Stock-specific dispersion,False,1.25,1.15,1.1,0.95
Q-A,19,2026-08-07,D01,Normal balanced,False,1.0,1.0,1.0,1.0
Q-A,20,2026-08-10,D03,High-volatility sideways,False,1.45,1.15,1.2,0.95
