milestone_id,domain_id,domain_name,domain_description,current_status,recalibration_use,minimum_class_b_days_required,current_class_b_event_grade_days,next_action
M22_01_one_day_schema_pipeline,intraday_curves,Intraday curves,"Re-estimate open/midday/close activity, spread, depth and volatility curves.",schema_smoke_only_not_event_flow_recalibration,"schema, scale and pipeline",1,0,Use current sample for schema/scale checks only; collect Class B event-grade days before recalibration.
M22_01_one_day_schema_pipeline,spread_depth_distributions,Spread/depth distributions,"Re-estimate queue depth, spread and visible-liquidity distributions by symbol/regime.",schema_smoke_only_not_event_flow_recalibration,"schema, scale and pipeline",1,0,Use current sample for schema/scale checks only; collect Class B event-grade days before recalibration.
M22_01_one_day_schema_pipeline,regime_frequencies,Regime frequencies,"Update normal, volatile, thin-book and shock regime probabilities.",schema_smoke_only_not_event_flow_recalibration,"schema, scale and pipeline",1,0,Use current sample for schema/scale checks only; collect Class B event-grade days before recalibration.
M22_01_one_day_schema_pipeline,price_impact_functions,Price-impact functions,Re-estimate impact and recovery curves from trade/quote interactions.,schema_smoke_only_not_event_flow_recalibration,"schema, scale and pipeline",1,0,Use current sample for schema/scale checks only; collect Class B event-grade days before recalibration.
M22_01_one_day_schema_pipeline,trade_quote_interaction,Trade/quote interaction,"Refresh event ordering, quote response and signed-trade proxy relationships.",schema_smoke_only_not_event_flow_recalibration,"schema, scale and pipeline",1,0,Use current sample for schema/scale checks only; collect Class B event-grade days before recalibration.
M22_01_one_day_schema_pipeline,cross_ticker_correlation,Cross-ticker correlation,"Re-estimate same-sector, ETF/basket and market-wide co-movement structure.",schema_smoke_only_not_event_flow_recalibration,"schema, scale and pipeline",1,0,Use current sample for schema/scale checks only; collect Class B event-grade days before recalibration.
M22_01_one_day_schema_pipeline,shocks_and_recovery,Shocks and recovery,"Refresh shock templates, depth evaporation and recovery profiles.",schema_smoke_only_not_event_flow_recalibration,"schema, scale and pipeline",1,0,Use current sample for schema/scale checks only; collect Class B event-grade days before recalibration.
M22_01_one_day_schema_pipeline,retail_feed_latency,Retail feed latency,"Re-estimate websocket delivery delay, batching, stale gaps and reconnect behaviour.",schema_smoke_only_not_event_flow_recalibration,"schema, scale and pipeline",1,0,Use current sample for schema/scale checks only; collect Class B event-grade days before recalibration.
M22_01_one_day_schema_pipeline,missing_data_patterns,Missing-data patterns,"Track missing levels, stale books, disconnect windows and symbol-specific capture gaps.",schema_smoke_only_not_event_flow_recalibration,"schema, scale and pipeline",1,0,Use current sample for schema/scale checks only; collect Class B event-grade days before recalibration.
M22_02_five_to_ten_days_intraday,intraday_curves,Intraday curves,"Re-estimate open/midday/close activity, spread, depth and volatility curves.",blocked_waiting_for_class_b_days,normal intraday variation,5,0,Collect at least 5 more Class B event-grade day(s) before this task.
