phase360_work_order_id,family_id,primary_scenario_id,source_id,symbol,announcement_time_ist,announcement_date,market_session,diagnostic_trade_date,diagnostic_start_rule,description,no_lookahead_rule_applied,full_depth_levels_1_to_5_required,levels_2_to_5_materiality_required,cost_profile,paper_live_or_profit_claim_allowed
P359_2026-07-17_BPCL_106701384,P357_FULL_DEPTH_MARKET_NEUTRAL_FADE,P356_CONTROL_DEPTH_2_5_FADE_VARIANT,NSE_CORPORATE_ANNOUNCEMENTS,BPCL,17-Jul-2026 14:13:29,2026-07-17,regular_session,2026-07-17,first_real_tick_after_announcement,Analysts/Institutional Investor Meet/Con. Call Updates,1,1,1,zerodha_2x_all_in_cost_proxy,0
P359_2026-07-17_BRITANNIA_106700938,P357_FULL_DEPTH_MARKET_NEUTRAL_FADE,P356_CONTROL_DEPTH_2_5_FADE_VARIANT,NSE_CORPORATE_ANNOUNCEMENTS,BRITANNIA,17-Jul-2026 00:04:13,2026-07-17,pre_open_or_overnight,2026-07-17,market_open_same_day,Updates,1,1,1,zerodha_2x_all_in_cost_proxy,0
P359_2026-07-17_BRITANNIA_106700956,P357_FULL_DEPTH_MARKET_NEUTRAL_FADE,P356_CONTROL_DEPTH_2_5_FADE_VARIANT,NSE_CORPORATE_ANNOUNCEMENTS,BRITANNIA,17-Jul-2026 02:41:00,2026-07-17,pre_open_or_overnight,2026-07-17,market_open_same_day,General Updates,1,1,1,zerodha_2x_all_in_cost_proxy,0
P359_2026-07-17_SBIN_106701118,P357_FULL_DEPTH_MARKET_NEUTRAL_FADE,P356_CONTROL_DEPTH_2_5_FADE_VARIANT,NSE_CORPORATE_ANNOUNCEMENTS,SBIN,17-Jul-2026 10:23:45,2026-07-17,regular_session,2026-07-17,first_real_tick_after_announcement,General Updates,1,1,1,zerodha_2x_all_in_cost_proxy,0
P359_2026-07-17_TECHM_106701371,P357_FULL_DEPTH_MARKET_NEUTRAL_FADE,P356_CONTROL_DEPTH_2_5_FADE_VARIANT,NSE_CORPORATE_ANNOUNCEMENTS,TECHM,17-Jul-2026 13:57:27,2026-07-17,regular_session,2026-07-17,first_real_tick_after_announcement,Copy of Newspaper Publication,1,1,1,zerodha_2x_all_in_cost_proxy,0
P359_2026-07-20_AXISBANK_106703402,P357_FULL_DEPTH_MARKET_NEUTRAL_FADE,P356_CONTROL_DEPTH_2_5_FADE_VARIANT,NSE_CORPORATE_ANNOUNCEMENTS,AXISBANK,20-Jul-2026 15:19:45,2026-07-20,regular_session,2026-07-20,first_real_tick_after_announcement,Copy of Newspaper Publication,1,1,1,zerodha_2x_all_in_cost_proxy,0
P359_2026-07-20_BAJAJ-AUTO_106701591,P357_FULL_DEPTH_MARKET_NEUTRAL_FADE,P356_CONTROL_DEPTH_2_5_FADE_VARIANT,NSE_CORPORATE_ANNOUNCEMENTS,BAJAJ-AUTO,17-Jul-2026 16:27:40,2026-07-17,post_close,2026-07-20,market_open_next_available_unseen_real_l2_day,"Certificate under SEBI (Depositories and Participants) Regulations, 2018",1,1,1,zerodha_2x_all_in_cost_proxy,0
P359_2026-07-20_BHARTIARTL_106701559,P357_FULL_DEPTH_MARKET_NEUTRAL_FADE,P356_CONTROL_DEPTH_2_5_FADE_VARIANT,NSE_CORPORATE_ANNOUNCEMENTS,BHARTIARTL,17-Jul-2026 16:13:26,2026-07-17,post_close,2026-07-20,market_open_next_available_unseen_real_l2_day,Action(s) taken or orders passed,1,1,1,zerodha_2x_all_in_cost_proxy,0
P359_2026-07-20_BHARTIARTL_106702038,P357_FULL_DEPTH_MARKET_NEUTRAL_FADE,P356_CONTROL_DEPTH_2_5_FADE_VARIANT,NSE_CORPORATE_ANNOUNCEMENTS,BHARTIARTL,17-Jul-2026 19:31:45,2026-07-17,post_close,2026-07-20,market_open_next_available_unseen_real_l2_day,Action(s) taken or orders passed,1,1,1,zerodha_2x_all_in_cost_proxy,0
P359_2026-07-20_BRITANNIA_106701684,P357_FULL_DEPTH_MARKET_NEUTRAL_FADE,P356_CONTROL_DEPTH_2_5_FADE_VARIANT,NSE_CORPORATE_ANNOUNCEMENTS,BRITANNIA,17-Jul-2026 16:58:52,2026-07-17,post_close,2026-07-20,market_open_next_available_unseen_real_l2_day,Copy of Newspaper Publication,1,1,1,zerodha_2x_all_in_cost_proxy,0
