source_id,symbol,announcement_time_ist,announcement_date,description,text,attachment_url,seq_id,same_day_real_l2_available,ticker_in_universe
NSE_CORPORATE_ANNOUNCEMENTS,BAJAJ-AUTO,17-Jul-2026 16:27:40,2026-07-17,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","Bajaj Auto Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018",https://nsearchives.nseindia.com/corporate/lkwalimbe_bajajauto_co_in_17072026162642_74_5___002_.pdf,106701591,1,1
NSE_CORPORATE_ANNOUNCEMENTS,BHARTIARTL,17-Jul-2026 16:13:26,2026-07-17,Action(s) taken or orders passed,Bharti Airtel Limited has informed the Exchange about Action(s) taken or orders passed.,https://nsearchives.nseindia.com/corporate/BHARTIARTL_17072026161117_Reg30DoTJuly17AP.pdf,106701559,1,1
NSE_CORPORATE_ANNOUNCEMENTS,BHARTIARTL,17-Jul-2026 19:31:45,2026-07-17,Action(s) taken or orders passed,Bharti Airtel Limited has informed the Exchange about Action(s) taken or orders passed.,https://nsearchives.nseindia.com/corporate/BHARTIARTL_17072026193135_Reg30DoTJuly17UPE.pdf,106702038,1,1
NSE_CORPORATE_ANNOUNCEMENTS,BPCL,17-Jul-2026 14:13:29,2026-07-17,Analysts/Institutional Investor Meet/Con. Call Updates,Bharat Petroleum Corporation Limited has informed the Exchange about Schedule of meet,https://nsearchives.nseindia.com/corporate/BPCL26_17072026141133_stexconcall17072026s.pdf,106701384,1,1
NSE_CORPORATE_ANNOUNCEMENTS,BRITANNIA,17-Jul-2026 00:04:13,2026-07-17,Updates,Britannia Industries Limited has informed the Exchange regarding 'Annual Report for FY 2025-26 and Notice of the 107th AGM'.,https://nsearchives.nseindia.com/corporate/BRITANNIA1_17072026000322_Intimation_Signed.pdf,106700938,1,1
NSE_CORPORATE_ANNOUNCEMENTS,BRITANNIA,17-Jul-2026 02:41:00,2026-07-17,General Updates,"Communication to the Shareholders describing the brief provisions of the Income Tax Act, 2025 and the documents required for Deduction of Tax at Source (TDS) on Final Dividend for the financial year ended 31 March 2026.",https://nsearchives.nseindia.com/corporate/BRITANNIA1_17072026024017_Intimation_Signed.pdf,106700956,1,1
NSE_CORPORATE_ANNOUNCEMENTS,BRITANNIA,17-Jul-2026 16:58:52,2026-07-17,Copy of Newspaper Publication,Britannia Industries Limited has informed the Exchange about Copy of Newspaper Publication,https://nsearchives.nseindia.com/corporate/BRITANNIA1_17072026165838_SEIntimation_signed.pdf,106701684,1,1
NSE_CORPORATE_ANNOUNCEMENTS,HCLTECH,17-Jul-2026 18:51:06,2026-07-17,Updates,"Release: ""HCLTech expands India footprint with Global Technology Center in GIFT City.""",https://nsearchives.nseindia.com/corporate/HCLTECH_17072026185033_Release17July2026.pdf,106701955,1,1
NSE_CORPORATE_ANNOUNCEMENTS,LT,17-Jul-2026 17:00:01,2026-07-17,Analysts/Institutional Investor Meet/Con. Call Updates,Larsen & Toubro Limited has informed the Exchange about Schedule of meet,https://nsearchives.nseindia.com/corporate/PAM_17072026165939_Intimation17072026.pdf,106701686,1,1
NSE_CORPORATE_ANNOUNCEMENTS,ONGC,17-Jul-2026 18:35:05,2026-07-17,Press Release,"Oil & Natural Gas Corporation Limited has informed the Exchange regarding a press release dated July 17, 2026, titled ""Hon ble Lieutenant Governor of Ladakh Marks ONGC s Landmark Completion of Two Deep Geothermal Wells at Puga"".",https://nsearchives.nseindia.com/corporate/ONGC_17072026183328_PressRelease17072026.pdf,106701922,1,1
