scenario_id,family_id,horizon_seconds,threshold_policy,fixed_notional_inr,initial_capital_inr,max_concurrent_positions,cost_profile,candidate_signal_rows,scheduled_trade_rows,gross_pnl_inr,net_pnl_inr,portfolio_return_pct,annualized_return_pct_sparse,annualized_above_12pct_sparse,positive_net_pnl,observed_trade_dates,deployable_profitability_claim_allowed
P312_event_depth_pressure_continuation_H60_top_25pct_abs_signal_N25000_C1_zerodha_base_CAP100000,event_depth_pressure_continuation,60,top_25pct_abs_signal,25000.0,100000.0,1,zerodha_base,8,1,46.38218923933013,20.043734972168725,0.020043734972168725,5.051021212986519,0,1,1,0
P312_event_depth_pressure_continuation_H60_top_25pct_abs_signal_N25000_C1_zerodha_base_CAP250000,event_depth_pressure_continuation,60,top_25pct_abs_signal,25000.0,250000.0,1,zerodha_base,8,1,46.38218923933013,20.043734972168725,0.00801749398886749,2.0204084851946074,0,1,1,0
P312_event_depth_pressure_continuation_H60_top_25pct_abs_signal_N25000_C1_zerodha_base_CAP500000,event_depth_pressure_continuation,60,top_25pct_abs_signal,25000.0,500000.0,1,zerodha_base,8,1,46.38218923933013,20.043734972168725,0.004008746994433745,1.0102042425973037,0,1,1,0
P312_event_depth_pressure_continuation_H60_top_25pct_abs_signal_N25000_C2_zerodha_base_CAP100000,event_depth_pressure_continuation,60,top_25pct_abs_signal,25000.0,100000.0,2,zerodha_base,8,2,46.38218923933013,-6.276565027831275,-0.006276565027831275,-1.5816943870134814,0,0,1,0
P312_event_depth_pressure_continuation_H60_top_25pct_abs_signal_N25000_C2_zerodha_base_CAP250000,event_depth_pressure_continuation,60,top_25pct_abs_signal,25000.0,250000.0,2,zerodha_base,8,2,46.38218923933013,-6.276565027831275,-0.0025106260111325096,-0.6326777548053925,0,0,1,0
P312_event_depth_pressure_continuation_H60_top_25pct_abs_signal_N25000_C2_zerodha_base_CAP500000,event_depth_pressure_continuation,60,top_25pct_abs_signal,25000.0,500000.0,2,zerodha_base,8,2,46.38218923933013,-6.276565027831275,-0.0012553130055662548,-0.31633887740269623,0,0,1,0
P312_event_depth_pressure_continuation_H60_top_25pct_abs_signal_N25000_C4_zerodha_base_CAP100000,event_depth_pressure_continuation,60,top_25pct_abs_signal,25000.0,100000.0,4,zerodha_base,8,4,-267.13275459529507,-372.554820492563,-0.372554820492563,-93.88381476412587,0,0,1,0
P312_event_depth_pressure_continuation_H60_top_25pct_abs_signal_N25000_C4_zerodha_base_CAP250000,event_depth_pressure_continuation,60,top_25pct_abs_signal,25000.0,250000.0,4,zerodha_base,8,4,-267.13275459529507,-372.554820492563,-0.14902192819702523,-37.55352590565036,0,0,1,0
P312_event_depth_pressure_continuation_H60_top_25pct_abs_signal_N25000_C4_zerodha_base_CAP500000,event_depth_pressure_continuation,60,top_25pct_abs_signal,25000.0,500000.0,4,zerodha_base,8,4,-267.13275459529507,-372.554820492563,-0.07451096409851261,-18.77676295282518,0,0,1,0
P312_event_depth_pressure_continuation_H60_top_25pct_abs_signal_N25000_C1_zerodha_plus_1bp_slippage_CAP100000,event_depth_pressure_continuation,60,top_25pct_abs_signal,25000.0,100000.0,1,zerodha_plus_1bp_slippage,8,1,46.38218923933013,15.039096753244792,0.015039096753244791,3.7898523818176875,0,1,1,0
