candidate_id,feature_name,fill_assumption,inferred_depth_level,inferred_queue_percentile,phase89_base_fill_prob,phase133_model_fill_prob,fill_ratio_vs_phase89,phase89_test_expected_fills,phase133_test_expected_fills,phase89_test_expected_net_pnl_inr,phase133_test_expected_net_pnl_inr,directionally_consistent_with_phase89,phase133_passive_branch_survives,strategy_replay_allowed
P89_L5_IMBALANCE_Q0_9_I0_75,l5_imbalance,pessimistic_queue,5,0.9,0.12,0.04061732719822352,0.3384777266518627,240.207,81.30471928586398,-187945.7105576788,-63615.436843532116,True,False,0
P89_L1_IMBALANCE_Q0_9_I0_75,l1_imbalance,pessimistic_queue,1,0.9,0.12,0.05689761617761513,0.4741468014801261,242.23650000000004,114.85566167674058,-189427.5919454524,-89816.48683301876,True,False,0
P89_L5_IMBALANCE_Q0_9_I0_75,l5_imbalance,base_queue,5,0.9,0.25,0.04061732719822352,0.1624693087928941,450.05000000000007,73.11931242224199,-261152.0412219959,-42429.19162719106,True,False,0
P89_L1_IMBALANCE_Q0_9_I0_75,l1_imbalance,base_queue,1,0.9,0.25,0.05689761617761513,0.22759046471046052,453.42500000000007,103.19520646134058,-263621.146517823,-59997.659243495735,True,False,0
P89_L5_IMBALANCE_Q0_9_I0_75,l5_imbalance,optimistic_queue,5,0.9,0.45,0.04061732719822352,0.09026072710716339,805.0500000000001,72.66439835762189,-265254.4221262748,-23942.05700950801,True,False,0
P89_L1_IMBALANCE_Q0_9_I0_75,l1_imbalance,optimistic_queue,1,0.9,0.45,0.05689761617761513,0.12643914706136694,810.2250000000001,102.44415792779604,-269027.12678562326,-34015.56044714443,True,False,0
P89_L5_IMBALANCE_Q0_9_I0_5,l5_imbalance,pessimistic_queue,5,0.9,0.12,0.04061732719822352,0.3384777266518627,502.3815,170.04494803195277,-298010.8547293588,-100870.03662637188,True,False,0
P89_L1_IMBALANCE_Q0_9_I0_5,l1_imbalance,pessimistic_queue,1,0.9,0.12,0.05689761617761513,0.4741468014801261,503.421,238.69545694792657,-298513.4765619306,-141539.210110552,True,False,0
P89_MICROPRICE_DEV_Q0_9_I0_75,microprice_dev,pessimistic_queue,1,0.9,0.12,0.05689761617761513,0.4741468014801261,349.40250000000003,165.66807780415976,-333271.23806277337,-158019.49155278565,True,False,0
P89_L5_IMBALANCE_Q0_9_I0_5,l5_imbalance,optimistic_queue,5,0.9,0.45,0.04061732719822352,0.09026072710716339,1534.0500000000002,138.46446841874402,-377008.9070782916,-34029.09807876359,True,False,0
P89_L1_IMBALANCE_Q0_9_I0_5,l1_imbalance,optimistic_queue,1,0.9,0.45,0.05689761617761513,0.12643914706136694,1536.525,194.27691043846684,-379480.0343535304,-47981.13187047861,True,False,0
P89_L5_IMBALANCE_Q0_9_I0_5,l5_imbalance,base_queue,5,0.9,0.25,0.04061732719822352,0.1624693087928941,900.925,146.3726620242381,-394714.5913995052,-64129.00683514723,True,False,0
P89_L1_IMBALANCE_Q0_9_I0_5,l1_imbalance,base_queue,1,0.9,0.25,0.05689761617761513,0.22759046471046052,902.6125,205.42599832847054,-395910.0308587656,-90105.34790667922,True,False,0
P89_MICROPRICE_DEV_Q0_9_I0_5,microprice_dev,pessimistic_queue,1,0.9,0.12,0.05689761617761513,0.4741468014801261,545.727,258.75471153134475,-418658.548399127,-198505.61163575863,True,False,0
P89_L1_IMBALANCE_Q0_75_I0_75,l1_imbalance,pessimistic_queue,1,0.75,0.12,0.11379523235523026,0.9482936029602522,620.892,588.7879117291969,-502156.55734686775,-476191.85101657774,True,False,0
P89_L5_IMBALANCE_Q0_75_I0_75,l5_imbalance,pessimistic_queue,5,0.75,0.12,0.08123465439644705,0.6769554533037254,621.864,420.9742260132679,-502932.6370176588,-340462.9912735272,True,False,0
P89_MICROPRICE_DEV_Q0_9_I0_75,microprice_dev,base_queue,1,0.9,0.25,0.05689761617761513,0.22759046471046052,682.0750000000002,155.2337662173874,-507228.8851145663,-115440.45767779293,True,False,0
P89_MICROPRICE_DEV_Q0_9_I0_75,microprice_dev,optimistic_queue,1,0.9,0.45,0.05689761617761513,0.12643914706136694,1269.3375,160.49395083300786,-603563.8936389672,-76314.10390874861,True,False,0
P89_MICROPRICE_DEV_Q0_9_I0_5,microprice_dev,base_queue,1,0.9,0.25,0.05689761617761513,0.22759046471046052,1026.8375,233.6984238071275,-611954.2743835057,-139274.95768849473,True,False,0
P89_MICROPRICE_DEV_Q0_75_I0_75,microprice_dev,pessimistic_queue,1,0.75,0.12,0.11379523235523026,0.9482936029602522,761.292,721.9283335848164,-686568.5532642963,-651068.5670542073,True,False,0
P89_MICROPRICE_DEV_Q0_9_I0_5,microprice_dev,optimistic_queue,1,0.9,0.45,0.05689761617761513,0.12643914706136694,1841.5125000000005,232.83926980284556,-692228.178980516,-87524.7405221397,True,False,0
P89_L1_IMBALANCE_Q0_75_I0_75,l1_imbalance,base_queue,1,0.75,0.25,0.11379523235523026,0.45518092942092103,1169.075,532.1406450627633,-693072.4691200941,-315473.370650137,True,False,0
P89_L5_IMBALANCE_Q0_75_I0_75,l5_imbalance,base_queue,5,0.75,0.25,0.08123465439644705,0.3249386175857882,1169.525,380.02383673201894,-694637.4167804394,-225714.52193199898,True,False,0
P89_L1_IMBALANCE_Q0_75_I0_75,l1_imbalance,optimistic_queue,1,0.75,0.45,0.11379523235523026,0.2528782941227339,2097.5625,530.428026815817,-696598.5879715604,-176154.66261455338,True,False,0
P89_L5_IMBALANCE_Q0_75_I0_75,l5_imbalance,optimistic_queue,5,0.75,0.45,0.08123465439644705,0.18052145421432678,2096.325,378.4316375058485,-699104.2026155731,-126203.3073035106,True,False,0
P89_L1_IMBALANCE_Q0_75_I0_5,l1_imbalance,pessimistic_queue,1,0.75,0.12,0.11379523235523026,0.9482936029602522,1297.7355,1230.6342729844243,-811449.5647819134,-769492.4314075693,True,False,0
P89_L5_IMBALANCE_Q0_75_I0_5,l5_imbalance,pessimistic_queue,5,0.75,0.12,0.08123465439644705,0.6769554533037254,1302.2324999999998,881.5533923443435,-811727.0525372055,-549503.054809221,True,False,0
P89_MICROPRICE_DEV_Q0_75_I0_5,microprice_dev,pessimistic_queue,1,0.75,0.12,0.11379523235523026,0.9482936029602522,1332.8175,1263.902309163476,-932470.1369968638,-884255.465865596,True,False,0
P89_MICROPRICE_DEV_Q0_75_I0_75,microprice_dev,base_queue,1,0.75,0.25,0.11379523235523026,0.45518092942092103,1490.85,678.60648862718,-998433.3562363208,-454467.823056498,True,False,0
P89_L5_IMBALANCE_Q0_75_I0_5,l5_imbalance,optimistic_queue,5,0.75,0.45,0.08123465439644705,0.18052145421432678,3989.7000000000007,720.2264458788997,-999656.9170438616,-180459.5203801685,True,False,0
