gate_id,passed,observed_value,required_value,severity
P443_PHASE442_AVAILABLE,True,precommit_external_catalyst_continuation_or_pause_strategy_search,continuation,hard
P443_SIDE_FLIP_ALLOWED_BY_PHASE442,True,1,1,hard
P443_SIDE_FLIP_CLUE_BETTER_THAN_REVERSAL,True,side=-1.827100096946565;primary=-25.157141116316083,side>primary,hard
P443_MATERIAL_NEW_DIRECTION_SOURCE,True,official_catalyst_continuation_with_full_depth_exhaustion_confirmation,continuation_not_reversal_rescue,hard
P443_FULL_DEPTH_CONFIRMATION_REQUIRED,True,L1_spread_microprice_plus_L2_to_L5_imbalance_depth_slope_replenishment_vacuum,L2-L5,hard
P443_GRID_FROZEN,True,12,12,hard
P443_COST200_FIXED_CAPITAL_PINNED,True,fixed_initial_capital_1000000_inr_order_notional_100000_inr_cost200,cost200_fixed_capital,hard
P443_CONTROLS_PRECOMMITTED,True,reversal_control;L1_only_ablation;time_shifted_catalyst;capacity_robustness,controls_present,hard
P443_RESULTS_NOT_GENERATED,True,0,0,hard
P443_BOUNDARIES_CLOSED,True,same_reversal_rescue;post_result_direction_flip_without_precommit;promotion;paper_live;deployable_profitability_claim,closed,hard
