contract_id,contract_value,description
thesis_id,P443_EXTERNAL_CATALYST_CONTINUATION_FULL_DEPTH_PRECOMMIT,Catalyst continuation precommit after Phase442 side-flip clue.
selected_source,official_catalyst_continuation_with_full_depth_exhaustion_confirmation,External catalyst continuation with L2-L5 confirmation.
relationship_to_phase442,material_new_direction_source_not_reversal_rescue,"Continuation is a new precommitted source, not a same-run rescue."
direction_policy,follow_impulse_side_when_full_depth_confirms_exhaustion_or_replenishment_after_exhaustion,Primary direction is continuation.
reversal_role,control_only,"Reversal remains a control, not the primary."
full_depth_features,L1_spread_microprice_plus_L2_to_L5_imbalance_depth_slope_replenishment_vacuum,Top-five depth confirmation required.
controls_required,reversal_control;L1_only_ablation;time_shifted_catalyst;capacity_robustness,Controls must be emitted by Phase444.
capital_policy,fixed_initial_capital_1000000_inr_order_notional_100000_inr_cost200,Annualized denominator fixed.
acceptance_floor,round_trips_ge_30;dates_ge_5;symbols_ge_5;positive_date_fraction_ge_0.6;annualized_ge_12.0,User profitability floor with breadth.
forbidden,same_reversal_rescue;post_result_direction_flip_without_precommit;promotion;paper_live;deployable_profitability_claim,Closed boundaries.
execution_results_generated_now,0,Precommit only.
