shard_id,trade_month,symbol,source_rows,target_dense_multiplier,target_dense_rows,estimated_dense_bytes,estimated_runtime_seconds
dense_target_NESTLEIND_2026-07,2026-07,NESTLEIND,8611,1983.4142901697412,17079180,255498386.83139744,44.274578949569495
dense_target_JUNIORBEES_2026-07,2026-07,JUNIORBEES,8608,1983.4142901697412,17073230,255409376.97251388,44.259154687705056
dense_target_SBIN_2026-07,2026-07,SBIN,8607,1983.4142901697412,17071247,255379712.0060994,44.25401413118788
dense_target_BANKBEES_2026-07,2026-07,BANKBEES,8606,1983.4142901697412,17069263,255350032.0800448,44.248870982357786
dense_target_BPCL_2026-07,2026-07,BPCL,8602,1983.4142901697412,17061330,255231357.25474676,44.22830616397617
dense_target_ADANIPORTS_2026-07,2026-07,ADANIPORTS,8601,1983.4142901697412,17059346,255201677.32869217,44.22316301514608
dense_target_AXISBANK_2026-07,2026-07,AXISBANK,8601,1983.4142901697412,17059346,255201677.32869217,44.22316301514608
dense_target_GOLDBEES_2026-07,2026-07,GOLDBEES,8601,1983.4142901697412,17059346,255201677.32869217,44.22316301514608
dense_target_NIFTYBEES_2026-07,2026-07,NIFTYBEES,8600,1983.4142901697412,17057363,255172012.3622777,44.2180224586289
dense_target_SUNPHARMA_2026-07,2026-07,SUNPHARMA,8600,1983.4142901697412,17057363,255172012.3622777,44.2180224586289
dense_target_BHARTIARTL_2026-07,2026-07,BHARTIARTL,8599,1983.4142901697412,17055379,255142332.43622306,44.21287930979881
dense_target_ITBEES_2026-07,2026-07,ITBEES,8599,1983.4142901697412,17055379,255142332.43622306,44.21287930979881
dense_target_INFY_2026-07,2026-07,INFY,8598,1983.4142901697412,17053396,255112667.4698086,44.20773875328164
dense_target_MARUTI_2026-07,2026-07,MARUTI,8598,1983.4142901697412,17053396,255112667.4698086,44.20773875328164
dense_target_HINDUNILVR_2026-07,2026-07,HINDUNILVR,8597,1983.4142901697412,17051413,255083002.50339413,44.20259819676446
dense_target_M&M_2026-07,2026-07,M&M,8597,1983.4142901697412,17051413,255083002.50339413,44.20259819676446
dense_target_ULTRACEMCO_2026-07,2026-07,ULTRACEMCO,8595,1983.4142901697412,17047446,255023657.61092505,44.19231449141719
dense_target_CIPLA_2026-07,2026-07,CIPLA,8594,1983.4142901697412,17045462,254993977.68487042,44.1871713425871
dense_target_WIPRO_2026-07,2026-07,WIPRO,8593,1983.4142901697412,17043479,254964312.71845597,44.18203078606992
dense_target_BAJAJ-AUTO_2026-07,2026-07,BAJAJ-AUTO,8592,1983.4142901697412,17041496,254934647.7520415,44.176890229552754
dense_target_DRREDDY_2026-07,2026-07,DRREDDY,8592,1983.4142901697412,17041496,254934647.7520415,44.176890229552754
dense_target_KOTAKBANK_2026-07,2026-07,KOTAKBANK,8591,1983.4142901697412,17039512,254904967.82598686,44.17174708072266
dense_target_ONGC_2026-07,2026-07,ONGC,8591,1983.4142901697412,17039512,254904967.82598686,44.17174708072266
dense_target_ICICIBANK_2026-07,2026-07,ICICIBANK,8590,1983.4142901697412,17037529,254875302.8595724,44.166606524205484
dense_target_RELIANCE_2026-07,2026-07,RELIANCE,8590,1983.4142901697412,17037529,254875302.8595724,44.166606524205484
dense_target_TECHM_2026-07,2026-07,TECHM,8590,1983.4142901697412,17037529,254875302.8595724,44.166606524205484
dense_target_HCLTECH_2026-07,2026-07,HCLTECH,8588,1983.4142901697412,17033562,254815957.96710333,44.156322818858214
dense_target_TCS_2026-07,2026-07,TCS,8588,1983.4142901697412,17033562,254815957.96710333,44.156322818858214
dense_target_HDFCBANK_2026-07,2026-07,HDFCBANK,8587,1983.4142901697412,17031579,254786293.00068885,44.151182262341045
dense_target_ITC_2026-07,2026-07,ITC,8587,1983.4142901697412,17031579,254786293.00068885,44.151182262341045
dense_target_LT_2026-07,2026-07,LT,8585,1983.4142901697412,17027612,254726948.10821977,44.140898556993776
dense_target_BRITANNIA_2026-07,2026-07,BRITANNIA,8584,1983.4142901697412,17025628,254697268.18216515,44.13575540816368
