shard_id,trade_month,symbol,source_rows,target_dense_multiplier,target_dense_rows,estimated_dense_bytes,estimated_runtime_seconds,planned_materialization_multiplier,planned_dense_rows,materialization_scope
dense_target_HDFCBANK_2026-01,2026-01,HDFCBANK,8220,1983.4142901697412,16303665,243896961.5016362,42.26420139666149,64,526080,phase50_bounded_multisymbol_validation_shard
dense_target_HDFCBANK_2026-02,2026-02,HDFCBANK,7476,1983.4142901697412,14828005,221821618.92010596,38.4388289155048,64,478464,phase50_bounded_multisymbol_validation_shard
dense_target_HDFCBANK_2026-03,2026-03,HDFCBANK,8220,1983.4142901697412,16303665,243896961.5016362,42.26420139666149,64,526080,phase50_bounded_multisymbol_validation_shard
dense_target_HDFCBANK_2026-04,2026-04,HDFCBANK,8212,1983.4142901697412,16287798,243659596.8914,42.22306916758534,64,525568,phase50_bounded_multisymbol_validation_shard
dense_target_HDFCBANK_2026-05,2026-05,HDFCBANK,7848,1983.4142901697412,15565835,232859290.2108711,40.351515156083146,64,502272,phase50_bounded_multisymbol_validation_shard
dense_target_HDFCBANK_2026-06,2026-06,HDFCBANK,8198,1983.4142901697412,16260030,243244197.60375658,42.15108582246739,64,524672,phase50_bounded_multisymbol_validation_shard
dense_target_HDFCBANK_2026-07,2026-07,HDFCBANK,8587,1983.4142901697412,17031579,254786293.00068885,44.151182262341045,64,549568,phase50_bounded_multisymbol_validation_shard
dense_target_HDFCBANK_2026-08,2026-08,HDFCBANK,7841,1983.4142901697412,15551951,232651590.56704935,40.31552348352417,64,501824,phase50_bounded_multisymbol_validation_shard
dense_target_HDFCBANK_2026-09,2026-09,HDFCBANK,8208,1983.4142901697412,16279864,243540907.10646185,42.202501756890804,64,525312,phase50_bounded_multisymbol_validation_shard
dense_target_HDFCBANK_2026-10,2026-10,HDFCBANK,8212,1983.4142901697412,16287798,243659596.8914,42.22306916758534,64,525568,phase50_bounded_multisymbol_validation_shard
dense_target_HDFCBANK_2026-11,2026-11,HDFCBANK,7858,1983.4142901697412,15585669,233155999.71357638,40.40293109050656,64,502912,phase50_bounded_multisymbol_validation_shard
