candidate_id,parent_candidate_id,family_id,signal_source,direction,horizon_event_bars,threshold_quantile,event_window_score_threshold,abs_microprice_dev_threshold,parent_horizon_event_bars,parent_threshold_quantile
P233_MICROPRICE_REVERSAL_H2_Q0_875,P231_MICROPRICE_REVERSAL_H3_Q0_9,P231_MICROPRICE_REVERSAL,avg_microprice_dev,reversal,2,0.875,48.49752077504229,8.710084483056208e-05,3,0.9
P233_MICROPRICE_REVERSAL_H2_Q0_9,P231_MICROPRICE_REVERSAL_H3_Q0_9,P231_MICROPRICE_REVERSAL,avg_microprice_dev,reversal,2,0.9,54.31623670900108,0.00010256952769442333,3,0.9
P233_MICROPRICE_REVERSAL_H2_Q0_925,P231_MICROPRICE_REVERSAL_H3_Q0_9,P231_MICROPRICE_REVERSAL,avg_microprice_dev,reversal,2,0.925,62.08171111680122,0.00011488296907658573,3,0.9
P233_MICROPRICE_REVERSAL_H3_Q0_875,P231_MICROPRICE_REVERSAL_H3_Q0_9,P231_MICROPRICE_REVERSAL,avg_microprice_dev,reversal,3,0.875,48.49752077504229,8.710084483056208e-05,3,0.9
P233_MICROPRICE_REVERSAL_H3_Q0_9,P231_MICROPRICE_REVERSAL_H3_Q0_9,P231_MICROPRICE_REVERSAL,avg_microprice_dev,reversal,3,0.9,54.31623670900108,0.00010256952769442333,3,0.9
P233_MICROPRICE_REVERSAL_H3_Q0_925,P231_MICROPRICE_REVERSAL_H3_Q0_9,P231_MICROPRICE_REVERSAL,avg_microprice_dev,reversal,3,0.925,62.08171111680122,0.00011488296907658573,3,0.9
P233_MICROPRICE_REVERSAL_H4_Q0_875,P231_MICROPRICE_REVERSAL_H3_Q0_9,P231_MICROPRICE_REVERSAL,avg_microprice_dev,reversal,4,0.875,48.49752077504229,8.710084483056208e-05,3,0.9
P233_MICROPRICE_REVERSAL_H4_Q0_9,P231_MICROPRICE_REVERSAL_H3_Q0_9,P231_MICROPRICE_REVERSAL,avg_microprice_dev,reversal,4,0.9,54.31623670900108,0.00010256952769442333,3,0.9
P233_MICROPRICE_REVERSAL_H4_Q0_925,P231_MICROPRICE_REVERSAL_H3_Q0_9,P231_MICROPRICE_REVERSAL,avg_microprice_dev,reversal,4,0.925,62.08171111680122,0.00011488296907658573,3,0.9
P233_MICROPRICE_REVERSAL_H5_Q0_875,P231_MICROPRICE_REVERSAL_H3_Q0_9,P231_MICROPRICE_REVERSAL,avg_microprice_dev,reversal,5,0.875,48.49752077504229,8.710084483056208e-05,3,0.9
P233_MICROPRICE_REVERSAL_H5_Q0_9,P231_MICROPRICE_REVERSAL_H3_Q0_9,P231_MICROPRICE_REVERSAL,avg_microprice_dev,reversal,5,0.9,54.31623670900108,0.00010256952769442333,3,0.9
P233_MICROPRICE_REVERSAL_H5_Q0_925,P231_MICROPRICE_REVERSAL_H3_Q0_9,P231_MICROPRICE_REVERSAL,avg_microprice_dev,reversal,5,0.925,62.08171111680122,0.00011488296907658573,3,0.9
