candidate_id,parent_candidate_id,family_id,signal_source,direction,horizon_event_bars,threshold_quantile,event_window_score_threshold,abs_microprice_dev_threshold,parent_horizon_event_bars,parent_threshold_quantile,train_trades,train_net_pnl_inr,train_gross_pnl_inr,train_cost_pnl_drag_inr,train_positive_months,train_months,train_symbols,train_days,train_min_month_net_pnl_inr,train_leave_one_month_min_net_pnl_inr,train_max_month_contribution_abs,train_max_symbol_contribution_abs,train_gross_to_cost_ratio,test_trades,test_net_pnl_inr,test_gross_pnl_inr,test_cost_pnl_drag_inr,test_positive_months,test_months,test_symbols,test_days,test_min_month_net_pnl_inr,test_leave_one_month_min_net_pnl_inr,test_max_month_contribution_abs,test_max_symbol_contribution_abs,test_gross_to_cost_ratio,train_positive,test_positive,test_stable,fragility_neighbor_pass
P233_MICROPRICE_REVERSAL_H4_Q0_875,P231_MICROPRICE_REVERSAL_H3_Q0_9,P231_MICROPRICE_REVERSAL,avg_microprice_dev,reversal,4,0.875,48.49752077504229,8.710084483056208e-05,3,0.9,532,461370.40068132005,533710.173176995,72339.77249567496,4,6,9,26,-9863.58637133169,261024.94105159867,0.4342399497970936,0.30000041039151726,7.377824877855462,434,393327.39572034613,450784.4349402635,57457.0392199174,6,6,9,24,5897.8375718690695,263588.47648393014,0.3298496892107147,0.20604132224286942,7.845591089629271,True,True,True,True
P233_MICROPRICE_REVERSAL_H3_Q0_875,P231_MICROPRICE_REVERSAL_H3_Q0_9,P231_MICROPRICE_REVERSAL,avg_microprice_dev,reversal,3,0.875,48.49752077504229,8.710084483056208e-05,3,0.9,742,423530.14443591505,525499.2051177693,101969.06068185426,5,6,9,28,-8061.106787277528,244144.29860918576,0.42354918105214684,0.2925442573051868,5.153516190144563,593,376480.54820730025,456714.7406311326,80234.19242383238,6,6,9,25,3942.6586213035007,240501.91649249947,0.36118368495343167,0.21803685223981165,5.692270674559345,True,True,True,True
P233_MICROPRICE_REVERSAL_H4_Q0_9,P231_MICROPRICE_REVERSAL_H3_Q0_9,P231_MICROPRICE_REVERSAL,avg_microprice_dev,reversal,4,0.9,54.31623670900108,0.00010256952769442333,3,0.9,337,323766.4845429457,371333.6057707685,47567.12122782279,5,6,8,16,-4164.461912684096,150382.37904625174,0.5355220931575319,0.3122597708479518,7.806518372055052,257,231099.78165375296,265522.9780109748,34423.19635722184,4,6,8,18,-11140.659894413551,130993.05891449808,0.43317532376227236,0.35521054764536614,7.71348991696029,True,True,True,True
P233_MICROPRICE_REVERSAL_H3_Q0_9,P231_MICROPRICE_REVERSAL_H3_Q0_9,P231_MICROPRICE_REVERSAL,avg_microprice_dev,reversal,3,0.9,54.31623670900108,0.00010256952769442333,3,0.9,471,353034.6899132213,420199.0493741271,67164.35946090586,6,6,8,18,331.9289886825956,184299.02738327035,0.47795773999271146,0.28977641993830067,6.256280157316336,365,229962.80717188073,280315.90395037294,50353.096778492225,4,6,8,19,-15418.841050360745,116948.3084791053,0.49144685648364517,0.31521620560046626,5.567004253651124,True,True,True,True
P233_MICROPRICE_REVERSAL_H5_Q0_875,P231_MICROPRICE_REVERSAL_H3_Q0_9,P231_MICROPRICE_REVERSAL,avg_microprice_dev,reversal,5,0.875,48.49752077504229,8.710084483056208e-05,3,0.9,309,326012.5300074484,367020.03611103725,41007.506103588836,5,6,9,22,-329.9017510117451,148290.87574198932,0.545137495977221,0.3300016058888361,8.950069657586832,296,193526.7990759312,231767.55959326323,38240.760517332026,4,6,9,23,-18082.389639582467,117820.58325760253,0.391192414589697,0.23631402193186135,6.060746608013149,True,True,True,True
P233_MICROPRICE_REVERSAL_H3_Q0_925,P231_MICROPRICE_REVERSAL_H3_Q0_9,P231_MICROPRICE_REVERSAL,avg_microprice_dev,reversal,3,0.925,62.08171111680122,0.00011488296907658573,3,0.9,280,274453.72353000543,315926.8077639453,41473.08423393983,4,5,7,12,-17557.157686228267,160589.41693934656,0.4148761588152049,0.3046637818057209,7.617634752744144,202,180520.83670824484,209510.78042763285,28989.943719387957,6,6,7,15,10230.762895683634,91534.78300248385,0.4929406229685217,0.33229268844813603,7.227015769869046,True,True,True,True
P233_MICROPRICE_REVERSAL_H4_Q0_925,P231_MICROPRICE_REVERSAL_H3_Q0_9,P231_MICROPRICE_REVERSAL,avg_microprice_dev,reversal,4,0.925,62.08171111680122,0.00011488296907658573,3,0.9,191,242484.9485475732,270528.23650279915,28043.287955225933,4,5,7,12,-12800.017138751613,109039.50601830639,0.5503246421213897,0.31615159549748184,9.646808781292908,134,160233.48187151755,178844.00438381903,18610.522512301446,6,6,7,15,10232.013338084045,80590.30273832819,0.49704455150672483,0.288425048877476,9.609832516287717,True,True,True,True
P233_MICROPRICE_REVERSAL_H5_Q0_9,P231_MICROPRICE_REVERSAL_H3_Q0_9,P231_MICROPRICE_REVERSAL,avg_microprice_dev,reversal,5,0.9,54.31623670900108,0.00010256952769442333,3,0.9,176,208074.39715878002,232087.93729988494,24013.54014110491,5,6,8,14,-2149.0418513561935,76243.53508654455,0.6335756050353294,0.26461908510773774,9.664878061965174,167,101209.92554468026,122682.63916175361,21472.71361707337,4,6,7,18,-21088.104993451627,33355.618490297915,0.6704313503760785,0.6630074554419295,5.713420359884383,True,True,False,False
P233_MICROPRICE_REVERSAL_H2_Q0_875,P231_MICROPRICE_REVERSAL_H3_Q0_9,P231_MICROPRICE_REVERSAL,avg_microprice_dev,reversal,2,0.875,48.49752077504229,8.710084483056208e-05,3,0.9,937,298078.27235435427,426748.76782309567,128670.49546874138,5,6,9,29,-15806.449560875908,161378.27318203397,0.4586043729138764,0.28129451389417237,3.3166015741873633,766,97116.71410276373,200738.0568420543,103621.34273929059,3,6,9,29,-22559.67354438813,13982.210362696773,0.8560267355431574,0.6553422361809812,1.9372269412403542,True,True,False,False
P233_MICROPRICE_REVERSAL_H5_Q0_925,P231_MICROPRICE_REVERSAL_H3_Q0_9,P231_MICROPRICE_REVERSAL,avg_microprice_dev,reversal,5,0.925,62.08171111680122,0.00011488296907658573,3,0.9,84,153256.03489368723,165226.36772860648,11970.332834919218,2,4,7,9,-8139.386241593921,20874.12905445462,0.8637957123911311,0.3616308669784822,13.802988605848695,82,71051.98048695367,81859.36550214229,10807.385015188624,4,5,5,14,-6495.821426656695,1490.9613644735218,0.9790159070267255,0.49539082170851834,7.5743915283019625,True,True,False,False
