split,slice_name,slice_value,trades,symbols,days,net_pnl_inr,gross_pnl_inr,cost_pnl_drag_inr,positive_slice
train,feed_profile,disconnect_scenario,90,8,14,107034.48455668901,119827.43254551355,12792.947988824524,True
train,feed_profile,good_retail,89,8,15,60621.82887671231,73339.26197166873,12717.433094956428,True
train,feed_profile,ideal_research,121,8,16,56544.4497895505,73804.74848044514,17260.298690894644,True
train,feed_profile,normal_retail,87,8,15,53688.74212915168,66135.09654082818,12446.354411676513,True
train,feed_profile,stressed_retail,84,8,15,75145.18456111779,87092.50983567155,11947.325274553748,True
train,regime_code,D04,5,1,1,-12471.67032512519,-11904.852442598823,566.8178825263655,False
train,regime_code,D05,18,4,4,-1351.5093915227071,773.6765054302218,2125.185896952928,False
train,regime_code,D07,320,8,5,418337.314362594,465301.434142524,46964.11977993007,True
train,regime_code,D08,37,6,3,-17346.46338476307,-12591.496725171206,4754.966659591866,False
train,regime_code,D10,9,2,2,5363.628844744078,6399.902508716271,1036.2736639721923,True
train,regime_code,D12,9,2,1,-1823.332969457256,-737.5839551961635,1085.7490142610927,False
train,regime_code,D20,73,8,2,-37673.277223248566,-27042.030659577224,10631.246563671344,False
train,shock_bar,False,49,3,7,-12898.351857496018,-7177.966006880442,5720.385850615575,False
train,shock_bar,True,422,8,11,365933.0417707173,427377.0153810076,61443.97361029028,True
train,market_shock_bar,0,49,3,7,-12898.351857496018,-7177.966006880442,5720.385850615575,False
train,market_shock_bar,1,422,8,11,365933.0417707173,427377.0153810076,61443.97361029028,True
train,symbol_shock_bar,0,190,6,18,31393.889228857704,55514.29413070025,24120.404901842532,True
train,symbol_shock_bar,1,281,6,7,321640.8006843636,364684.7552434269,43043.95455906333,True
test,feed_profile,disconnect_scenario,77,8,18,76626.49375455102,87277.40621265171,10650.912458100673,True
test,feed_profile,good_retail,63,8,18,32680.244630696503,41281.06193966471,8600.817308968211,True
test,feed_profile,ideal_research,93,8,19,23582.18658462938,36488.300405182905,12906.113820553524,True
test,feed_profile,normal_retail,67,8,18,45662.4799783411,54870.11481966234,9207.634841321236,True
test,feed_profile,stressed_retail,65,8,16,51411.402223662706,60399.0205732113,8987.61834954858,True
test,regime_code,D03,10,2,1,4010.1144293863945,5212.509258729204,1202.394829342809,True
test,regime_code,D05,40,2,3,5055.498590234538,9723.18711712198,4667.688526887441,True
test,regime_code,D07,201,8,5,183229.4291829815,212397.05940566503,29167.63022268356,True
test,regime_code,D08,10,2,1,-4050.917512315421,-2892.4269515512306,1158.490560764191,False
test,regime_code,D10,14,2,2,6580.582568972758,8260.62942071304,1680.0468517402799,True
test,regime_code,D12,20,2,4,-11237.303679301469,-8896.987247480814,2340.3164318206545,False
test,regime_code,D20,70,7,3,46375.403591922426,56511.93294717573,10136.529355253295,True
test,shock_bar,False,94,2,11,357.97439697680056,11406.911597532178,11048.937200555376,True
test,shock_bar,True,271,8,8,229604.83277490392,268908.9923528408,39304.15957793686,True
test,market_shock_bar,0,94,2,11,357.97439697680056,11406.911597532178,11048.937200555376,True
test,market_shock_bar,1,271,8,8,229604.83277490392,268908.9923528408,39304.15957793686,True
test,symbol_shock_bar,0,182,5,19,11963.397923598617,34394.544987964,22431.14706436539,True
test,symbol_shock_bar,1,183,6,8,217999.40924828209,245921.35896240894,27921.949714126844,True
