candidate_id,min_train_net_bps,min_train_edge_bps,max_train_decision_rate,min_train_events,imbalance_source,side_mode,min_abs_imbalance,max_spread_bps,min_abs_event_zscore,min_quote_churn_count,max_decision_rate,test_replay_allowed_in_phase195,selected_by_phase195_train_only,validation_used_for_selection,extension_used_for_selection,test_used_for_selection
P195_TOP5_FOLLOW_I90_S1p5_Z1_Q1_R100,56.60028987717647,70.34455016459259,0.0005279659878753074,570,top5,follow_imbalance,0.9,1.5,1.0,1,0.01,0,1,0,0,0
P195_TOP5_FOLLOW_I90_S1p5_Z1_Q1_R50,56.60028987717647,70.29974423872326,0.0005279659878753074,570,top5,follow_imbalance,0.9,1.5,1.0,1,0.005,0,1,0,0,0
P195_TOP5_FOLLOW_I90_S1p5_Z1_Q0_R100,55.280888584061195,68.9715046645616,0.0005381548051851818,581,top5,follow_imbalance,0.9,1.5,1.0,0,0.01,0,1,0,0,0
P195_TOP5_FOLLOW_I90_S1p5_Z1_Q0_R50,55.280888584061195,34.55727070654498,0.0005381548051851818,581,top5,follow_imbalance,0.9,1.5,1.0,0,0.005,0,1,0,0,0
P195_TOP5_FOLLOW_I90_S2p5_Z1_Q1_R100,31.751526495716252,46.34808336654099,0.0008021377991228355,866,top5,follow_imbalance,0.9,2.5,1.0,1,0.01,0,1,0,0,0
P195_TOP5_FOLLOW_I90_S2p5_Z1_Q1_R50,31.751526495716252,46.32355172220302,0.0008021377991228355,866,top5,follow_imbalance,0.9,2.5,1.0,1,0.005,0,1,0,0,0
P195_TOP5_FOLLOW_I90_S2p5_Z1_Q0_R50,30.644144513279183,45.25013792165343,0.0008215891776235047,887,top5,follow_imbalance,0.9,2.5,1.0,0,0.005,0,1,0,0,0
P195_TOP5_FOLLOW_I90_S2p5_Z1_Q0_R100,30.644144513279183,22.703395933390745,0.0008215891776235047,887,top5,follow_imbalance,0.9,2.5,1.0,0,0.01,0,1,0,0,0
P195_TOP5_FOLLOW_I90_S1p5_Z0_Q1_R100,7.201056528960543,11.14607341944759,0.006824655085377658,7368,top5,follow_imbalance,0.9,1.5,0.0,1,0.01,0,1,0,0,0
P195_TOP5_FOLLOW_I90_S5p0_Z1_Q1_R100,6.541833368076309,25.648209518262128,0.0014495908263593967,1565,top5,follow_imbalance,0.9,5.0,1.0,1,0.01,0,1,0,0,0
P195_TOP5_FOLLOW_I90_S5p0_Z1_Q1_R50,6.541833368076309,0.017671894250176557,0.0014495908263593967,1565,top5,follow_imbalance,0.9,5.0,1.0,1,0.005,0,1,0,0,0
P195_TOP5_FOLLOW_I80_S1p5_Z1_Q1_R50,6.2257651859141045,9.94306173384152,0.0018978987879938681,2049,top5,follow_imbalance,0.8,1.5,1.0,1,0.005,0,1,0,0,0
P195_TOP5_FOLLOW_I80_S1p5_Z1_Q1_R100,6.2257651859141045,0.1406508592503879,0.0018978987879938681,2049,top5,follow_imbalance,0.8,1.5,1.0,1,0.01,0,1,0,0,0
P195_TOP5_FOLLOW_I80_S1p5_Z1_Q0_R50,5.9652833566795005,9.822864971078817,0.0019238339593280938,2077,top5,follow_imbalance,0.8,1.5,1.0,0,0.005,0,1,0,0,0
P195_TOP5_FOLLOW_I80_S1p5_Z1_Q0_R100,5.9652833566795005,9.76989096052214,0.0019238339593280938,2077,top5,follow_imbalance,0.8,1.5,1.0,0,0.01,0,1,0,0,0
P195_TOP5_FOLLOW_I90_S5p0_Z1_Q0_R100,5.732397849215506,24.90874623044058,0.001492198607837053,1611,top5,follow_imbalance,0.9,5.0,1.0,0,0.01,0,1,0,0,0
P195_TOP5_FOLLOW_I90_S5p0_Z1_Q0_R50,5.732397849215506,0.06172258183580817,0.001492198607837053,1611,top5,follow_imbalance,0.9,5.0,1.0,0,0.005,0,1,0,0,0
P195_TOP5_FOLLOW_I90_S1p5_Z0_Q0_R100,4.234141134049945,11.189464896261503,0.00848172728241086,9157,top5,follow_imbalance,0.9,1.5,0.0,0,0.01,0,1,0,0,0
P195_TOP5_FOLLOW_I80_S2p5_Z1_Q1_R50,1.3030229534129727,6.828567043369756,0.0027815471255956984,3003,top5,follow_imbalance,0.8,2.5,1.0,1,0.005,0,1,0,0,0
P195_TOP5_FOLLOW_I80_S2p5_Z1_Q1_R100,1.3030229534129727,6.824890961693815,0.0027815471255956984,3003,top5,follow_imbalance,0.8,2.5,1.0,1,0.01,0,1,0,0,0
P195_TOP5_FOLLOW_I80_S2p5_Z1_Q0_R50,1.0480437047936801,6.661584053855605,0.0028334174682641496,3059,top5,follow_imbalance,0.8,2.5,1.0,0,0.005,0,1,0,0,0
P195_TOP5_FOLLOW_I80_S2p5_Z1_Q0_R100,1.0480437047936801,0.14861577035895487,0.0028334174682641496,3059,top5,follow_imbalance,0.8,2.5,1.0,0,0.01,0,1,0,0,0
