candidate_id,latency_profile_id,split_bucket,decision_events,decision_rate,max_decision_rate,decision_rate_pass,dates_with_events,symbols_with_events,net_return_bps_after_cost_proxy_mean,gross_return_bps_proxy_mean,cost_bound_bps_mean,net_edge_over_shuffled_time_bps_mean,net_positive_event_fraction,test_rows_used,promotion_allowed
P195_TOP5_FOLLOW_I60_S1p5_Z0_Q0_R50,P180_RETAIL_MARKETABLE_DEFAULT,train,103565,0.09592771497246703,0.005,0,3,29,-8.434599757527309,2.9287572183075756,11.363356975834884,3.1132503011631565,0.0019794332061990054,0,0
P195_TOP5_FOLLOW_I60_S1p5_Z0_Q0_R50,P180_STRESSED_RETAIL,train,103565,0.09592771497246703,0.005,0,3,29,-10.29266536323149,2.9287572183075756,13.221422581539066,1.5632704184688955,0.0015835465649592043,0,0
P195_TOP5_FOLLOW_I60_S1p5_Z0_Q0_R100,P180_RETAIL_MARKETABLE_DEFAULT,train,103565,0.09592771497246703,0.01,0,3,29,-8.434599757527309,2.9287572183075756,11.363356975834884,3.309104357483133,0.0019794332061990054,0,0
P195_TOP5_FOLLOW_I60_S1p5_Z0_Q0_R100,P180_STRESSED_RETAIL,train,103565,0.09592771497246703,0.01,0,3,29,-10.29266536323149,2.9287572183075756,13.221422581539066,1.9513181522208143,0.0015835465649592043,0,0
P195_TOP5_FOLLOW_I60_S1p5_Z0_Q1_R50,P180_RETAIL_MARKETABLE_DEFAULT,train,84925,0.0786623009128254,0.005,0,3,29,-8.144738748044913,3.1714341208734544,11.316172868918368,2.327718641555736,0.0022961436561672066,0,0
P195_TOP5_FOLLOW_I60_S1p5_Z0_Q1_R50,P180_STRESSED_RETAIL,train,84925,0.0786623009128254,0.005,0,3,29,-9.955254528258655,3.1714341208734544,13.126688649132104,3.9889179147430656,0.0018251398292611128,0,0
P195_TOP5_FOLLOW_I60_S1p5_Z0_Q1_R100,P180_RETAIL_MARKETABLE_DEFAULT,train,84925,0.0786623009128254,0.01,0,3,29,-8.144738748044913,3.1714341208734544,11.316172868918368,2.574565769898986,0.0022961436561672066,0,0
P195_TOP5_FOLLOW_I60_S1p5_Z0_Q1_R100,P180_STRESSED_RETAIL,train,84925,0.0786623009128254,0.01,0,3,29,-9.955254528258655,3.1714341208734544,13.126688649132104,2.339483153405943,0.0018251398292611128,0,0
P195_TOP5_FOLLOW_I60_S1p5_Z1_Q0_R50,P180_RETAIL_MARKETABLE_DEFAULT,train,6980,0.006465267711174817,0.005,0,2,29,-5.402961203272776,5.917970375789316,11.320931579062092,8.779407432433871,0.0014326647564469914,0,0
P195_TOP5_FOLLOW_I60_S1p5_Z1_Q0_R50,P180_STRESSED_RETAIL,train,6980,0.006465267711174817,0.005,0,2,29,-7.230313160158605,5.917970375789316,13.148283535947922,3.0521375565207296,0.001146131805157593,0,0
P195_TOP5_FOLLOW_I60_S1p5_Z1_Q0_R100,P180_RETAIL_MARKETABLE_DEFAULT,train,6980,0.006465267711174817,0.01,1,2,29,-5.402961203272776,5.917970375789316,11.320931579062092,3.0440760344729028,0.0014326647564469914,0,0
P195_TOP5_FOLLOW_I60_S1p5_Z1_Q0_R100,P180_STRESSED_RETAIL,train,6980,0.006465267711174817,0.01,1,2,29,-7.230313160158605,5.917970375789316,13.148283535947922,5.914426379551707,0.001146131805157593,0,0
P195_TOP5_FOLLOW_I60_S1p5_Z1_Q1_R50,P180_RETAIL_MARKETABLE_DEFAULT,train,6919,0.006408766087910968,0.005,0,2,29,-5.3522420712450405,5.9700415917728265,11.322283663017867,3.0709812546623327,0.0014452955629426219,0,0
P195_TOP5_FOLLOW_I60_S1p5_Z1_Q1_R50,P180_STRESSED_RETAIL,train,6919,0.006408766087910968,0.005,0,2,29,-7.180057894013243,5.9700415917728265,13.15009948578607,3.0566755856092804,0.0011562364503540975,0,0
P195_TOP5_FOLLOW_I60_S1p5_Z1_Q1_R100,P180_RETAIL_MARKETABLE_DEFAULT,train,6919,0.006408766087910968,0.01,1,2,29,-5.3522420712450405,5.9700415917728265,11.322283663017867,5.97410286288768,0.0014452955629426219,0,0
P195_TOP5_FOLLOW_I60_S1p5_Z1_Q1_R100,P180_STRESSED_RETAIL,train,6919,0.006408766087910968,0.01,1,2,29,-7.180057894013243,5.9700415917728265,13.15009948578607,5.9771910655334475,0.0011562364503540975,0,0
P195_TOP5_FOLLOW_I60_S1p5_Z2_Q0_R50,P180_RETAIL_MARKETABLE_DEFAULT,train,4100,0.0037976500882258954,0.005,1,2,29,-10.988421425848863,0.1541432259474265,11.142564651796288,0.1530913041050612,0.0007317073170731707,0,0
