symbol,rows,months,dates,regimes,feed_profiles,market_shock_row_fraction,symbol_shock_row_fraction,median_gap_ms,p90_gap_ms,p95_gap_ms,gap_le_1s_fraction,median_spread_bps,p90_spread_bps,median_l1_depth,median_l5_depth,median_abs_l1_imbalance,one_tick_return_std
ADANIPORTS,94125,12,252,18,5,0.12688446215139443,0.24562018592297477,300.0,500.0,668.0,0.9887171314741036,2.2417754861855683,4.4260027662527355,806.0,6851.0,0.21285140562248997,0.005075927447819152
AXISBANK,94147,12,252,18,5,0.12691854227962654,0.0,300.0,500.0,600.0,0.9897819367584735,1.518718201837994,3.716919417187035,808.0,6870.0,0.022408963585434174,0.004646356688867434
BAJAJ-AUTO,94154,12,252,18,5,0.12663296301803428,0.21790895766510185,300.0,500.0,600.0,0.9899313890009984,3.3098491654451747,4.978096375945838,806.0,6852.5,0.0,0.004688983951655362
BANKBEES,94134,12,252,18,5,0.12660675207682665,0.17024666964114984,300.0,500.0,600.0,0.9888881806786071,3.7793515947204845,5.977898853949837,800.0,6800.0,0.32792207792207795,0.004112415157253356
BHARTIARTL,94221,12,252,18,5,0.1268613154180066,0.1504972352235701,300.0,500.0,600.0,0.9891531611848738,1.58202816010101,3.648874061718335,806.0,6851.0,0.07977207977207977,0.004688306587658481
BPCL,94188,12,252,18,5,0.12693761413343527,0.13459251709347264,300.0,500.0,600.0,0.9890750414065486,1.6388069485418342,4.86302480142575,810.0,6885.0,0.052805280528052806,0.00508402912196771
BRITANNIA,94118,12,252,18,5,0.1267770245861578,0.09897150385686054,300.0,500.0,611.0,0.9894812894451646,3.7696729808689096,5.6888214658196645,802.0,6816.0,0.0,0.004030157810970242
CIPLA,94128,12,252,18,5,0.12665731769505353,0.08306773754886962,300.0,500.0,600.0,0.9889299677035526,2.8266553600442625,4.949095022624755,802.0,6816.0,0.5685279187817259,0.004040001672512656
DRREDDY,94080,12,252,18,5,0.1267325680272109,0.08319515306122449,300.0,500.0,600.0,0.989827806122449,2.4445893089957185,4.856333468230749,802.0,6816.0,0.20725388601036268,0.00388435695260092
GOLDBEES,94135,12,252,18,5,0.12648855367291656,0.07107876985180857,300.0,500.0,600.0,0.9890582673819515,0.8570449091536781,2.547121752419862,800.0,6800.0,0.2022792022792023,0.004024516478668754
HCLTECH,94120,12,252,18,5,0.1267318317042074,0.0,300.0,500.0,600.0,0.9892477688057798,2.468932598139697,4.860267314701572,810.0,6885.0,0.29396325459317585,0.00481699544868026
HDFCBANK,94110,12,252,18,5,0.1268090532355754,0.0,300.0,500.0,637.2999999999884,0.9890447348847093,1.225039813794227,2.9997600191984644,808.0,6868.0,0.5723684210526315,0.004689987531671643
