trade_month,symbol,feature_value,filter_id,source_label,filter_flag,integration_action,may_open_replay
2026-01,ADANIPORTS,0.007936,P125_REGIME_REALISM_RISK,regime_realism_risk_label,0,flag_symbol_month_for_realism_review,0
2026-01,AXISBANK,0.0,P125_REGIME_REALISM_RISK,regime_realism_risk_label,0,flag_symbol_month_for_realism_review,0
2026-01,BAJAJ-AUTO,0.023808,P125_REGIME_REALISM_RISK,regime_realism_risk_label,1,flag_symbol_month_for_realism_review,0
2026-01,BANKBEES,0.023808,P125_REGIME_REALISM_RISK,regime_realism_risk_label,1,flag_symbol_month_for_realism_review,0
2026-01,BHARTIARTL,0.007936,P125_REGIME_REALISM_RISK,regime_realism_risk_label,0,flag_symbol_month_for_realism_review,0
2026-01,BPCL,0.0,P125_REGIME_REALISM_RISK,regime_realism_risk_label,0,flag_symbol_month_for_realism_review,0
2026-01,BRITANNIA,0.0,P125_REGIME_REALISM_RISK,regime_realism_risk_label,0,flag_symbol_month_for_realism_review,0
2026-01,CIPLA,0.007936,P125_REGIME_REALISM_RISK,regime_realism_risk_label,0,flag_symbol_month_for_realism_review,0
2026-01,DRREDDY,0.015872,P125_REGIME_REALISM_RISK,regime_realism_risk_label,0,flag_symbol_month_for_realism_review,0
2026-01,GOLDBEES,0.023808,P125_REGIME_REALISM_RISK,regime_realism_risk_label,1,flag_symbol_month_for_realism_review,0
2026-01,HCLTECH,0.023808,P125_REGIME_REALISM_RISK,regime_realism_risk_label,1,flag_symbol_month_for_realism_review,0
2026-01,HDFCBANK,0.055552,P125_REGIME_REALISM_RISK,regime_realism_risk_label,1,flag_symbol_month_for_realism_review,0
2026-01,HINDUNILVR,0.0,P125_REGIME_REALISM_RISK,regime_realism_risk_label,0,flag_symbol_month_for_realism_review,0
2026-01,ICICIBANK,0.0,P125_REGIME_REALISM_RISK,regime_realism_risk_label,0,flag_symbol_month_for_realism_review,0
2026-01,INFY,0.015872,P125_REGIME_REALISM_RISK,regime_realism_risk_label,0,flag_symbol_month_for_realism_review,0
2026-01,ITBEES,0.015872,P125_REGIME_REALISM_RISK,regime_realism_risk_label,0,flag_symbol_month_for_realism_review,0
2026-01,ITC,0.015872,P125_REGIME_REALISM_RISK,regime_realism_risk_label,0,flag_symbol_month_for_realism_review,0
2026-01,JUNIORBEES,0.007936,P125_REGIME_REALISM_RISK,regime_realism_risk_label,0,flag_symbol_month_for_realism_review,0
2026-01,KOTAKBANK,0.0,P125_REGIME_REALISM_RISK,regime_realism_risk_label,0,flag_symbol_month_for_realism_review,0
2026-01,LT,0.015872,P125_REGIME_REALISM_RISK,regime_realism_risk_label,0,flag_symbol_month_for_realism_review,0
2026-01,M&M,0.055552,P125_REGIME_REALISM_RISK,regime_realism_risk_label,1,flag_symbol_month_for_realism_review,0
2026-01,MARUTI,0.015872,P125_REGIME_REALISM_RISK,regime_realism_risk_label,0,flag_symbol_month_for_realism_review,0
2026-01,NESTLEIND,0.015872,P125_REGIME_REALISM_RISK,regime_realism_risk_label,0,flag_symbol_month_for_realism_review,0
2026-01,NIFTYBEES,0.007936,P125_REGIME_REALISM_RISK,regime_realism_risk_label,0,flag_symbol_month_for_realism_review,0
2026-01,ONGC,0.0,P125_REGIME_REALISM_RISK,regime_realism_risk_label,0,flag_symbol_month_for_realism_review,0
2026-01,RELIANCE,0.015872,P125_REGIME_REALISM_RISK,regime_realism_risk_label,0,flag_symbol_month_for_realism_review,0
2026-01,SBIN,0.007936,P125_REGIME_REALISM_RISK,regime_realism_risk_label,0,flag_symbol_month_for_realism_review,0
2026-01,SUNPHARMA,0.007936,P125_REGIME_REALISM_RISK,regime_realism_risk_label,0,flag_symbol_month_for_realism_review,0
2026-01,TCS,0.015872,P125_REGIME_REALISM_RISK,regime_realism_risk_label,0,flag_symbol_month_for_realism_review,0
2026-01,TECHM,0.0,P125_REGIME_REALISM_RISK,regime_realism_risk_label,0,flag_symbol_month_for_realism_review,0
2026-01,ULTRACEMCO,0.023808,P125_REGIME_REALISM_RISK,regime_realism_risk_label,1,flag_symbol_month_for_realism_review,0
2026-01,WIPRO,0.023808,P125_REGIME_REALISM_RISK,regime_realism_risk_label,1,flag_symbol_month_for_realism_review,0
2026-02,ADANIPORTS,0.015872,P125_REGIME_REALISM_RISK,regime_realism_risk_label,0,flag_symbol_month_for_realism_review,0
2026-02,AXISBANK,0.023808,P125_REGIME_REALISM_RISK,regime_realism_risk_label,1,flag_symbol_month_for_realism_review,0
2026-02,BAJAJ-AUTO,0.015872,P125_REGIME_REALISM_RISK,regime_realism_risk_label,0,flag_symbol_month_for_realism_review,0
2026-02,BANKBEES,0.023808,P125_REGIME_REALISM_RISK,regime_realism_risk_label,1,flag_symbol_month_for_realism_review,0
2026-02,BHARTIARTL,0.007936,P125_REGIME_REALISM_RISK,regime_realism_risk_label,0,flag_symbol_month_for_realism_review,0
2026-02,BPCL,0.007936,P125_REGIME_REALISM_RISK,regime_realism_risk_label,0,flag_symbol_month_for_realism_review,0
2026-02,BRITANNIA,0.031744,P125_REGIME_REALISM_RISK,regime_realism_risk_label,1,flag_symbol_month_for_realism_review,0
2026-02,CIPLA,0.031744,P125_REGIME_REALISM_RISK,regime_realism_risk_label,1,flag_symbol_month_for_realism_review,0
2026-02,DRREDDY,0.007936,P125_REGIME_REALISM_RISK,regime_realism_risk_label,0,flag_symbol_month_for_realism_review,0
2026-02,GOLDBEES,0.007936,P125_REGIME_REALISM_RISK,regime_realism_risk_label,0,flag_symbol_month_for_realism_review,0
2026-02,HCLTECH,0.015872,P125_REGIME_REALISM_RISK,regime_realism_risk_label,0,flag_symbol_month_for_realism_review,0
2026-02,HDFCBANK,0.023808,P125_REGIME_REALISM_RISK,regime_realism_risk_label,1,flag_symbol_month_for_realism_review,0
2026-02,HINDUNILVR,0.015872,P125_REGIME_REALISM_RISK,regime_realism_risk_label,0,flag_symbol_month_for_realism_review,0
2026-02,ICICIBANK,0.023808,P125_REGIME_REALISM_RISK,regime_realism_risk_label,1,flag_symbol_month_for_realism_review,0
2026-02,INFY,0.031744,P125_REGIME_REALISM_RISK,regime_realism_risk_label,1,flag_symbol_month_for_realism_review,0
2026-02,ITBEES,0.007936,P125_REGIME_REALISM_RISK,regime_realism_risk_label,0,flag_symbol_month_for_realism_review,0
2026-02,ITC,0.015872,P125_REGIME_REALISM_RISK,regime_realism_risk_label,0,flag_symbol_month_for_realism_review,0
