phase286_variant_id,lifecycle_family,grid_id,scenario_rows,selected_event_rows,max_scheduled_event_rows,cost200_above12_sparse_diagnostic_rows,robust_portfolio_floor_above12_rows,sparse_floor_met_rows,robust_portfolio_floor_met_rows,min_annualized_pct,median_annualized_pct,max_annualized_pct,max_net_pnl_inr
P286_P285_QUEUE_ADVERSITY_ORDER_TIMING_TEST_P285_GRID_ORIG_E2_H8,queue_adversity_order_timing_test,P285_GRID_ORIG_E2_H8,12,234,8,0,0,4,0,0.05727965845929522,1.8604918238820614,3.462593252169461,109.923595306967
P286_P285_ENTRY_DELAY_TEST_P285_GRID_ORIG_E2_H8,entry_delay_test,P285_GRID_ORIG_E2_H8,12,861,7,0,0,0,0,-4.041100767621881,-2.1132803289232234,1.633788926092426,51.86631511404528
P286_P285_QUEUE_ADVERSITY_ORDER_TIMING_TEST_P285_GRID_ORIG_E0_H5,queue_adversity_order_timing_test,P285_GRID_ORIG_E0_H5,12,234,12,0,0,4,0,-0.8683890068240683,0.29567235012717863,0.6311394542253038,20.036173150009645
P286_P285_QUEUE_ADVERSITY_ORDER_TIMING_TEST_P285_GRID_ORIG_E1_H5,queue_adversity_order_timing_test,P285_GRID_ORIG_E1_H5,12,234,12,0,0,4,0,-1.8585191818745983,-0.5006611608444007,-0.16587392434953296,-5.2658388682391415
P286_P285_SIDE_FLIP_REVERSAL_TEST_P285_GRID_ORIG_E0_H5,side_flip_reversal_test,P285_GRID_ORIG_E0_H5,12,640,11,0,0,8,0,-14.877216834055666,-2.670727331635804,-0.1668736032930763,-5.2975747077167075
P286_P285_TAKE_PROFIT_STOP_TIMEOUT_TEST_P285_GRID_ORIG_E0_H5,take_profit_stop_timeout_test,P285_GRID_ORIG_E0_H5,12,598,16,0,0,8,0,-8.925138977925775,-5.92105091949099,-0.3786571160616771,-12.020860827354829
P286_P285_ENTRY_DELAY_TEST_P285_GRID_ORIG_E0_H5,entry_delay_test,P285_GRID_ORIG_E0_H5,12,861,14,0,0,8,0,-2.480302219197814,-2.085392883378478,-0.4747758179112242,-15.07224818765791
P286_P285_TAKE_PROFIT_STOP_TIMEOUT_TEST_P285_GRID_ORIG_E1_H5,take_profit_stop_timeout_test,P285_GRID_ORIG_E1_H5,12,598,16,0,0,8,0,-10.92314026251926,-7.246331883072291,-0.7736864721555101,-24.56147530652413
P286_P285_ENTRY_DELAY_TEST_P285_GRID_ORIG_E1_H5,entry_delay_test,P285_GRID_ORIG_E1_H5,12,861,14,0,0,8,0,-3.585049807369629,-3.324582754826781,-0.8962624518424073,-28.45277624896531
P286_P285_SIDE_FLIP_REVERSAL_TEST_P285_GRID_ORIG_E1_H5,side_flip_reversal_test,P285_GRID_ORIG_E1_H5,12,640,11,0,0,8,0,-16.729654016761383,-3.5065536295200856,-0.9006428553484481,-28.59183667772851
P286_P285_TAKE_PROFIT_STOP_TIMEOUT_TEST_P285_GRID_ORIG_E2_H8,take_profit_stop_timeout_test,P285_GRID_ORIG_E2_H8,12,598,7,0,0,0,0,-11.45230082784032,-2.18603620672713,-1.093018103363565,-34.698987408367145
P286_P285_QUEUE_ADVERSITY_ORDER_TIMING_TEST_P285_GRID_ORIG_TP8_SL4_H10,queue_adversity_order_timing_test,P285_GRID_ORIG_TP8_SL4_H10,12,234,8,0,0,4,0,-5.607459588077079,-5.3778312,-1.3444578,-42.6812
P286_P285_ENTRY_DELAY_TEST_P285_GRID_ORIG_TP8_SL4_H10,entry_delay_test,P285_GRID_ORIG_TP8_SL4_H10,12,861,6,0,0,0,0,-5.3778312,-4.978373400000001,-1.3444578,-42.6812
P286_P285_TAKE_PROFIT_STOP_TIMEOUT_TEST_P285_GRID_ORIG_TP8_SL4_H10,take_profit_stop_timeout_test,P285_GRID_ORIG_TP8_SL4_H10,12,598,6,0,0,0,0,-5.3778312,-4.978373400000001,-1.3444578,-42.6812
P286_P285_SIDE_FLIP_REVERSAL_TEST_P285_GRID_ORIG_E2_H8,side_flip_reversal_test,P285_GRID_ORIG_E2_H8,12,640,9,0,0,4,0,-18.795868960910063,-8.21999936146934,-1.6559797471353013,-52.5707856233429
