phase286_variant_id,lifecycle_family_id,lifecycle_family,grid_id,selection_rule,selected_event_rows,side_multiplier,entry_delay_ticks,exit_horizon_ticks,take_profit_bps,stop_loss_bps,latency_bucket,uses_top5,uses_levels_2_to_5,l1_only_variant,uses_net_edge_as_live_mask,phase286_search_allowed
P286_P285_SIDE_FLIP_REVERSAL_TEST_P285_GRID_ORIG_E0_H3,P285_SIDE_FLIP_REVERSAL_TEST,side_flip_reversal_test,P285_GRID_ORIG_E0_H3,beyond_l1_imbalance>=q50(0.569244),640,1,0,3,,,base,1,1,0,0,1
P286_P285_SIDE_FLIP_REVERSAL_TEST_P285_GRID_ORIG_E0_H5,P285_SIDE_FLIP_REVERSAL_TEST,side_flip_reversal_test,P285_GRID_ORIG_E0_H5,beyond_l1_imbalance>=q50(0.569244),640,1,0,5,,,base,1,1,0,0,1
P286_P285_SIDE_FLIP_REVERSAL_TEST_P285_GRID_ORIG_E1_H5,P285_SIDE_FLIP_REVERSAL_TEST,side_flip_reversal_test,P285_GRID_ORIG_E1_H5,beyond_l1_imbalance>=q50(0.569244),640,1,1,5,,,base,1,1,0,0,1
P286_P285_SIDE_FLIP_REVERSAL_TEST_P285_GRID_ORIG_E2_H8,P285_SIDE_FLIP_REVERSAL_TEST,side_flip_reversal_test,P285_GRID_ORIG_E2_H8,beyond_l1_imbalance>=q50(0.569244),640,1,2,8,,,slow,1,1,0,0,1
P286_P285_SIDE_FLIP_REVERSAL_TEST_P285_GRID_INV_E0_H3,P285_SIDE_FLIP_REVERSAL_TEST,side_flip_reversal_test,P285_GRID_INV_E0_H3,beyond_l1_imbalance>=q50(0.569244),640,-1,0,3,,,base,1,1,0,0,1
P286_P285_SIDE_FLIP_REVERSAL_TEST_P285_GRID_INV_E0_H5,P285_SIDE_FLIP_REVERSAL_TEST,side_flip_reversal_test,P285_GRID_INV_E0_H5,beyond_l1_imbalance>=q50(0.569244),640,-1,0,5,,,base,1,1,0,0,1
P286_P285_SIDE_FLIP_REVERSAL_TEST_P285_GRID_INV_E1_H5,P285_SIDE_FLIP_REVERSAL_TEST,side_flip_reversal_test,P285_GRID_INV_E1_H5,beyond_l1_imbalance>=q50(0.569244),640,-1,1,5,,,base,1,1,0,0,1
P286_P285_SIDE_FLIP_REVERSAL_TEST_P285_GRID_INV_E2_H8,P285_SIDE_FLIP_REVERSAL_TEST,side_flip_reversal_test,P285_GRID_INV_E2_H8,beyond_l1_imbalance>=q50(0.569244),640,-1,2,8,,,slow,1,1,0,0,1
P286_P285_SIDE_FLIP_REVERSAL_TEST_P285_GRID_ORIG_TP4_SL4_H5,P285_SIDE_FLIP_REVERSAL_TEST,side_flip_reversal_test,P285_GRID_ORIG_TP4_SL4_H5,beyond_l1_imbalance>=q50(0.569244),640,1,0,5,4.0,4.0,base,1,1,0,0,1
P286_P285_SIDE_FLIP_REVERSAL_TEST_P285_GRID_ORIG_TP8_SL4_H10,P285_SIDE_FLIP_REVERSAL_TEST,side_flip_reversal_test,P285_GRID_ORIG_TP8_SL4_H10,beyond_l1_imbalance>=q50(0.569244),640,1,1,10,8.0,4.0,slow,1,1,0,0,1
