trade_month,symbols,median_symbol_cost_hurdle_bps,median_symbol_p95_abs_next_return_bps,median_fraction_abs_return_ge_1_25x_cost,tail_edge_available_symbols,tail_edge_available_fraction
2026-01,32,11.856122063765543,180.89353645553416,0.7701956128711873,32,1.0
2026-02,32,12.429711191881212,196.23124378902799,0.7923076923076923,32,1.0
2026-03,32,12.172829680607428,135.73049583817777,0.769127896761094,32,1.0
2026-04,32,11.901042934600907,170.00396088920806,0.7885915907086152,32,1.0
2026-05,32,12.422512770075793,118.76682560150869,0.7628156661122032,32,1.0
2026-06,32,12.577701936457572,205.16243591026324,0.7890983417844488,32,1.0
2026-07,32,12.169369899732068,137.69961584521303,0.7592506037236114,32,1.0
2026-08,32,12.444022540454517,183.7480751691693,0.8113197051870393,32,1.0
2026-09,32,12.057270501283632,181.7248137095589,0.8055555555555556,32,1.0
2026-10,32,11.832517977024438,130.01037319089525,0.772522661167454,32,1.0
2026-11,32,12.425814730287385,176.94142623058914,0.7738721804511278,32,1.0
2026-12,32,12.38834318669033,189.4327052032109,0.753284813197477,32,1.0
