symbol,file,rows,row_groups,bytes,exact_schema_matches_first,schema_matches_first
ADANIPORTS,part-034501_461115-000006.parquet,1,1,34112,True,True
ADANIPORTS,part-034515_232603-000033.parquet,3,1,34212,True,True
ADANIPORTS,part-034529_231528-000065.parquet,3,1,34472,False,True
ADANIPORTS,part-034543_231400-000097.parquet,2,1,34437,False,True
ADANIPORTS,part-034557_482643-000129.parquet,3,1,34470,False,True
ADANIPORTS,part-034611_479693-000161.parquet,3,1,34512,False,True
ADANIPORTS,part-034625_480672-000193.parquet,3,1,34495,False,True
ADANIPORTS,part-034639_483870-000225.parquet,4,1,34548,False,True
ADANIPORTS,part-034653_480389-000257.parquet,3,1,34458,False,True
ADANIPORTS,part-034707_481783-000289.parquet,10,1,35373,False,True
ADANIPORTS,part-034721_980155-000321.parquet,19,1,36251,False,True
ADANIPORTS,part-034735_981274-000353.parquet,22,1,36284,False,True
ADANIPORTS,part-034750_229849-000385.parquet,23,1,36103,False,True
ADANIPORTS,part-034804_227127-000417.parquet,16,1,35666,False,True
ADANIPORTS,part-034818_230261-000449.parquet,3,1,34494,False,True
ADANIPORTS,part-034832_227665-000481.parquet,3,1,34493,False,True
ADANIPORTS,part-034846_477541-000513.parquet,3,1,34511,False,True
ADANIPORTS,part-034900_478354-000545.parquet,4,1,34703,False,True
ADANIPORTS,part-034914_479080-000577.parquet,19,1,36083,False,True
ADANIPORTS,part-034928_731007-000609.parquet,22,1,35951,False,True
ADANIPORTS,part-034942_979559-000641.parquet,21,1,36053,False,True
ADANIPORTS,part-034957_231624-000673.parquet,22,1,36076,False,True
ADANIPORTS,part-035011_478207-000705.parquet,4,1,34692,False,True
ADANIPORTS,part-035025_495713-000737.parquet,4,1,34656,False,True
ADANIPORTS,part-035039_738678-000769.parquet,3,1,34457,False,True
ADANIPORTS,part-035054_230514-000801.parquet,4,1,34756,False,True
ADANIPORTS,part-035108_480289-000833.parquet,2,1,34155,False,True
ADANIPORTS,part-035122_732362-000865.parquet,3,1,34467,False,True
ADANIPORTS,part-035137_230061-000897.parquet,3,1,34448,False,True
ADANIPORTS,part-035151_481390-000929.parquet,4,1,34698,False,True
ADANIPORTS,part-035206_235457-000961.parquet,9,1,35407,False,True
ADANIPORTS,part-035220_233434-000993.parquet,19,1,36041,False,True
ADANIPORTS,part-035234_737155-001025.parquet,23,1,36016,False,True
ADANIPORTS,part-035249_232163-001057.parquet,18,1,36008,False,True
ADANIPORTS,part-035303_984955-001089.parquet,18,1,36021,False,True
ADANIPORTS,part-035318_233173-001121.parquet,2,1,34173,False,True
ADANIPORTS,part-035332_982798-001153.parquet,4,1,34536,False,True
ADANIPORTS,part-035347_984333-001185.parquet,3,1,34471,False,True
ADANIPORTS,part-035402_731867-001217.parquet,9,1,35325,False,True
ADANIPORTS,part-035417_483044-001249.parquet,17,1,36054,False,True
ADANIPORTS,part-035431_731495-001281.parquet,17,1,35930,False,True
ADANIPORTS,part-035446_235988-001313.parquet,20,1,36031,False,True
ADANIPORTS,part-035500_733284-001345.parquet,21,1,36241,False,True
