symbol,instrument_class,row_count,file_count,file_bytes,compressed_bytes_per_row,first_receive_ms,last_receive_ms,first_receive_utc,last_receive_utc,duration_seconds,event_rate_per_second,duplicate_receive_ms,duplicate_monotonic_ns,receive_ms_order_violations,monotonic_ns_order_violations,min_interarrival_ms,median_interarrival_ms,p95_interarrival_ms,max_interarrival_ms,stale_gap_gt_5s_count,stale_gap_gt_15s_count,crossed_book_count,locked_book_count,negative_quantity_or_order_count,bid_depth_sort_error_rows,ask_depth_sort_error_rows,cumulative_volume_reversal_count,off_tick_005_price_count,inferred_min_last_price_increment,worst_null_field,worst_null_rate
ADANIPORTS,equity,13886,1569,54744007,3942.388520812329,1783914093966,1783936900961,2026-07-13T03:41:33.966000+00:00,2026-07-13T10:01:40.961000+00:00,22806.995,0.6088482941308139,372,0,0,0,0.0,1000.0,5500.0,211229.0,1018,2,0,1,0,0,0,0,11030,0.09999999999990905,source_file_ordinal,0.0
AXISBANK,equity,18309,1569,55030126,3005.632530449506,1783914093966,1783936869060,2026-07-13T03:41:33.966000+00:00,2026-07-13T10:01:09.060000+00:00,22775.094,0.803904475652219,785,0,0,0,0.0,749.0,4913.649999999998,211230.0,840,2,0,1,0,0,0,0,14591,0.09999999999990905,source_file_ordinal,0.0
BAJAJ-AUTO,equity,25141,1569,55531219,2208.791177757448,1783914093966,1783936869461,2026-07-13T03:41:33.966000+00:00,2026-07-13T10:01:09.461000+00:00,22775.495,1.1038618480081333,1172,0,0,0,0.0,741.0,4410.049999999999,211230.0,549,2,0,1,0,0,0,0,19742,0.5,source_file_ordinal,0.0
BANKBEES,etf,18916,1569,54858026,2900.0859589765278,1783914311961,1783936885837,2026-07-13T03:45:11.961000+00:00,2026-07-13T10:01:25.837000+00:00,22573.876,0.8379597726150352,352,0,0,0,0.0,1000.0,4833.0,41627.0,750,2,0,1,0,0,0,0,212284,0.009999999999990905,source_file_ordinal,0.0
BHARTIARTL,equity,19560,1569,55190740,2821.612474437628,1783914093966,1783936900961,2026-07-13T03:41:33.966000+00:00,2026-07-13T10:01:40.961000+00:00,22806.995,0.8576316169666368,878,0,0,0,0.0,749.0,4762.399999999994,211229.0,788,2,0,1,0,0,0,0,15872,0.09999999999990905,source_file_ordinal,0.0
BPCL,equity,10684,1569,54256472,5078.29202545863,1783914093966,1783936869060,2026-07-13T03:41:33.966000+00:00,2026-07-13T10:01:09.060000+00:00,22775.094,0.4691089310103396,176,0,0,0,0.0,1602.0,6081.699999999999,211229.0,1243,2,0,1,0,0,0,0,8334,0.049999999999954525,source_file_ordinal,0.0
BRITANNIA,equity,8526,1569,54177058,6354.334740792869,1783914093966,1783936870211,2026-07-13T03:41:33.966000+00:00,2026-07-13T10:01:10.211000+00:00,22776.245,0.3743373852889271,117,0,0,0,0.0,2000.0,7000.799999999999,211233.0,1463,2,0,1,0,0,0,0,6797,0.5,source_file_ordinal,0.0
CIPLA,equity,11664,1569,54425687,4666.12542866941,1783914093966,1783936900961,2026-07-13T03:41:33.966000+00:00,2026-07-13T10:01:40.961000+00:00,22806.995,0.5114220439825589,219,0,0,0,0.0,1194.0,5953.9,211229.0,1131,2,0,1,0,0,0,0,9686,0.09999999999990905,source_file_ordinal,0.0
DRREDDY,equity,12257,1569,54592935,4454.020967610345,1783914093966,1783936869211,2026-07-13T03:41:33.966000+00:00,2026-07-13T10:01:09.211000+00:00,22775.245,0.5381720372272615,263,0,0,0,0.0,1250.0,5750.0,211229.0,1065,2,0,1,0,0,0,0,9384,0.09999999999990905,source_file_ordinal,0.0
GOLDBEES,etf,12982,1568,54501651,4198.247650593129,1783914310711,1783936882210,2026-07-13T03:45:10.711000+00:00,2026-07-13T10:01:22.210000+00:00,22571.499,0.5751501041202447,361,0,0,0,0.0,1000.0,5680.0,50999.0,1042,2,0,2,0,0,0,0,166575,0.009999999999990905,volume_traded,7.702973347712218e-05
