symbol,instrument_class,horizon_ms,expected_bins,bins_with_update,coverage_fraction,forward_fill_fraction,supported_for_resampling
ADANIPORTS,equity,100,228070,11385,0.04991888455298812,0.9500811154470119,False
ADANIPORTS,equity,250,91228,11250,0.12331740255184812,0.8766825974481519,False
ADANIPORTS,equity,500,45614,10652,0.23352479501907308,0.7664752049809269,False
ADANIPORTS,equity,1000,22807,9462,0.41487262682509757,0.5851273731749025,False
ADANIPORTS,equity,5000,4562,4267,0.9353353792196405,0.0646646207803595,True
ADANIPORTS,equity,15000,1521,1503,0.9881656804733728,0.011834319526627168,True
ADANIPORTS,equity,60000,381,378,0.9921259842519685,0.007874015748031482,True
AXISBANK,equity,100,227751,14562,0.0639382483501719,0.9360617516498281,False
AXISBANK,equity,250,91101,14337,0.15737478183554515,0.8426252181644549,False
AXISBANK,equity,500,45551,13187,0.2894996816754846,0.7105003183245153,False
AXISBANK,equity,1000,22776,10827,0.47536880927291886,0.5246311907270811,False
AXISBANK,equity,5000,4556,4295,0.9427129060579456,0.057287093942054446,True
AXISBANK,equity,15000,1519,1502,0.9888084265964451,0.011191573403554922,True
AXISBANK,equity,60000,380,378,0.9947368421052631,0.0052631578947368585,True
BAJAJ-AUTO,equity,100,227755,19351,0.08496410616671424,0.9150358938332858,False
BAJAJ-AUTO,equity,250,91102,19055,0.20916116001844087,0.7908388399815591,False
BAJAJ-AUTO,equity,500,45551,17545,0.3851726636078242,0.6148273363921758,False
BAJAJ-AUTO,equity,1000,22776,14310,0.6282929399367756,0.3717070600632244,False
BAJAJ-AUTO,equity,5000,4556,4377,0.9607111501316945,0.0392888498683055,True
BAJAJ-AUTO,equity,15000,1519,1502,0.9888084265964451,0.011191573403554922,True
BAJAJ-AUTO,equity,60000,380,378,0.9947368421052631,0.0052631578947368585,True
BANKBEES,etf,100,225739,15011,0.06649714936275965,0.9335028506372404,False
BANKBEES,etf,250,90296,14885,0.1648467263223177,0.8351532736776823,False
BANKBEES,etf,500,45148,14406,0.3190839018339683,0.6809160981660317,False
BANKBEES,etf,1000,22574,13228,0.5859838752547178,0.41401612474528215,False
BANKBEES,etf,5000,4515,4296,0.9514950166112957,0.04850498338870435,True
BANKBEES,etf,15000,1505,1502,0.9980066445182725,0.001993355481727521,True
BANKBEES,etf,60000,377,377,1.0,0.0,True
BHARTIARTL,equity,100,228070,15413,0.06758012890779147,0.9324198710922085,False
BHARTIARTL,equity,250,91228,15201,0.1666264743280572,0.8333735256719428,False
BHARTIARTL,equity,500,45614,14155,0.31032139255491736,0.6896786074450827,False
BHARTIARTL,equity,1000,22807,11548,0.5063357741044416,0.49366422589555836,False
BHARTIARTL,equity,5000,4562,4362,0.9561595791319597,0.0438404208680403,True
BHARTIARTL,equity,15000,1521,1502,0.9875082182774491,0.012491781722550943,True
BHARTIARTL,equity,60000,381,378,0.9921259842519685,0.007874015748031482,True
BPCL,equity,100,227751,9078,0.03985932004689332,0.9601406799531067,False
BPCL,equity,250,91101,8980,0.09857191468809344,0.9014280853119065,False
BPCL,equity,500,45551,8682,0.19059954775965401,0.809400452240346,False
BPCL,equity,1000,22776,8056,0.3537056550755181,0.6462943449244819,False
BPCL,equity,5000,4556,4196,0.9209833187006146,0.07901668129938544,True
BPCL,equity,15000,1519,1503,0.989466754443713,0.010533245556286985,True
BPCL,equity,60000,380,378,0.9947368421052631,0.0052631578947368585,True
BRITANNIA,equity,100,227763,7503,0.03294213722158559,0.9670578627784144,False
BRITANNIA,equity,250,91105,7428,0.08153229789802975,0.9184677021019703,False
BRITANNIA,equity,500,45553,7205,0.15816740939125853,0.8418325906087415,False
BRITANNIA,equity,1000,22777,6775,0.2974491811915529,0.702550818808447,False
BRITANNIA,equity,5000,4556,4035,0.8856453028972783,0.11435469710272173,False
BRITANNIA,equity,15000,1519,1503,0.989466754443713,0.010533245556286985,True
BRITANNIA,equity,60000,380,378,0.9947368421052631,0.0052631578947368585,True
CIPLA,equity,100,228070,9815,0.04303503310387162,0.9569649668961284,False
CIPLA,equity,250,91228,9699,0.10631604332003332,0.8936839566799667,False
CIPLA,equity,500,45614,9293,0.2037313105625466,0.7962686894374534,False
CIPLA,equity,1000,22807,8403,0.3684395141842417,0.6315604858157583,False
CIPLA,equity,5000,4562,4207,0.9221832529592284,0.07781674704077157,True
CIPLA,equity,15000,1521,1503,0.9881656804733728,0.011834319526627168,True
CIPLA,equity,60000,381,378,0.9921259842519685,0.007874015748031482,True
DRREDDY,equity,100,227753,10221,0.044877564730212115,0.9551224352697879,False
DRREDDY,equity,250,91101,10106,0.11093182292181206,0.889068177078188,False
DRREDDY,equity,500,45551,9680,0.21250905578362714,0.7874909442163729,False
DRREDDY,equity,1000,22776,8749,0.3841324200913242,0.6158675799086758,False
DRREDDY,equity,5000,4556,4260,0.9350307287093942,0.06496927129060581,True
