ordinal,column_name,observed_column_types,logical_type
0,collector_received_utc,large_string,string
1,collector_received_utc_ms,int64,number
2,collector_received_monotonic_ns,int64,number
3,exchange_timestamp,large_string,string
4,last_trade_time,large_string,string
5,trade_date,large_string,string
6,exchange,large_string,string
7,tradingsymbol,large_string,string
8,requested_symbol,large_string,string
9,instrument_token,int64,number
10,last_price,double,number
11,last_traded_quantity,int64,number
12,volume_traded,double|int64,number
13,average_traded_price,double,number
14,total_buy_quantity,int64,number
15,total_sell_quantity,int64,number
16,oi,int64,number
17,oi_day_high,int64,number
18,oi_day_low,int64,number
19,ohlc_open,double,number
20,ohlc_high,double,number
21,ohlc_low,double,number
22,ohlc_close,double,number
23,change,double,number
24,buy_1_price,double,number
25,buy_1_quantity,int64,number
26,buy_1_orders,int64,number
27,buy_2_price,double,number
28,buy_2_quantity,int64,number
29,buy_2_orders,int64,number
30,buy_3_price,double,number
31,buy_3_quantity,int64,number
32,buy_3_orders,int64,number
33,buy_4_price,double,number
34,buy_4_quantity,int64,number
35,buy_4_orders,int64,number
36,buy_5_price,double,number
37,buy_5_quantity,int64,number
38,buy_5_orders,int64,number
39,sell_1_price,double,number
40,sell_1_quantity,int64,number
41,sell_1_orders,int64,number
42,sell_2_price,double,number
43,sell_2_quantity,int64,number
44,sell_2_orders,int64,number
45,sell_3_price,double,number
46,sell_3_quantity,int64,number
47,sell_3_orders,int64,number
48,sell_4_price,double,number
49,sell_4_quantity,int64,number
50,sell_4_orders,int64,number
51,sell_5_price,double,number
52,sell_5_quantity,int64,number
53,sell_5_orders,int64,number
