horizon_sec,trade_date,exchange,symbol,split_role,rows,cost_aware_actionable_rows,actionable_rate,up_rows,down_rows,neutral_rows,median_retail_cost_bound_bps,median_stressed_cost_bound_bps,max_abs_forward_move_bps,test_rows_used
5,2026-07-08,NSE,ADANIPORTS,train,0,0,0.0,0,0,0,0.0,0.0,0.0,0
5,2026-07-08,NSE,AXISBANK,train,0,0,0.0,0,0,0,0.0,0.0,0.0,0
5,2026-07-08,NSE,BAJAJ-AUTO,train,0,0,0.0,0,0,0,0.0,0.0,0.0,0
5,2026-07-08,NSE,BANKBEES,train,0,0,0.0,0,0,0,0.0,0.0,0.0,0
5,2026-07-08,NSE,BHARTIARTL,train,0,0,0.0,0,0,0,0.0,0.0,0.0,0
5,2026-07-08,NSE,BPCL,train,0,0,0.0,0,0,0,0.0,0.0,0.0,0
5,2026-07-08,NSE,BRITANNIA,train,0,0,0.0,0,0,0,0.0,0.0,0.0,0
5,2026-07-08,NSE,CIPLA,train,0,0,0.0,0,0,0,0.0,0.0,0.0,0
5,2026-07-08,NSE,DRREDDY,train,0,0,0.0,0,0,0,0.0,0.0,0.0,0
5,2026-07-08,NSE,GOLDBEES,train,0,0,0.0,0,0,0,0.0,0.0,0.0,0
5,2026-07-08,NSE,HCLTECH,train,0,0,0.0,0,0,0,0.0,0.0,0.0,0
5,2026-07-08,NSE,HDFCBANK,train,0,0,0.0,0,0,0,0.0,0.0,0.0,0
5,2026-07-08,NSE,HINDUNILVR,train,0,0,0.0,0,0,0,0.0,0.0,0.0,0
5,2026-07-08,NSE,ICICIBANK,train,0,0,0.0,0,0,0,0.0,0.0,0.0,0
5,2026-07-08,NSE,INFY,train,0,0,0.0,0,0,0,0.0,0.0,0.0,0
5,2026-07-08,NSE,ITBEES,train,0,0,0.0,0,0,0,0.0,0.0,0.0,0
5,2026-07-08,NSE,ITC,train,0,0,0.0,0,0,0,0.0,0.0,0.0,0
5,2026-07-08,NSE,JUNIORBEES,train,0,0,0.0,0,0,0,0.0,0.0,0.0,0
5,2026-07-08,NSE,KOTAKBANK,train,0,0,0.0,0,0,0,0.0,0.0,0.0,0
5,2026-07-08,NSE,LT,train,0,0,0.0,0,0,0,0.0,0.0,0.0,0
5,2026-07-08,NSE,M&M,train,0,0,0.0,0,0,0,0.0,0.0,0.0,0
5,2026-07-08,NSE,MARUTI,train,0,0,0.0,0,0,0,0.0,0.0,0.0,0
5,2026-07-08,NSE,NESTLEIND,train,0,0,0.0,0,0,0,0.0,0.0,0.0,0
5,2026-07-08,NSE,NIFTYBEES,train,0,0,0.0,0,0,0,0.0,0.0,0.0,0
5,2026-07-08,NSE,ONGC,train,0,0,0.0,0,0,0,0.0,0.0,0.0,0
5,2026-07-08,NSE,RELIANCE,train,0,0,0.0,0,0,0,0.0,0.0,0.0,0
5,2026-07-08,NSE,SBIN,train,0,0,0.0,0,0,0,0.0,0.0,0.0,0
5,2026-07-08,NSE,SUNPHARMA,train,0,0,0.0,0,0,0,0.0,0.0,0.0,0
5,2026-07-08,NSE,TCS,train,0,0,0.0,0,0,0,0.0,0.0,0.0,0
5,2026-07-08,NSE,TECHM,train,0,0,0.0,0,0,0,0.0,0.0,0.0,0
5,2026-07-08,NSE,ULTRACEMCO,train,0,0,0.0,0,0,0,0.0,0.0,0.0,0
5,2026-07-08,NSE,WIPRO,train,0,0,0.0,0,0,0,0.0,0.0,0.0,0
5,2026-07-09,NSE,ADANIPORTS,train,240,0,0.0,0,0,240,12.124656832852644,13.501991416014356,4.954446615836963,0
5,2026-07-09,NSE,AXISBANK,train,268,0,0.0,0,0,268,10.578300197480285,11.733390296220339,8.4706607115348,0
5,2026-07-09,NSE,BAJAJ-AUTO,train,210,0,0.0,0,0,210,14.249978356126547,15.818990383963019,10.010743236644204,0
5,2026-07-09,NSE,BANKBEES,train,318,0,0.0,0,0,318,19.04997296613999,23.008934602144592,4.888450614009474,0
5,2026-07-09,NSE,BHARTIARTL,train,667,2,0.0029985007496251873,2,0,665,10.829595409834202,11.854185573768163,17.607001372308513,0
5,2026-07-09,NSE,BPCL,train,192,0,0.0,0,0,192,18.048071360086908,22.938047040129995,14.64486209421676,0
5,2026-07-09,NSE,BRITANNIA,train,732,3,0.004098360655737705,2,1,729,14.040125772005771,15.622772515942838,18.149664929262844,0
5,2026-07-09,NSE,CIPLA,train,209,0,0.0,0,0,209,10.348491693074568,11.388677539612168,7.938425430573919,0
5,2026-07-09,NSE,DRREDDY,train,1216,4,0.003289473684210526,1,3,1212,13.787101353726568,15.758166122914703,25.931164545025574,0
5,2026-07-09,NSE,GOLDBEES,train,316,0,0.0,0,0,316,18.42083373577649,27.304458254580382,5.079580088046248,0
5,2026-07-09,NSE,HCLTECH,train,664,1,0.0015060240963855422,0,1,663,14.330300664351238,16.495365187333697,23.000477368398997,0
5,2026-07-09,NSE,HDFCBANK,train,459,0,0.0,0,0,459,11.92153289654808,13.748239344821979,7.61684236183048,0
5,2026-07-09,NSE,HINDUNILVR,train,428,0,0.0,0,0,428,13.364605785183826,14.98621489865141,17.896987727781536,0
5,2026-07-09,NSE,ICICIBANK,train,441,0,0.0,0,0,441,10.436768570501124,11.52109285575119,8.660820612753387,0
5,2026-07-09,NSE,INFY,train,296,1,0.0033783783783783786,1,0,295,12.995358347358334,14.88625368630154,27.95148758764277,0
5,2026-07-09,NSE,ITBEES,train,431,0,0.0,0,0,431,47.58015931204034,81.978193710075,6.5735414954805504,0
5,2026-07-09,NSE,ITC,train,403,0,0.0,0,0,403,18.863210941194836,24.16075641179286,12.441126810629086,0
5,2026-07-09,NSE,JUNIORBEES,train,325,0,0.0,0,0,325,17.32035137503571,20.55329115183399,4.912543792742304,0
5,2026-07-09,NSE,KOTAKBANK,train,489,0,0.0,0,0,489,13.686338760579995,17.072725485943415,16.590351051828257,0
5,2026-07-09,NSE,LT,train,446,1,0.002242152466367713,1,0,445,10.059798949915692,10.69968428917132,11.068353518063764,0
