control_id,horizon_sec,split_role,control_status,reference_actionable_rows,materialized_in_phase226,model_fit_allowed,strategy_replay_allowed
P225_CONTROL_EVENT_TIME_SHUFFLE,5,train,precommitted_for_phase227_interpretation,48,0,0,0
P225_CONTROL_SYMBOL_DATE_BASE_RATE,5,train,aggregate_base_rate_available_from_phase226_inventory,48,0,0,0
P225_CONTROL_COST_HURDLE_ABLATION,5,train,cost_hurdle_effect_measured_by_actionable_rate_and_phase214_event_filter,48,0,0,0
P225_CONTROL_EVENT_TIME_SHUFFLE,5,validation,precommitted_for_phase227_interpretation,37,0,0,0
P225_CONTROL_SYMBOL_DATE_BASE_RATE,5,validation,aggregate_base_rate_available_from_phase226_inventory,37,0,0,0
P225_CONTROL_COST_HURDLE_ABLATION,5,validation,cost_hurdle_effect_measured_by_actionable_rate_and_phase214_event_filter,37,0,0,0
P225_CONTROL_EVENT_TIME_SHUFFLE,15,train,precommitted_for_phase227_interpretation,22,0,0,0
P225_CONTROL_SYMBOL_DATE_BASE_RATE,15,train,aggregate_base_rate_available_from_phase226_inventory,22,0,0,0
P225_CONTROL_COST_HURDLE_ABLATION,15,train,cost_hurdle_effect_measured_by_actionable_rate_and_phase214_event_filter,22,0,0,0
P225_CONTROL_EVENT_TIME_SHUFFLE,15,validation,precommitted_for_phase227_interpretation,29,0,0,0
P225_CONTROL_SYMBOL_DATE_BASE_RATE,15,validation,aggregate_base_rate_available_from_phase226_inventory,29,0,0,0
P225_CONTROL_COST_HURDLE_ABLATION,15,validation,cost_hurdle_effect_measured_by_actionable_rate_and_phase214_event_filter,29,0,0,0
