horizon_sec,trade_date,exchange,symbol,split_role,rows,cost_aware_actionable_rows,cost_aware_up_rows,cost_aware_down_rows,label_file,bytes,test_rows_used
5,2026-07-08,NSE,ADANIPORTS,train,0,0,0,0,derived_phase226_cost_aware_event_labels\horizon=5s\trade_date=2026-07-08\exchange=NSE\symbol=ADANIPORTS\cost_aware_event_labels.parquet,8375,0
5,2026-07-08,NSE,AXISBANK,train,0,0,0,0,derived_phase226_cost_aware_event_labels\horizon=5s\trade_date=2026-07-08\exchange=NSE\symbol=AXISBANK\cost_aware_event_labels.parquet,8375,0
5,2026-07-08,NSE,BAJAJ-AUTO,train,0,0,0,0,derived_phase226_cost_aware_event_labels\horizon=5s\trade_date=2026-07-08\exchange=NSE\symbol=BAJAJ-AUTO\cost_aware_event_labels.parquet,8375,0
5,2026-07-08,NSE,BANKBEES,train,0,0,0,0,derived_phase226_cost_aware_event_labels\horizon=5s\trade_date=2026-07-08\exchange=NSE\symbol=BANKBEES\cost_aware_event_labels.parquet,8375,0
5,2026-07-08,NSE,BHARTIARTL,train,0,0,0,0,derived_phase226_cost_aware_event_labels\horizon=5s\trade_date=2026-07-08\exchange=NSE\symbol=BHARTIARTL\cost_aware_event_labels.parquet,8375,0
5,2026-07-08,NSE,BPCL,train,0,0,0,0,derived_phase226_cost_aware_event_labels\horizon=5s\trade_date=2026-07-08\exchange=NSE\symbol=BPCL\cost_aware_event_labels.parquet,8375,0
5,2026-07-08,NSE,BRITANNIA,train,0,0,0,0,derived_phase226_cost_aware_event_labels\horizon=5s\trade_date=2026-07-08\exchange=NSE\symbol=BRITANNIA\cost_aware_event_labels.parquet,8375,0
5,2026-07-08,NSE,CIPLA,train,0,0,0,0,derived_phase226_cost_aware_event_labels\horizon=5s\trade_date=2026-07-08\exchange=NSE\symbol=CIPLA\cost_aware_event_labels.parquet,8375,0
5,2026-07-08,NSE,DRREDDY,train,0,0,0,0,derived_phase226_cost_aware_event_labels\horizon=5s\trade_date=2026-07-08\exchange=NSE\symbol=DRREDDY\cost_aware_event_labels.parquet,8375,0
5,2026-07-08,NSE,GOLDBEES,train,0,0,0,0,derived_phase226_cost_aware_event_labels\horizon=5s\trade_date=2026-07-08\exchange=NSE\symbol=GOLDBEES\cost_aware_event_labels.parquet,8375,0
5,2026-07-08,NSE,HCLTECH,train,0,0,0,0,derived_phase226_cost_aware_event_labels\horizon=5s\trade_date=2026-07-08\exchange=NSE\symbol=HCLTECH\cost_aware_event_labels.parquet,8375,0
