metric,value,description
phase439_low_turnover_interpretation_complete,1,Phase439 interpretation completed
phase439_selected_verdict,P439_LOW_TURNOVER_FULL_DEPTH_REGIME_CARRY_REJECTED_NO_GROSS_EDGE,Selected verdict
phase439_phase438_best_completed_round_trips,384,Phase438 best round trips
phase439_phase438_best_annualized_return_pct,-142.9397617767201,Phase438 best annualized return
phase439_phase438_acceptance_survivors,0,Phase438 cost200 survivors
phase439_strategy_promotion_allowed,0,No promotion
phase439_paper_or_live_acceptance_allowed,0,No paper/live
phase439_deployable_profitability_claim_allowed,0,No deployable claim
phase439_same_source_rescue_allowed,0,No same-source rescue
phase439_hard_gate_pass_rows,9,Passed hard gates
phase439_hard_gate_rows,9,Hard gates
phase439_next_best_action,pause_for_strategy_decision_or_precommit_external_alpha_source,Recommended next action
