sorted_shard_index,trade_month,symbol,shard_path,already_labeled_by_any_passive_stage,target_priority
33,2026-02,ADANIPORTS,raw_synthetic_l2_dense_full_year\trade_month=2026-02\symbol=ADANIPORTS\part-00000.parquet,False,1
34,2026-02,AXISBANK,raw_synthetic_l2_dense_full_year\trade_month=2026-02\symbol=AXISBANK\part-00000.parquet,False,1
35,2026-02,BAJAJ-AUTO,raw_synthetic_l2_dense_full_year\trade_month=2026-02\symbol=BAJAJ-AUTO\part-00000.parquet,False,1
36,2026-02,BANKBEES,raw_synthetic_l2_dense_full_year\trade_month=2026-02\symbol=BANKBEES\part-00000.parquet,False,1
37,2026-02,BHARTIARTL,raw_synthetic_l2_dense_full_year\trade_month=2026-02\symbol=BHARTIARTL\part-00000.parquet,False,1
38,2026-02,BPCL,raw_synthetic_l2_dense_full_year\trade_month=2026-02\symbol=BPCL\part-00000.parquet,False,1
39,2026-02,BRITANNIA,raw_synthetic_l2_dense_full_year\trade_month=2026-02\symbol=BRITANNIA\part-00000.parquet,False,1
40,2026-02,CIPLA,raw_synthetic_l2_dense_full_year\trade_month=2026-02\symbol=CIPLA\part-00000.parquet,False,1
41,2026-02,DRREDDY,raw_synthetic_l2_dense_full_year\trade_month=2026-02\symbol=DRREDDY\part-00000.parquet,False,1
42,2026-02,GOLDBEES,raw_synthetic_l2_dense_full_year\trade_month=2026-02\symbol=GOLDBEES\part-00000.parquet,False,1
43,2026-02,HCLTECH,raw_synthetic_l2_dense_full_year\trade_month=2026-02\symbol=HCLTECH\part-00000.parquet,False,1
44,2026-02,HDFCBANK,raw_synthetic_l2_dense_full_year\trade_month=2026-02\symbol=HDFCBANK\part-00000.parquet,False,1
45,2026-02,HINDUNILVR,raw_synthetic_l2_dense_full_year\trade_month=2026-02\symbol=HINDUNILVR\part-00000.parquet,False,1
46,2026-02,ICICIBANK,raw_synthetic_l2_dense_full_year\trade_month=2026-02\symbol=ICICIBANK\part-00000.parquet,False,1
47,2026-02,INFY,raw_synthetic_l2_dense_full_year\trade_month=2026-02\symbol=INFY\part-00000.parquet,False,1
48,2026-02,ITBEES,raw_synthetic_l2_dense_full_year\trade_month=2026-02\symbol=ITBEES\part-00000.parquet,False,1
49,2026-02,ITC,raw_synthetic_l2_dense_full_year\trade_month=2026-02\symbol=ITC\part-00000.parquet,False,1
50,2026-02,JUNIORBEES,raw_synthetic_l2_dense_full_year\trade_month=2026-02\symbol=JUNIORBEES\part-00000.parquet,False,1
51,2026-02,KOTAKBANK,raw_synthetic_l2_dense_full_year\trade_month=2026-02\symbol=KOTAKBANK\part-00000.parquet,False,1
52,2026-02,LT,raw_synthetic_l2_dense_full_year\trade_month=2026-02\symbol=LT\part-00000.parquet,False,1
53,2026-02,M&M,raw_synthetic_l2_dense_full_year\trade_month=2026-02\symbol=M&M\part-00000.parquet,False,1
54,2026-02,MARUTI,raw_synthetic_l2_dense_full_year\trade_month=2026-02\symbol=MARUTI\part-00000.parquet,False,1
55,2026-02,NESTLEIND,raw_synthetic_l2_dense_full_year\trade_month=2026-02\symbol=NESTLEIND\part-00000.parquet,False,1
56,2026-02,NIFTYBEES,raw_synthetic_l2_dense_full_year\trade_month=2026-02\symbol=NIFTYBEES\part-00000.parquet,False,1
57,2026-02,ONGC,raw_synthetic_l2_dense_full_year\trade_month=2026-02\symbol=ONGC\part-00000.parquet,False,1
58,2026-02,RELIANCE,raw_synthetic_l2_dense_full_year\trade_month=2026-02\symbol=RELIANCE\part-00000.parquet,False,1
59,2026-02,SBIN,raw_synthetic_l2_dense_full_year\trade_month=2026-02\symbol=SBIN\part-00000.parquet,False,1
60,2026-02,SUNPHARMA,raw_synthetic_l2_dense_full_year\trade_month=2026-02\symbol=SUNPHARMA\part-00000.parquet,False,1
61,2026-02,TCS,raw_synthetic_l2_dense_full_year\trade_month=2026-02\symbol=TCS\part-00000.parquet,False,1
62,2026-02,TECHM,raw_synthetic_l2_dense_full_year\trade_month=2026-02\symbol=TECHM\part-00000.parquet,False,1
63,2026-02,ULTRACEMCO,raw_synthetic_l2_dense_full_year\trade_month=2026-02\symbol=ULTRACEMCO\part-00000.parquet,False,1
64,2026-02,WIPRO,raw_synthetic_l2_dense_full_year\trade_month=2026-02\symbol=WIPRO\part-00000.parquet,False,1
65,2026-03,ADANIPORTS,raw_synthetic_l2_dense_full_year\trade_month=2026-03\symbol=ADANIPORTS\part-00000.parquet,False,1
66,2026-03,AXISBANK,raw_synthetic_l2_dense_full_year\trade_month=2026-03\symbol=AXISBANK\part-00000.parquet,False,1
67,2026-03,BAJAJ-AUTO,raw_synthetic_l2_dense_full_year\trade_month=2026-03\symbol=BAJAJ-AUTO\part-00000.parquet,False,1
68,2026-03,BANKBEES,raw_synthetic_l2_dense_full_year\trade_month=2026-03\symbol=BANKBEES\part-00000.parquet,False,1
69,2026-03,BHARTIARTL,raw_synthetic_l2_dense_full_year\trade_month=2026-03\symbol=BHARTIARTL\part-00000.parquet,False,1
70,2026-03,BPCL,raw_synthetic_l2_dense_full_year\trade_month=2026-03\symbol=BPCL\part-00000.parquet,False,1
71,2026-03,BRITANNIA,raw_synthetic_l2_dense_full_year\trade_month=2026-03\symbol=BRITANNIA\part-00000.parquet,False,1
72,2026-03,CIPLA,raw_synthetic_l2_dense_full_year\trade_month=2026-03\symbol=CIPLA\part-00000.parquet,False,1
73,2026-03,DRREDDY,raw_synthetic_l2_dense_full_year\trade_month=2026-03\symbol=DRREDDY\part-00000.parquet,False,1
74,2026-03,GOLDBEES,raw_synthetic_l2_dense_full_year\trade_month=2026-03\symbol=GOLDBEES\part-00000.parquet,False,1
