label_source,shard_path,trade_month,symbol
phase66_adverse_selection,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=ADANIPORTS\part-00000.parquet,2026-01,ADANIPORTS
phase66_adverse_selection,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=AXISBANK\part-00000.parquet,2026-01,AXISBANK
phase66_adverse_selection,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=BAJAJ-AUTO\part-00000.parquet,2026-01,BAJAJ-AUTO
phase66_adverse_selection,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=BANKBEES\part-00000.parquet,2026-01,BANKBEES
phase66_adverse_selection,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=BHARTIARTL\part-00000.parquet,2026-01,BHARTIARTL
phase66_adverse_selection,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=BPCL\part-00000.parquet,2026-01,BPCL
phase66_adverse_selection,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=BRITANNIA\part-00000.parquet,2026-01,BRITANNIA
phase66_adverse_selection,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=CIPLA\part-00000.parquet,2026-01,CIPLA
phase66_adverse_selection,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=DRREDDY\part-00000.parquet,2026-01,DRREDDY
phase66_adverse_selection,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=GOLDBEES\part-00000.parquet,2026-01,GOLDBEES
phase66_adverse_selection,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=HCLTECH\part-00000.parquet,2026-01,HCLTECH
phase66_adverse_selection,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=HDFCBANK\part-00000.parquet,2026-01,HDFCBANK
phase66_adverse_selection,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=HINDUNILVR\part-00000.parquet,2026-01,HINDUNILVR
phase66_adverse_selection,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=ICICIBANK\part-00000.parquet,2026-01,ICICIBANK
phase66_adverse_selection,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=INFY\part-00000.parquet,2026-01,INFY
phase66_adverse_selection,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=ITBEES\part-00000.parquet,2026-01,ITBEES
phase66_adverse_selection,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=ITC\part-00000.parquet,2026-01,ITC
phase66_adverse_selection,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=JUNIORBEES\part-00000.parquet,2026-01,JUNIORBEES
phase66_adverse_selection,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=KOTAKBANK\part-00000.parquet,2026-01,KOTAKBANK
phase66_adverse_selection,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=LT\part-00000.parquet,2026-01,LT
phase66_adverse_selection,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=M&M\part-00000.parquet,2026-01,M&M
phase66_adverse_selection,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=MARUTI\part-00000.parquet,2026-01,MARUTI
phase66_adverse_selection,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=NESTLEIND\part-00000.parquet,2026-01,NESTLEIND
phase66_adverse_selection,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=NIFTYBEES\part-00000.parquet,2026-01,NIFTYBEES
phase66_adverse_selection,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=ONGC\part-00000.parquet,2026-01,ONGC
phase66_adverse_selection,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=RELIANCE\part-00000.parquet,2026-01,RELIANCE
phase66_adverse_selection,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=SBIN\part-00000.parquet,2026-01,SBIN
