phase273_scope_id,phase273_scope_candidate_id,cost_profile,scenario_rows,above12_scenario_rows,min_annualized_pct,median_annualized_pct,max_annualized_pct,max_realized_net_pnl_inr,max_scheduled_event_rows,worst_drawdown_inr,order_policy_rows,above12_fraction
TOP2_PRIORITY_SUBSET,P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p75_SPCOMPRESSION;P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p75_SPHIGH,cost100,240,158,-11.540496948638648,17.901341461573146,190.6353099362237,945.611656429681,13,-1168.4508492810016,5,0.6583333333333333
PRIORITY01,P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p75_SPCOMPRESSION,cost100,240,91,-0.07885380067277703,10.46110651683057,150.23740333735174,745.2252149670223,9,-605.895343219723,5,0.37916666666666665
PRIORITY02,P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p75_SPHIGH,cost100,240,83,-8.403853329663846,5.922114379863466,88.67431756619365,698.2860794624063,6,-444.8266727462695,5,0.3458333333333333
TOP2_PRIORITY_SUBSET,P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p75_SPCOMPRESSION;P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p75_SPHIGH,cost100_plus_1bp,240,129,-19.940496948638646,13.167321992969622,175.6665238278272,871.3617253364444,13,-1230.9508492810016,5,0.5375
PRIORITY01,P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p75_SPCOMPRESSION,cost100_plus_1bp,240,87,-8.898853800672777,4.557423866738979,142.6774033373517,707.7252149670223,9,-630.895343219723,5,0.3625
PRIORITY02,P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p75_SPHIGH,cost100_plus_1bp,240,79,-12.183853329663842,2.730114379863469,83.63431756619366,648.2860794624064,6,-457.3266727462695,5,0.32916666666666666
TOP2_PRIORITY_SUBSET,P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p75_SPCOMPRESSION;P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p75_SPHIGH,cost100_plus_2bp,240,83,-28.34049694863864,6.473491494727216,165.5865238278272,821.3617253364444,13,-1293.4508492810016,5,0.3458333333333333
PRIORITY01,P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p75_SPCOMPRESSION,cost100_plus_2bp,240,75,-17.718853800672775,-0.9937174221740153,135.1174033373517,670.2252149670223,9,-655.895343219723,5,0.3125
PRIORITY02,P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p75_SPHIGH,cost100_plus_2bp,240,69,-15.963853329663841,-0.29171723377044156,78.59431756619365,598.2860794624064,6,-469.8266727462695,5,0.2875
TOP2_PRIORITY_SUBSET,P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p75_SPCOMPRESSION;P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p75_SPHIGH,cost150,240,64,-46.266600948638654,-2.174631739927553,144.07519902782718,714.6587253364443,13,-1426.8295992810017,5,0.26666666666666666
PRIORITY01,P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p75_SPCOMPRESSION,cost150,240,55,-36.541263000672785,-9.598247342174016,118.9839097373517,590.1979649670224,9,-709.246843219723,5,0.22916666666666666
PRIORITY02,P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p75_SPHIGH,cost150,240,53,-24.03060012966384,-4.593982193770439,67.83865516619365,491.58307946240643,6,-496.5024227462694,5,0.22083333333333333
TOP2_PRIORITY_SUBSET,P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p75_SPCOMPRESSION;P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p75_SPHIGH,cost200,240,47,-80.99270494863863,-24.751087908787973,102.40387422782716,507.9557253364443,13,-1690.8209926807929,5,0.19583333333333333
PRIORITY02,P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p75_SPHIGH,cost200,240,39,-39.65734692966384,-13.240674141313308,47.00299276619364,284.88007946240634,6,-553.7908161460607,5,0.1625
PRIORITY01,P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p75_SPCOMPRESSION,cost200,240,35,-73.00367220067277,-26.266777262174017,87.7304161373517,435.1707149670224,9,-875.637564336991,5,0.14583333333333334
