scenario_id,scope_id,scope_candidate_id,initial_capital_inr,fixed_notional_inr,max_concurrent_positions,cost_profile,cost_multiplier,extra_slippage_bps,input_event_rows,scheduled_event_rows,rejected_event_rows,rejected_same_symbol_overlap_rows,rejected_max_concurrent_rows,rejected_insufficient_cash_rows,candidate_rows,scheduled_candidate_rows,symbols,scheduled_symbols,observed_trade_dates,realized_net_pnl_inr,portfolio_return_pct,mechanical_one_date_annualized_portfolio_return_pct,annualized_return_is_robust_portfolio_claim,annualized_above_12pct_research_diagnostic,scheduled_notional_inr,notional_turnover_x_initial_capital,avg_open_notional_utilization,max_drawdown_inr,portfolio_claim_allowed,strategy_replay_allowed,promotion_allowed,paper_or_live_acceptance_allowed,deployable_profitability_claim_allowed,phase273_scope_id,phase273_scope_candidate_id,order_policy,candidate_subset_size
P271_P273_PRIORITY01_TIME_RANK_CAP100000_NOT50000_CONC1_COST100,P273_PRIORITY01_TIME_RANK,P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p75_SPCOMPRESSION,100000.0,50000.0,1,cost100,1.0,0.0,11,5,6,2,4,0,1,1,7,5,1,272.758160437511,0.27275816043751094,68.73505643025275,0,1,250000.0,2.5,0.2727272727272727,-64.42746818938144,0,0,0,0,0,PRIORITY01,P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p75_SPCOMPRESSION,time_rank,1
P271_P273_PRIORITY01_TIME_RANK_CAP100000_NOT50000_CONC1_COST150,P273_PRIORITY01_TIME_RANK,P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p75_SPCOMPRESSION,100000.0,50000.0,1,cost150,1.5,0.0,11,5,6,2,4,0,1,1,7,5,1,169.40666043751094,0.16940666043751093,42.69047843025275,0,1,250000.0,2.5,0.2727272727272727,-103.16389212463989,0,0,0,0,0,PRIORITY01,P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p75_SPCOMPRESSION,time_rank,1
P271_P273_PRIORITY01_TIME_RANK_CAP100000_NOT50000_CONC1_COST200,P273_PRIORITY01_TIME_RANK,P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p75_SPCOMPRESSION,100000.0,50000.0,1,cost200,2.0,0.0,11,5,6,2,4,0,1,1,7,5,1,66.05516043751098,0.06605516043751097,16.645900430252766,0,1,250000.0,2.5,0.2727272727272727,-144.50449212463985,0,0,0,0,0,PRIORITY01,P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p75_SPCOMPRESSION,time_rank,1
P271_P273_PRIORITY01_TIME_RANK_CAP100000_NOT50000_CONC1_COST100_PLUS_1BP,P273_PRIORITY01_TIME_RANK,P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p75_SPCOMPRESSION,100000.0,50000.0,1,cost100_plus_1bp,1.0,1.0,11,5,6,2,4,0,1,1,7,5,1,247.75816043751098,0.24775816043751098,62.435056430252764,0,1,250000.0,2.5,0.2727272727272727,-71.82329212463986,0,0,0,0,0,PRIORITY01,P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p75_SPCOMPRESSION,time_rank,1
P271_P273_PRIORITY01_TIME_RANK_CAP100000_NOT50000_CONC1_COST100_PLUS_2BP,P273_PRIORITY01_TIME_RANK,P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p75_SPCOMPRESSION,100000.0,50000.0,1,cost100_plus_2bp,1.0,2.0,11,5,6,2,4,0,1,1,7,5,1,222.75816043751098,0.22275816043751095,56.13505643025276,0,1,250000.0,2.5,0.2727272727272727,-81.82329212463986,0,0,0,0,0,PRIORITY01,P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p75_SPCOMPRESSION,time_rank,1
P271_P273_PRIORITY01_TIME_RANK_CAP100000_NOT50000_CONC2_COST100,P273_PRIORITY01_TIME_RANK,P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p75_SPCOMPRESSION,100000.0,50000.0,2,cost100,1.0,0.0,11,7,4,3,1,0,1,1,7,6,1,-0.31291190743165487,-0.00031291190743165486,-0.07885380067277703,0,0,350000.0,3.5,0.36363636363636365,-177.9306690985078,0,0,0,0,0,PRIORITY01,P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p75_SPCOMPRESSION,time_rank,1
P271_P273_PRIORITY01_TIME_RANK_CAP100000_NOT50000_CONC2_COST150,P273_PRIORITY01_TIME_RANK,P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p75_SPCOMPRESSION,100000.0,50000.0,2,cost150,1.5,0.0,11,7,4,3,1,0,1,1,7,6,1,-145.00501190743168,-0.14500501190743167,-36.541263000672785,0,0,350000.0,3.5,0.36363636363636365,-244.6584683748799,0,0,0,0,0,PRIORITY01,P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p75_SPCOMPRESSION,time_rank,1
P271_P273_PRIORITY01_TIME_RANK_CAP100000_NOT50000_CONC2_COST200,P273_PRIORITY01_TIME_RANK,P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p75_SPCOMPRESSION,100000.0,50000.0,2,cost200,2.0,0.0,11,7,4,3,1,0,1,1,7,6,1,-289.69711190743163,-0.28969711190743164,-73.00367220067277,0,0,350000.0,3.5,0.36363636363636365,-350.2550257347964,0,0,0,0,0,PRIORITY01,P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p75_SPCOMPRESSION,time_rank,1
P271_P273_PRIORITY01_TIME_RANK_CAP100000_NOT50000_CONC2_COST100_PLUS_1BP,P273_PRIORITY01_TIME_RANK,P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p75_SPCOMPRESSION,100000.0,50000.0,2,cost100_plus_1bp,1.0,1.0,11,7,4,3,1,0,1,1,7,6,1,-35.312911907431655,-0.03531291190743165,-8.898853800672777,0,0,350000.0,3.5,0.36363636363636365,-182.9306690985078,0,0,0,0,0,PRIORITY01,P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p75_SPCOMPRESSION,time_rank,1
P271_P273_PRIORITY01_TIME_RANK_CAP100000_NOT50000_CONC2_COST100_PLUS_2BP,P273_PRIORITY01_TIME_RANK,P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p75_SPCOMPRESSION,100000.0,50000.0,2,cost100_plus_2bp,1.0,2.0,11,7,4,3,1,0,1,1,7,6,1,-70.31291190743165,-0.07031291190743165,-17.718853800672775,0,0,350000.0,3.5,0.36363636363636365,-191.3069683748799,0,0,0,0,0,PRIORITY01,P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p75_SPCOMPRESSION,time_rank,1
