trade_date,exchange,symbol,parquet_files,bytes,phase1_delta_rows,book_valid_fraction,stale_gap_gt_15s_count,median_elapsed_ms,p95_elapsed_ms,raw_file_coverage_status,phase1_delta_available,class_b_event_grade_now,blocking_reason
2026-07-13,NSE,ADANIPORTS,1569,54744007,13886,0.9999279850208844,2,1000.0,5500.0,raw_files_present,True,False,Only one raw sample day is available and Stage A2 capture diagnostics remain open.
2026-07-13,NSE,AXISBANK,1569,55030126,18309,0.9999453820525424,2,749.0,4913.649999999998,raw_files_present,True,False,Only one raw sample day is available and Stage A2 capture diagnostics remain open.
2026-07-13,NSE,BAJAJ-AUTO,1569,55531219,25141,0.999960224334752,2,741.0,4410.049999999999,raw_files_present,True,False,Only one raw sample day is available and Stage A2 capture diagnostics remain open.
2026-07-13,NSE,BANKBEES,1569,54858026,18916,0.9999471347007824,2,1000.0,4833.0,raw_files_present,True,False,Only one raw sample day is available and Stage A2 capture diagnostics remain open.
2026-07-13,NSE,BHARTIARTL,1569,55190740,19560,0.9999488752556236,2,749.0,4762.399999999994,raw_files_present,True,False,Only one raw sample day is available and Stage A2 capture diagnostics remain open.
2026-07-13,NSE,BPCL,1569,54256472,10684,0.999906402096593,2,1602.0,6081.699999999999,raw_files_present,True,False,Only one raw sample day is available and Stage A2 capture diagnostics remain open.
2026-07-13,NSE,BRITANNIA,1569,54177058,8526,0.9998827117053718,2,2000.0,7000.799999999999,raw_files_present,True,False,Only one raw sample day is available and Stage A2 capture diagnostics remain open.
2026-07-13,NSE,CIPLA,1569,54425687,11664,0.99991426611797,2,1194.0,5953.9,raw_files_present,True,False,Only one raw sample day is available and Stage A2 capture diagnostics remain open.
2026-07-13,NSE,DRREDDY,1569,54592935,12257,0.9999184139675288,2,1250.0,5750.0,raw_files_present,True,False,Only one raw sample day is available and Stage A2 capture diagnostics remain open.
2026-07-13,NSE,GOLDBEES,1568,54501651,12982,0.9998459405330458,2,1000.0,5680.0,raw_files_present,True,False,Only one raw sample day is available and Stage A2 capture diagnostics remain open.
2026-07-13,NSE,HCLTECH,1569,56185830,29266,0.9999658306567348,2,500.0,4158.799999999999,raw_files_present,True,False,Only one raw sample day is available and Stage A2 capture diagnostics remain open.
