metric,value,description
phase172_selected_phase171_source_id,P171_REAL_MULTIDAY_RECEIVE_EVENT_FLOW,Phase171 source this audit supports
phase172_trade_dates_discovered,5,Local trade_date partitions discovered
phase172_ready_receive_flow_dates,5,Dates with all 32 symbols receive-flow ready
phase172_minimum_ready_dates_required,5,Minimum days required by Phase171 source contract
phase172_additional_dates_needed,0,Additional ready real L2 dates required
phase172_symbol_day_rows,160,Symbol/day partitions audited
phase172_total_parquet_files,199513,Local Parquet files audited
phase172_total_rows,2408579,Rows scanned from local Parquet
phase172_total_bytes,7006738019,Compressed local Parquet bytes
phase172_median_symbol_tick_rate_per_sec,0.7958314233601822,Median symbol session receive tick rate
phase172_median_symbol_gap_sec,0.75,Median symbol receive gap
phase172_median_l1_state_change_fraction,0.5429928737618007,Median L1 state change fraction
phase172_median_depth_qty_change_fraction,0.5737505512034606,Median top-five depth quantity change fraction
phase172_hard_gate_rows,5,Hard gates evaluated
phase172_hard_gate_pass_rows,5,Hard gates passed
phase172_unlock_gate_rows,1,Unlock gates evaluated
phase172_unlock_gate_pass_rows,1,Unlock gates passed
phase172_strategy_replay_allowed,1,Strategy replay remains closed unless minimum real-source days pass
phase172_paper_or_live_acceptance_allowed,0,Paper/live remains closed
phase172_azure_read_policy,forbidden_for_analysis_download_first_then_local,Audit uses local downloaded Parquet only
phase172_next_best_action,build_phase173_receive_flow_feature_schema_no_replay,Recommended next milestone
