priority,strategy_id,strategy_name,experiment_track,allowed_scope,must_not_claim,synthetic_trade_rows,next_action
1,S01,Momentum/breakout filtered by MLOFI,alpha_redesign_diagnostics,synthetic_only,paper_or_live_acceptance; broker_fill_quality; contract_note_cost_reconciliation,4377,Continue synthetic-only redesign/diagnostics; do not promote until realistic after-cost replay turns positive.
2,S02,Pure multi-level OFI directional model,alpha_redesign_diagnostics,synthetic_only,paper_or_live_acceptance; broker_fill_quality; contract_note_cost_reconciliation,27321,Continue synthetic-only redesign/diagnostics; do not promote until realistic after-cost replay turns positive.
3,S03,Liquidity-vacuum breakout,alpha_redesign_diagnostics,synthetic_only,paper_or_live_acceptance; broker_fill_quality; contract_note_cost_reconciliation,22469,Continue synthetic-only redesign/diagnostics; do not promote until realistic after-cost replay turns positive.
4,S04,Trade-flow plus depth confirmation,alpha_redesign_diagnostics,synthetic_only,paper_or_live_acceptance; broker_fill_quality; contract_note_cost_reconciliation,112654,Continue synthetic-only redesign/diagnostics; do not promote until realistic after-cost replay turns positive.
5,S05,Microprice entry/exit filter,alpha_redesign_diagnostics,synthetic_only,paper_or_live_acceptance; broker_fill_quality; contract_note_cost_reconciliation,8475,Continue synthetic-only redesign/diagnostics; do not promote until realistic after-cost replay turns positive.
6,S06,Absorption and exhaustion reversal,alpha_redesign_diagnostics,synthetic_only,paper_or_live_acceptance; broker_fill_quality; contract_note_cost_reconciliation,208728,Continue synthetic-only redesign/diagnostics; do not promote until realistic after-cost replay turns positive.
7,S07,Mean reversion after imbalance,alpha_redesign_diagnostics,synthetic_only,paper_or_live_acceptance; broker_fill_quality; contract_note_cost_reconciliation,6355,Continue synthetic-only redesign/diagnostics; do not promote until realistic after-cost replay turns positive.
8,S08,Cross-ticker/index lead-lag OFI,alpha_redesign_diagnostics,synthetic_only,paper_or_live_acceptance; broker_fill_quality; contract_note_cost_reconciliation,398772,Continue synthetic-only redesign/diagnostics; do not promote until realistic after-cost replay turns positive.
9,S09,Pure queue-imbalance scalping,alpha_redesign_diagnostics,synthetic_only,paper_or_live_acceptance; broker_fill_quality; contract_note_cost_reconciliation,8475,Continue synthetic-only redesign/diagnostics; do not promote until realistic after-cost replay turns positive.
10,S10,Passive market making,control_risk_plumbing,synthetic_only,paper_or_live_acceptance; broker_fill_quality; contract_note_cost_reconciliation,0,Use only as execution/risk control plumbing; exclude from alpha promotion.
11,S11,Spoof-like wall filter,control_risk_plumbing,synthetic_only,paper_or_live_acceptance; broker_fill_quality; contract_note_cost_reconciliation,0,Use only as execution/risk control plumbing; exclude from alpha promotion.
