candidate_id,family_id,signal_source,direction,feature_filter,horizon_event_bars,threshold_quantile,event_window_score_threshold,abs_bar_return_bps_threshold,abs_l5_imbalance_threshold,abs_microprice_dev_threshold,train_months,test_months,train_trades,train_symbols,train_days,train_net_pnl_inr,train_gross_pnl_inr,train_cost_pnl_drag_inr,train_precision_cost_clear,train_positive_months,train_max_day_trade_fraction,train_max_month_contribution_abs,train_max_symbol_contribution_abs,train_gross_to_cost_ratio,test_trades,test_symbols,test_days,test_net_pnl_inr,test_gross_pnl_inr,test_cost_pnl_drag_inr,test_precision_cost_clear,test_positive_months,test_max_day_trade_fraction,test_max_month_contribution_abs,test_max_symbol_contribution_abs,test_gross_to_cost_ratio,train_pass,test_pass,phase231_synthetic_candidate
P231_MICROPRICE_REVERSAL_H3_Q0_9,P231_MICROPRICE_REVERSAL,avg_microprice_dev,reversal,event_window_score_and_abs_microprice_dev,3,0.9,54.31623670900108,124.33434678150938,0.5738900220534322,0.00010256952769442333,6,6,471,8,18,353034.6899132213,420199.0493741271,67164.35946090586,0.554140127388535,6,0.21443736730360935,0.47795773999271146,0.28977641993830067,6.256280157316336,365,8,19,229962.8071718807,280315.90395037294,50353.096778492225,0.5972602739726027,4,0.15616438356164383,0.4914468564836452,0.31521620560046626,5.567004253651124,True,True,True
P231_L5_IMBALANCE_REVERSAL_H3_Q0_9,P231_L5_IMBALANCE_REVERSAL,avg_l5_imbalance,reversal,event_window_score_and_abs_l5_imbalance,3,0.9,54.31623670900108,124.33434678150938,0.5738900220534322,0.00010256952769442333,6,6,376,5,30,63582.170883338695,109658.65674013736,46076.485856798645,0.5531914893617021,5,0.1196808510638298,0.38085220068863773,1.023240701479521,2.379926652413252,364,5,28,89257.5525543676,131819.2138864855,42561.661332117896,0.5714285714285714,4,0.09615384615384616,0.8184689300539894,0.5648337413895949,3.0971350685273187,True,True,True
P231_MICROPRICE_REVERSAL_H3_Q0_95,P231_MICROPRICE_REVERSAL,avg_microprice_dev,reversal,event_window_score_and_abs_microprice_dev,3,0.95,72.36521885994138,166.60820764644035,0.6975712553247029,0.00012928376049734116,5,5,165,6,7,113918.38272394007,139136.82638962608,25218.443665685998,0.5333333333333333,3,0.26666666666666666,0.6760675101848005,0.5320667526577939,5.517264595473253,97,5,10,83574.26453987442,97933.81571637727,14359.551176502857,0.6082474226804123,3,0.2268041237113402,0.5227386188548038,0.36296366886158676,6.820116764974558,True,True,True
P231_EVENT_REVERSAL_H6_Q0_9,P231_EVENT_REVERSAL,bar_return,reversal,event_window_score_and_abs_bar_return,6,0.9,54.31623670900108,124.33434678150938,0.5738900220534322,0.00010256952769442333,6,6,1616,32,32,-857379.0194462213,-675122.7564989314,182256.2629472899,0.3347772277227723,2,0.10952970297029703,1.070911290579593,0.10586443566899968,3.7042499696934024,1994,32,27,1111589.9989367696,1335244.3016157676,223654.302678998,0.5697091273821464,4,0.08826479438314945,0.7694640301470453,0.06876193927143104,5.970125705706587,False,True,False
P231_EVENT_REVERSAL_H3_Q0_9,P231_EVENT_REVERSAL,bar_return,reversal,event_window_score_and_abs_bar_return,3,0.9,54.31623670900108,124.33434678150938,0.5738900220534322,0.00010256952769442333,6,6,4625,32,43,-945950.3509345327,-397369.0684780923,548581.2824564405,0.5277837837837838,3,0.1052972972972973,1.7461276525724516,0.09859090472858058,0.7243576862461489,4493,32,39,971629.5529214847,1490006.41576085,518376.8628393654,0.6031604718450924,4,0.08924994435789005,0.9616957385085203,0.08919788996740613,2.8743690596055274,False,True,False
P231_EVENT_REVERSAL_H6_Q0_95,P231_EVENT_REVERSAL,bar_return,reversal,event_window_score_and_abs_bar_return,6,0.95,72.36521885994138,166.60820764644035,0.6975712553247029,0.00012928376049734116,5,5,691,32,17,-132570.67516153256,-52943.55190915248,79627.12325238004,0.3921852387843705,2,0.19536903039073805,4.9105331583285565,0.33837613804768996,0.664893440157905,1039,32,17,800137.6651341047,915922.362923449,115784.69778934444,0.6179018286814244,3,0.15688161693936478,0.8707852748945305,0.07588214893331051,7.910564870928398,False,True,False
P231_EVENT_REVERSAL_H3_Q0_95,P231_EVENT_REVERSAL,bar_return,reversal,event_window_score_and_abs_bar_return,3,0.95,72.36521885994138,166.60820764644035,0.6975712553247029,0.00012928376049734116,6,6,2110,32,28,-307734.243410777,-48054.65844021214,259679.58497056476,0.5436018957345972,3,0.17014218009478674,3.4646650665519916,0.23315023566959028,0.1850536631351257,2123,32,25,665198.9505668008,911965.6707533712,246766.72018657048,0.6368346679227508,4,0.11163447951012719,0.8316627331847172,0.11010425666222529,3.69565908265049,False,True,False
P231_EVENT_REVERSAL_H6_Q0_975,P231_EVENT_REVERSAL,bar_return,reversal,event_window_score_and_abs_bar_return,6,0.975,89.97659767554299,215.81341333591465,0.7398076536917628,0.00015291091108960716,4,5,301,25,7,-145221.7310524897,-110402.07704807054,34819.65400441915,0.3122923588039867,1,0.3222591362126246,2.7946294002439136,0.20047940276189224,3.170682771117106,538,32,11,270391.41580596723,329651.0672100561,59259.65140408889,0.5855018587360595,3,0.29739776951672864,1.4377046050710314,0.14517460273823404,5.562824947487125,False,False,False
P231_EVENT_REVERSAL_H3_Q0_975,P231_EVENT_REVERSAL,bar_return,reversal,event_window_score_and_abs_bar_return,3,0.975,89.97659767554299,215.81341333591465,0.7398076536917628,0.00015291091108960716,5,6,1002,32,16,-480271.22447602556,-354165.82530688844,126105.39916913709,0.4550898203592814,2,0.23952095808383234,1.5449002340438889,0.16286787420364449,2.8084905772501343,940,32,18,102745.23176573966,212301.38819924457,109556.15643350488,0.5851063829787234,3,0.1702127659574468,3.6768349899783557,0.4047988925421628,1.937831657393904,False,True,False
P231_MICROPRICE_REVERSAL_H6_Q0_9,P231_MICROPRICE_REVERSAL,avg_microprice_dev,reversal,event_window_score_and_abs_microprice_dev,6,0.9,54.31623670900108,124.33434678150938,0.5738900220534322,0.00010256952769442333,4,5,97,8,11,140920.8740272712,153651.1403641464,12730.26633687523,0.6288659793814433,1,0.38144329896907214,1.0327195406974436,0.25303218891602347,12.06975064764133,125,7,14,77227.72060201246,93125.59406141202,15897.873459399554,0.584,2,0.28,1.2743944335690953,0.572806415346306,5.857739042849903,True,False,False
P231_MICROPRICE_REVERSAL_H6_Q0_95,P231_MICROPRICE_REVERSAL,avg_microprice_dev,reversal,event_window_score_and_abs_microprice_dev,6,0.95,72.36521885994138,166.60820764644035,0.6975712553247029,0.00012928376049734116,2,2,8,4,2,29275.5745309155,30465.10592748406,1189.5313965685586,0.875,2,0.75,0.9740193905123193,0.8538241314347831,25.61101456873417,21,3,4,46677.179970507656,49476.59666544524,2799.4166949375854,0.8095238095238095,2,0.47619047619047616,0.7633269895515977,0.7790883466293292,17.673894977806565,False,False,False
P231_L5_IMBALANCE_CONTINUATION_H6_Q0_95,P231_L5_IMBALANCE_CONTINUATION,avg_l5_imbalance,continuation,event_window_score_and_abs_l5_imbalance,6,0.95,72.36521885994138,166.60820764644035,0.6975712553247029,0.00012928376049734116,3,4,10,1,3,24656.55053435322,25823.60000990243,1167.0494755492005,1.0,3,0.5,0.6588835054802273,1.0000000000000002,22.127253857639698,24,2,4,38455.53468100576,41269.0379664237,2813.5032854179344,0.7916666666666666,4,0.4166666666666667,0.4224566004318037,1.0487123968943945,14.668203225607163,False,False,False
P231_EVENT_CONTINUATION_H3_Q0_99,P231_EVENT_CONTINUATION,bar_return,continuation,event_window_score_and_abs_bar_return,3,0.99,115.81745366280154,278.87648325239047,0.7411123125345784,0.00022700450492660042,5,5,314,32,7,172461.04698190244,213624.5613853495,41163.514403447065,0.5063694267515924,3,0.3089171974522293,1.3225550426405854,0.4019483293161292,5.189657989150227,331,31,8,29090.804754246703,67993.17946909124,38902.374714844525,0.39274924471299094,2,0.3564954682779456,7.272627295986364,0.7064601021732093,1.7477899477212666,False,False,False
P231_L5_IMBALANCE_REVERSAL_H6_Q0_9,P231_L5_IMBALANCE_REVERSAL,avg_l5_imbalance,reversal,event_window_score_and_abs_l5_imbalance,6,0.9,54.31623670900108,124.33434678150938,0.5738900220534322,0.00010256952769442333,5,6,115,5,19,20274.784130448596,33297.826474976624,13023.042344528025,0.45217391304347826,3,0.16521739130434782,0.7850714553893933,2.164378425760829,2.556839300224466,168,5,17,26519.167056629936,45560.47286529753,19041.30580866759,0.5178571428571429,3,0.11904761904761904,2.7550141474065044,2.7588859293897605,2.392717879913385,False,False,False
P231_MICROPRICE_REVERSAL_H3_Q0_975,P231_MICROPRICE_REVERSAL,avg_microprice_dev,reversal,event_window_score_and_abs_microprice_dev,3,0.975,89.97659767554299,215.81341333591465,0.7398076536917628,0.00015291091108960716,5,5,51,3,6,19507.30026713077,27268.36243077994,7761.0621636491705,0.6078431372549019,3,0.3333333333333333,0.9470098444248659,1.426159110427116,3.5134833165617425,30,3,7,11826.384676388869,16193.34984348102,4366.965167092152,0.7333333333333333,3,0.3333333333333333,0.9252292715656608,0.5397055779267427,3.7081472427369393,True,False,False
P231_MICROPRICE_REVERSAL_H3_Q0_99,P231_MICROPRICE_REVERSAL,avg_microprice_dev,reversal,event_window_score_and_abs_microprice_dev,3,0.99,115.81745366280154,278.87648325239047,0.7411123125345784,0.00022700450492660042,4,3,16,2,5,12673.486432345835,15096.097421061651,2422.6109887158104,0.75,3,0.4375,0.7812089471847435,1.7135891430979602,6.231333669077372,7,1,4,6296.938215971829,7328.345956544603,1031.407740572772,0.7142857142857143,2,0.2857142857142857,0.8607700935846617,1.0,7.105188053441358,False,False,False
P231_L5_IMBALANCE_CONTINUATION_H3_Q0_95,P231_L5_IMBALANCE_CONTINUATION,avg_l5_imbalance,continuation,event_window_score_and_abs_l5_imbalance,3,0.95,72.36521885994138,166.60820764644035,0.6975712553247029,0.00012928376049734116,5,6,61,2,9,25006.82627205208,34219.40902515125,9212.582753099177,0.5901639344262295,2,0.22950819672131148,1.1630967723719419,1.8281521920052215,3.7144208027482417,60,2,11,4579.207914476565,12827.051676530527,8247.843762053964,0.5666666666666667,3,0.16666666666666666,2.283008289093605,1.497850764286471,1.5552006132250256,False,False,False
