trade_month,trades,target_symbols,net_pnl_inr,gross_pnl_proxy_inr,cost_pnl_drag_proxy_inr,precision_cost_clear,positive_target_fraction,cost_drag_to_abs_gross_ratio
2026-01,4682,26,840303.4750064544,1460207.8766436463,619904.401637192,0.49401964972234086,1.0,0.4245316105690857
2026-02,5216,26,213681.7634876084,927046.6807479993,713364.9172603907,0.5024923312883436,0.6923076923076923,0.7695026928792876
2026-03,5152,26,-827640.0034869488,-156844.8513545963,670795.1521323525,0.4116847826086957,0.0,4.276806961395326
2026-04,4434,26,-1180210.4170065587,-582487.952090536,597722.4649160224,0.45669824086603517,0.0,1.026154211037001
2026-05,5273,26,-710518.7663716492,-7485.173475144446,703033.5928965049,0.3995827802010241,0.0,93.92348690795548
2026-06,5614,26,-598649.6148157713,185942.1154161743,784591.7302319456,0.39526184538653364,0.038461538461538464,4.219548263586645
2026-07,4354,26,-1150584.078123958,-591818.838137265,558765.239986693,0.354616444648599,0.0,0.9441491280429544
2026-08,5901,26,-1838179.7466817873,-1052442.5524066642,785737.1942751227,0.35960006778512116,0.0,0.746584402614988
2026-09,5277,26,-828077.7459731502,-110537.71138419211,717540.034588958,0.4318741709304529,0.0,6.491359605727939
2026-10,4391,26,-722259.3764601764,-181231.7566046475,541027.6198555292,0.4169892962878615,0.0,2.985280449693854
2026-11,6001,26,155521.43658915383,968839.2632470205,813317.8266578666,0.48591901349775035,0.6923076923076923,0.8394765339423477
2026-12,2693,26,-330848.6349649628,35471.504929555405,366320.1398945182,0.4701076865948756,0.0,10.327166569955553
