trade_date,daily_net_pnl_inr,scheduled_event_rows,scheduled_notional_inr,scenario_id,daily_return_pct,synthetic_seed,synthetic_regime,phase275_scope_id,cost_profile
2026-07-14,46.91094975161313,2,150000.0,P271_P275_TOP2_PRIORITY_SUBSET_TIME_RANK_BASE_BOOTSTRAP_SEED101_CAP100000_NOT75000_CONC1_COST200,0.04691094975161313,101,base_bootstrap,TOP2_PRIORITY_SUBSET,cost200
2026-07-14,-231.54329607545202,4,200000.0,P271_P275_TOP2_PRIORITY_SUBSET_TIME_RANK_BASE_BOOTSTRAP_SEED101_CAP100000_NOT75000_CONC2_COST200,-0.23154329607545204,101,base_bootstrap,TOP2_PRIORITY_SUBSET,cost200
2026-07-14,-87.81330079792747,6,200000.0,P271_P275_TOP2_PRIORITY_SUBSET_TIME_RANK_BASE_BOOTSTRAP_SEED101_CAP100000_NOT75000_CONC3_COST200,-0.08781330079792747,101,base_bootstrap,TOP2_PRIORITY_SUBSET,cost200
2026-07-14,62.547933002150835,2,200000.0,P271_P275_TOP2_PRIORITY_SUBSET_TIME_RANK_BASE_BOOTSTRAP_SEED101_CAP100000_NOT100000_CONC1_COST200,0.06254793300215084,101,base_bootstrap,TOP2_PRIORITY_SUBSET,cost200
2026-07-14,-231.54329607545202,4,200000.0,P271_P275_TOP2_PRIORITY_SUBSET_TIME_RANK_BASE_BOOTSTRAP_SEED101_CAP100000_NOT100000_CONC2_COST200,-0.23154329607545204,101,base_bootstrap,TOP2_PRIORITY_SUBSET,cost200
2026-07-14,-87.81330079792747,6,200000.0,P271_P275_TOP2_PRIORITY_SUBSET_TIME_RANK_BASE_BOOTSTRAP_SEED101_CAP100000_NOT100000_CONC3_COST200,-0.08781330079792747,101,base_bootstrap,TOP2_PRIORITY_SUBSET,cost200
2026-07-14,46.91094975161313,2,150000.0,P271_P275_TOP2_PRIORITY_SUBSET_TIME_RANK_BASE_BOOTSTRAP_SEED101_CAP250000_NOT75000_CONC1_COST200,0.018764379900645254,101,base_bootstrap,TOP2_PRIORITY_SUBSET,cost200
2026-07-14,-347.314944113178,4,300000.0,P271_P275_TOP2_PRIORITY_SUBSET_TIME_RANK_BASE_BOOTSTRAP_SEED101_CAP250000_NOT75000_CONC2_COST200,-0.1389259776452712,101,base_bootstrap,TOP2_PRIORITY_SUBSET,cost200
2026-07-14,-197.57992679533683,6,450000.0,P271_P275_TOP2_PRIORITY_SUBSET_TIME_RANK_BASE_BOOTSTRAP_SEED101_CAP250000_NOT75000_CONC3_COST200,-0.07903197071813473,101,base_bootstrap,TOP2_PRIORITY_SUBSET,cost200
2026-07-14,62.547933002150835,2,200000.0,P271_P275_TOP2_PRIORITY_SUBSET_TIME_RANK_BASE_BOOTSTRAP_SEED101_CAP250000_NOT100000_CONC1_COST200,0.025019173200860334,101,base_bootstrap,TOP2_PRIORITY_SUBSET,cost200
