parameter_id,value,status
P417_LOOKBACK_TICKS,240,fixed
P417_ENTRY_ZSCORE,1.75,fixed
P417_EXIT_ZSCORE,0.35,fixed
P417_STOP_ZSCORE,3.25,fixed
P417_MAX_HOLD_TICKS,360,fixed
P417_MAX_SPREAD_BPS_PER_LEG,8.0,fixed
P417_MIN_L2_L5_LIQUIDITY_PER_LEG_INR,2000000.0,fixed
P417_MAX_ABS_L2_L5_IMBALANCE_CONFLICT,0.65,fixed
P417_INITIAL_CAPITAL_INR,1000000.0,fixed
P417_PAIR_NOTIONAL_INR,100000.0,fixed
P417_COST_MULTIPLIER,2.0,fixed
P417_PAIR_HDFCBANK_ICICIBANK,HDFCBANK/ICICIBANK,fixed
P417_PAIR_HDFCBANK_AXISBANK,HDFCBANK/AXISBANK,fixed
P417_PAIR_INFY_TCS,INFY/TCS,fixed
P417_PAIR_RELIANCE_ONGC,RELIANCE/ONGC,fixed
