metric,value,description
phase436_supervised_ranker_interpretation_complete,1,Phase436 interpretation completed
phase436_selected_verdict,P436_SUPERVISED_FULL_DEPTH_EVENT_RANKER_REJECTED_COST_DOMINATED,Selected verdict
phase436_phase435_best_completed_round_trips,32,Phase435 primary round trips
phase436_phase435_best_annualized_return_pct,-130.2218249756231,Phase435 primary annualized return
phase436_phase435_acceptance_survivors,0,Phase435 cost200 survivors
phase436_strategy_promotion_allowed,0,No promotion
phase436_paper_or_live_acceptance_allowed,0,No paper/live
phase436_deployable_profitability_claim_allowed,0,No deployable claim
phase436_same_source_rescue_allowed,0,No same-source rescue
phase436_hard_gate_pass_rows,8,Passed hard gates
phase436_hard_gate_rows,8,Hard gates
phase436_next_best_action,precommit_material_new_lower_turnover_horizon_or_pause_strategy_search,Recommended next action
