symbol,strategy_id,side,shard_symbol_label_rows,symbols,trade_dates,candidate_orders,inferred_touches,mean_gross_bps_if_touched,median_gross_bps_if_touched,mean_after_cost_bps_if_touched,mean_adverse_selection_rate,mean_cost_clearing_rate,worst_gross_bps_if_touched,best_gross_bps_if_touched,mean_spread_bps,mean_abs_l1_imbalance,touch_rate,label_candidate
JUNIORBEES,P66_JOIN_IMBALANCE,-1,4,1,4,991664,12300,-17.745782525312784,-12.056009755500586,-26.0139025253128,0.9959677419354839,0.0,-124.3329241099389,0.18700443823904678,4.201025828895062,0.6973640549712294,0.01240339469820423,False
BANKBEES,P66_FADE_IMBALANCE,-1,4,1,4,975792,12050,-18.292754490878025,-12.352503925827929,-26.560874490878046,0.9907407407407407,0.0,-138.58272821576924,0.08341535843614523,4.037561738835753,0.3284456057378896,0.012348943217406988,False
CIPLA,P66_FADE_IMBALANCE,-1,4,1,4,983728,12800,-18.801979701312916,-13.83778104139921,-27.0700997013129,1.0,0.0,-142.93493057446204,0.0,3.2926017199902415,0.5688672204113793,0.013011726818795439,False
BANKBEES,P66_JOIN_IMBALANCE,1,4,1,4,975792,10950,-19.271939844122095,-11.49104344709051,-27.5400598441221,1.0,0.0,-259.6389750922068,0.0,4.037561738835766,0.3284456057378968,0.01122165379507108,False
NIFTYBEES,P66_FADE_IMBALANCE,-1,4,1,4,983728,12450,-19.5660812320107,-13.012851001499847,-27.834201232010727,1.0,0.0,-156.16147308781802,0.0,1.9777611865120277,0.6213873545210546,0.012655937413594002,False
JUNIORBEES,P66_FADE_IMBALANCE,1,4,1,4,991664,10199,-20.159183810484013,-10.916892034644466,-28.427303810483938,0.9957002457002457,0.0,-245.6288234236814,0.1280360549538173,4.20102582889518,0.697364054971243,0.010284733538779263,False
NIFTYBEES,P66_JOIN_IMBALANCE,1,4,1,4,983728,11548,-20.320415233287324,-9.486488972494378,-28.588535233287253,0.9924568965517242,0.0,-214.7588859605376,2.220446049250313e-12,1.9777611865120552,0.6213873545210611,0.01173901728933201,False
SUNPHARMA,P66_JOIN_IMBALANCE,-1,4,1,4,402584,5650,-20.52891955421905,-15.751671085919295,-28.797039554219026,1.0,0.0,-162.43551105889375,0.0,2.570524319888467,0.30581988801186605,0.014034338175387,False
ITC,P66_FADE_IMBALANCE,-1,4,1,4,987696,11900,-21.199072826763334,-14.224855311028017,-29.467192826763345,1.0,0.0,-262.97755696419455,-0.8727526618945713,2.6416290800736375,0.5099034136641626,0.01204824156420599,False
CIPLA,P66_JOIN_IMBALANCE,1,4,1,4,983728,11100,-21.65173569581481,-13.427332930575076,-29.919855695814814,1.0,0.0,-261.0708329078604,0.0,3.2926017199902873,0.5688672204113701,0.01128360685067417,False
ITC,P66_JOIN_IMBALANCE,1,4,1,4,987696,11800,-21.75992793499198,-11.53544591947886,-30.02804793499196,1.0,0.0,-355.88714518480447,-0.8731336767675568,2.641629080073387,0.5099034136641702,0.011946995836775689,False
ITBEES,P66_FADE_IMBALANCE,-1,4,1,4,981744,11750,-21.761877037921053,-12.429122466981468,-30.02999703792102,1.0,0.0,-239.30601256356488,0.0,3.8501387291505536,0.7409770951799992,0.011968496879023452,False
NESTLEIND,P66_JOIN_IMBALANCE,1,6,1,4,969840,11450,-22.468644004431436,-15.370620652431777,-30.73676400443142,1.0,0.0,-231.24340155978751,0.0,3.4439006524531663,0.40834997082782354,0.011806071104512084,False
NESTLEIND,P66_FADE_IMBALANCE,-1,7,1,4,975792,11800,-22.674016383995923,-16.104187088642476,-30.942136383995944,1.0,0.0,-196.23875715453764,0.0,3.3605259652470028,0.4062299138379343,0.01209274107596701,False
