queue_rank,priority_band,gate_id,gate_name,strategy_id,strategy_support_level,strategy_role,work_package_focus,primary_work_package,acceptance_milestone,blocker_category,missing_requirement,next_required_evidence,current_evidence_sources,current_evidence_source_count,current_evidence_source_status,primary_wp_backlog_items,primary_wp_proxy_deliverables,primary_wp_acceptance_grade_deliverables,dependency_note,acceptance_ready_now
1,P1,G04_risk,Risk gate,S01,runnable_proxy,priority,WP8,WP8,full_lifecycle_acceptance_risk_run,risk_sample_proxy_only,"Acceptance-grade full-run drawdown, position-limit, tail-loss and daily-loss-limit validation.","Full lifecycle/risk run over all generated trades with daily equity curves, position exposure, halt behavior and tail-loss summaries.",outputs/phase12/execution_summary.csv; outputs/phase12/full_run_risk_summary.csv; outputs/phase12/full_run_lifecycle_risk_summary.csv; outputs/phase12/full_run_lifecycle_daily_risk_summary.csv; outputs/phase12/full_run_lifecycle_risk_breach_severity.csv; outputs/phase12/full_run_lifecycle_risk_limit_sensitivity.csv; outputs/phase12_order_lifecycle/risk_control_summary.csv,7,present,7,event-driven engine; fees; latency; market and limit orders; partial fills; risk controls; slippage,0,"Requires full lifecycle risk state over generated trades, daily equity curves, position exposure, halt behavior and tail-loss summaries.",False
2,P1,G04_risk,Risk gate,S02,runnable_proxy,priority,WP8,WP8,full_lifecycle_acceptance_risk_run,risk_sample_proxy_only,"Acceptance-grade full-run drawdown, position-limit, tail-loss and daily-loss-limit validation.","Full lifecycle/risk run over all generated trades with daily equity curves, position exposure, halt behavior and tail-loss summaries.",outputs/phase12/execution_summary.csv; outputs/phase12/full_run_risk_summary.csv; outputs/phase12/full_run_lifecycle_risk_summary.csv; outputs/phase12/full_run_lifecycle_daily_risk_summary.csv; outputs/phase12/full_run_lifecycle_risk_breach_severity.csv; outputs/phase12/full_run_lifecycle_risk_limit_sensitivity.csv; outputs/phase12_order_lifecycle/risk_control_summary.csv,7,present,7,event-driven engine; fees; latency; market and limit orders; partial fills; risk controls; slippage,0,"Requires full lifecycle risk state over generated trades, daily equity curves, position exposure, halt behavior and tail-loss summaries.",False
3,P1,G04_risk,Risk gate,S05,runnable_proxy,filter,WP8,WP8,full_lifecycle_acceptance_risk_run,risk_sample_proxy_only,"Acceptance-grade full-run drawdown, position-limit, tail-loss and daily-loss-limit validation.","Full lifecycle/risk run over all generated trades with daily equity curves, position exposure, halt behavior and tail-loss summaries.",outputs/phase12/execution_summary.csv; outputs/phase12/full_run_risk_summary.csv; outputs/phase12/full_run_lifecycle_risk_summary.csv; outputs/phase12/full_run_lifecycle_daily_risk_summary.csv; outputs/phase12/full_run_lifecycle_risk_breach_severity.csv; outputs/phase12/full_run_lifecycle_risk_limit_sensitivity.csv; outputs/phase12_order_lifecycle/risk_control_summary.csv,7,present,7,event-driven engine; fees; latency; market and limit orders; partial fills; risk controls; slippage,0,"Requires full lifecycle risk state over generated trades, daily equity curves, position exposure, halt behavior and tail-loss summaries.",False
4,P1,G04_risk,Risk gate,S07,runnable_proxy,priority,WP8,WP8,full_lifecycle_acceptance_risk_run,risk_sample_proxy_only,"Acceptance-grade full-run drawdown, position-limit, tail-loss and daily-loss-limit validation.","Full lifecycle/risk run over all generated trades with daily equity curves, position exposure, halt behavior and tail-loss summaries.",outputs/phase12/execution_summary.csv; outputs/phase12/full_run_risk_summary.csv; outputs/phase12/full_run_lifecycle_risk_summary.csv; outputs/phase12/full_run_lifecycle_daily_risk_summary.csv; outputs/phase12/full_run_lifecycle_risk_breach_severity.csv; outputs/phase12/full_run_lifecycle_risk_limit_sensitivity.csv; outputs/phase12_order_lifecycle/risk_control_summary.csv,7,present,7,event-driven engine; fees; latency; market and limit orders; partial fills; risk controls; slippage,0,"Requires full lifecycle risk state over generated trades, daily equity curves, position exposure, halt behavior and tail-loss summaries.",False
5,P1,G04_risk,Risk gate,S09,runnable_proxy,benchmark,WP8,WP8,full_lifecycle_acceptance_risk_run,risk_sample_proxy_only,"Acceptance-grade full-run drawdown, position-limit, tail-loss and daily-loss-limit validation.","Full lifecycle/risk run over all generated trades with daily equity curves, position exposure, halt behavior and tail-loss summaries.",outputs/phase12/execution_summary.csv; outputs/phase12/full_run_risk_summary.csv; outputs/phase12/full_run_lifecycle_risk_summary.csv; outputs/phase12/full_run_lifecycle_daily_risk_summary.csv; outputs/phase12/full_run_lifecycle_risk_breach_severity.csv; outputs/phase12/full_run_lifecycle_risk_limit_sensitivity.csv; outputs/phase12_order_lifecycle/risk_control_summary.csv,7,present,7,event-driven engine; fees; latency; market and limit orders; partial fills; risk controls; slippage,0,"Requires full lifecycle risk state over generated trades, daily equity curves, position exposure, halt behavior and tail-loss summaries.",False
6,P1,G04_risk,Risk gate,S03,partial_missing_required_features,priority,WP8,WP8,full_lifecycle_acceptance_risk_run,risk_sample_proxy_only,"Acceptance-grade full-run drawdown, position-limit, tail-loss and daily-loss-limit validation.","Full lifecycle/risk run over all generated trades with daily equity curves, position exposure, halt behavior and tail-loss summaries.",outputs/phase12/execution_summary.csv; outputs/phase12/full_run_risk_summary.csv; outputs/phase12/full_run_lifecycle_risk_summary.csv; outputs/phase12/full_run_lifecycle_daily_risk_summary.csv; outputs/phase12/full_run_lifecycle_risk_breach_severity.csv; outputs/phase12/full_run_lifecycle_risk_limit_sensitivity.csv; outputs/phase12_order_lifecycle/risk_control_summary.csv,7,present,7,event-driven engine; fees; latency; market and limit orders; partial fills; risk controls; slippage,0,"Requires full lifecycle risk state over generated trades, daily equity curves, position exposure, halt behavior and tail-loss summaries.",False
7,P1,G04_risk,Risk gate,S04,partial_missing_required_features,priority,WP8,WP8,full_lifecycle_acceptance_risk_run,risk_sample_proxy_only,"Acceptance-grade full-run drawdown, position-limit, tail-loss and daily-loss-limit validation.","Full lifecycle/risk run over all generated trades with daily equity curves, position exposure, halt behavior and tail-loss summaries.",outputs/phase12/execution_summary.csv; outputs/phase12/full_run_risk_summary.csv; outputs/phase12/full_run_lifecycle_risk_summary.csv; outputs/phase12/full_run_lifecycle_daily_risk_summary.csv; outputs/phase12/full_run_lifecycle_risk_breach_severity.csv; outputs/phase12/full_run_lifecycle_risk_limit_sensitivity.csv; outputs/phase12_order_lifecycle/risk_control_summary.csv,7,present,7,event-driven engine; fees; latency; market and limit orders; partial fills; risk controls; slippage,0,"Requires full lifecycle risk state over generated trades, daily equity curves, position exposure, halt behavior and tail-loss summaries.",False
8,P1,G04_risk,Risk gate,S06,partial_missing_required_features,priority,WP8,WP8,full_lifecycle_acceptance_risk_run,risk_sample_proxy_only,"Acceptance-grade full-run drawdown, position-limit, tail-loss and daily-loss-limit validation.","Full lifecycle/risk run over all generated trades with daily equity curves, position exposure, halt behavior and tail-loss summaries.",outputs/phase12/execution_summary.csv; outputs/phase12/full_run_risk_summary.csv; outputs/phase12/full_run_lifecycle_risk_summary.csv; outputs/phase12/full_run_lifecycle_daily_risk_summary.csv; outputs/phase12/full_run_lifecycle_risk_breach_severity.csv; outputs/phase12/full_run_lifecycle_risk_limit_sensitivity.csv; outputs/phase12_order_lifecycle/risk_control_summary.csv,7,present,7,event-driven engine; fees; latency; market and limit orders; partial fills; risk controls; slippage,0,"Requires full lifecycle risk state over generated trades, daily equity curves, position exposure, halt behavior and tail-loss summaries.",False
9,P1,G04_risk,Risk gate,S08,partial_missing_required_features,research,WP8,WP8,full_lifecycle_acceptance_risk_run,risk_sample_proxy_only,"Acceptance-grade full-run drawdown, position-limit, tail-loss and daily-loss-limit validation.","Full lifecycle/risk run over all generated trades with daily equity curves, position exposure, halt behavior and tail-loss summaries.",outputs/phase12/execution_summary.csv; outputs/phase12/full_run_risk_summary.csv; outputs/phase12/full_run_lifecycle_risk_summary.csv; outputs/phase12/full_run_lifecycle_daily_risk_summary.csv; outputs/phase12/full_run_lifecycle_risk_breach_severity.csv; outputs/phase12/full_run_lifecycle_risk_limit_sensitivity.csv; outputs/phase12_order_lifecycle/risk_control_summary.csv,7,present,7,event-driven engine; fees; latency; market and limit orders; partial fills; risk controls; slippage,0,"Requires full lifecycle risk state over generated trades, daily equity curves, position exposure, halt behavior and tail-loss summaries.",False
10,P1,G04_risk,Risk gate,S10,not_supported_by_current_product,research_only,WP8,WP8,full_lifecycle_acceptance_risk_run,risk_sample_proxy_only,"Acceptance-grade full-run drawdown, position-limit, tail-loss and daily-loss-limit validation.","Full lifecycle/risk run over all generated trades with daily equity curves, position exposure, halt behavior and tail-loss summaries.",outputs/phase12/execution_summary.csv; outputs/phase12/full_run_risk_summary.csv; outputs/phase12/full_run_lifecycle_risk_summary.csv; outputs/phase12/full_run_lifecycle_daily_risk_summary.csv; outputs/phase12/full_run_lifecycle_risk_breach_severity.csv; outputs/phase12/full_run_lifecycle_risk_limit_sensitivity.csv; outputs/phase12_order_lifecycle/risk_control_summary.csv,7,present,7,event-driven engine; fees; latency; market and limit orders; partial fills; risk controls; slippage,0,"Requires full lifecycle risk state over generated trades, daily equity curves, position exposure, halt behavior and tail-loss summaries.",False
