queue_rank,priority_band,strategy_id,strategy_support_level,strategy_role,realism_requirement,requirement_priority,action_class,dependency_type,required_threshold,observed_value,current_evidence_status,proxy_evidence_available,acceptance_requirement_met,realism_hardening_status,blocking_gap,required_next_evidence,realism_evidence_summary,quality_gate_rows,quality_pass_rows,quality_warn_rows,quality_fail_rows,warning_triage_rows,holdout_generator_rows,holdout_proxy_available_rows,holdout_structural_ready_rows,feed_profile_count,quarter_profile_count,acceptance_ready_now,evidence_source
45,P5,S03,partial_missing_required_features,priority,synthetic_quality_gate_clear,1,synthetic_quality_gate_validation,phase14_quality_gates_and_warning_triage,no failing or warning quality checks before strategy realism acceptance,pass=24; warn=0; fail=0; triage_rows=0,quality_proxy_clear_not_acceptance,True,False,proxy_evidence_needs_acceptance_upgrade,"Quality checks are current synthetic diagnostics over one-day calibration and generated scenarios, not strategy rerun evidence.",Keep quality gates green after any generator changes and rerun strategy realism checks on the accepted generator version.,quality_pass=24/24; warnings=0; fails=0; holdout_rows=15; holdout_proxy_rows=15; feed_profiles=5; quarters=3,24,24,0,0,0,15,15,15,5,3,False,outputs/phase14/quality_gate_summary.csv; outputs/phase14/quality_warning_triage.csv; outputs/phase14/holdout_generator_realism_summary.csv; outputs/phase11/strategy_validation_matrix.csv
45,P5,S03,partial_missing_required_features,priority,strategy_support_ready,2,strategy_support_closure,strategy_feature_product_or_module_support,strategy is runnable in the current feature and execution product,support_level=partial_missing_required_features,partial_or_unsupported_strategy,False,False,missing_required_acceptance_evidence,Partial or unsupported strategies cannot pass realism until required features/modules exist.,Implement missing strategy features/modules or mark the strategy as research-only before realism acceptance.,quality_pass=24/24; warnings=0; fails=0; holdout_rows=15; holdout_proxy_rows=15; feed_profiles=5; quarters=3,24,24,0,0,0,15,15,15,5,3,False,outputs/phase14/quality_gate_summary.csv; outputs/phase14/quality_warning_triage.csv; outputs/phase14/holdout_generator_realism_summary.csv; outputs/phase11/strategy_validation_matrix.csv
45,P5,S03,partial_missing_required_features,priority,holdout_generator_coverage,3,holdout_generator_coverage_validation,phase14_holdout_generator_profiles,structurally ready holdout-generator profiles exist for development and holdout quarters,15/15 holdout proxy rows; structural_ready=15; quarters=Q-A;Q-B;Q-C,holdout_generator_proxy_available_not_acceptance,True,False,proxy_evidence_needs_acceptance_upgrade,"Holdout-generator coverage exists as structural proxy evidence, but strategies have not been rerun as acceptance tests.",Run every candidate strategy on predeclared holdout-generator profiles and compare against development/calibration results.,quality_pass=24/24; warnings=0; fails=0; holdout_rows=15; holdout_proxy_rows=15; feed_profiles=5; quarters=3,24,24,0,0,0,15,15,15,5,3,False,outputs/phase14/quality_gate_summary.csv; outputs/phase14/quality_warning_triage.csv; outputs/phase14/holdout_generator_realism_summary.csv; outputs/phase11/strategy_validation_matrix.csv
45,P5,S03,partial_missing_required_features,priority,feed_imperfection_coverage,4,feed_imperfection_coverage_validation,phase8_feed_profiles_and_holdout_generator,holdout evidence includes disconnect and stressed-retail feed profiles,feed_profiles=disconnect_scenario;good_retail;ideal_research;normal_retail;stressed_retail,feed_imperfection_proxy_available_not_acceptance,True,False,proxy_evidence_needs_acceptance_upgrade,"Feed imperfections exist as generated profiles, not acceptance-grade strategy reruns.",Rerun strategies on disconnect/stressed feed profiles with full lifecycle execution and verify performance does not depend on ideal feed assumptions.,quality_pass=24/24; warnings=0; fails=0; holdout_rows=15; holdout_proxy_rows=15; feed_profiles=5; quarters=3,24,24,0,0,0,15,15,15,5,3,False,outputs/phase14/quality_gate_summary.csv; outputs/phase14/quality_warning_triage.csv; outputs/phase14/holdout_generator_realism_summary.csv; outputs/phase11/strategy_validation_matrix.csv
45,P5,S03,partial_missing_required_features,priority,holdout_strategy_rerun,5,holdout_generator_strategy_rerun,untouched_holdout_generator_strategy_outputs,strategy rerun on holdout-generator configurations with no development leakage,not available in current Phase 14 evidence,missing_holdout_strategy_rerun,False,False,missing_required_acceptance_evidence,"Current Phase 14 holdout rows are generator/profile diagnostics, not strategy P&L or signal reruns.",Run Phase 11/12/13 strategy evaluation on Q-B/Q-C holdout profiles and preserve leakage checks.,quality_pass=24/24; warnings=0; fails=0; holdout_rows=15; holdout_proxy_rows=15; feed_profiles=5; quarters=3,24,24,0,0,0,15,15,15,5,3,False,outputs/phase14/quality_gate_summary.csv; outputs/phase14/quality_warning_triage.csv; outputs/phase14/holdout_generator_realism_summary.csv; outputs/phase11/strategy_validation_matrix.csv
45,P5,S03,partial_missing_required_features,priority,pessimistic_execution_realism,6,pessimistic_execution_realism_rerun,stressed_retail_latency_slippage_and_fill_controls,holdout strategy rerun uses stressed retail latency/slippage/fill assumptions,not available in current Phase 14 evidence,missing_pessimistic_execution_holdout_rerun,False,False,missing_required_acceptance_evidence,Strategies have not been rerun on holdout generator outputs with pessimistic execution controls.,"Evaluate holdout-generator strategy results with stressed retail, partial-fill and risk-control assumptions.",quality_pass=24/24; warnings=0; fails=0; holdout_rows=15; holdout_proxy_rows=15; feed_profiles=5; quarters=3,24,24,0,0,0,15,15,15,5,3,False,outputs/phase14/quality_gate_summary.csv; outputs/phase14/quality_warning_triage.csv; outputs/phase14/holdout_generator_realism_summary.csv; outputs/phase11/strategy_validation_matrix.csv
45,P5,S03,partial_missing_required_features,priority,artifact_exploitation_rejection,7,artifact_exploitation_control,artifact_control_and_negative_template_reruns,strategy does not exploit generator artifacts or synthetic-only templates,not available in current Phase 14 evidence,missing_artifact_exploitation_rejection,False,False,missing_required_acceptance_evidence,No negative-control or artifact-exploitation rerun exists for realism acceptance.,Run artifact/control templates and reject strategies whose edge disappears or depends on generator-specific artifacts.,quality_pass=24/24; warnings=0; fails=0; holdout_rows=15; holdout_proxy_rows=15; feed_profiles=5; quarters=3,24,24,0,0,0,15,15,15,5,3,False,outputs/phase14/quality_gate_summary.csv; outputs/phase14/quality_warning_triage.csv; outputs/phase14/holdout_generator_realism_summary.csv; outputs/phase11/strategy_validation_matrix.csv
45,P5,S03,partial_missing_required_features,priority,real_multi_day_realism_validation,8,real_multiday_realism_validation,multi_day_real_data_validation,realism and strategy behavior validated on multiple real market days,not available in current one-day/proxy evidence,missing_multi_day_real_realism_validation,False,False,missing_required_acceptance_evidence,Real calibration uses a one-day sample and no multi-day strategy validation.,"Collect and validate multiple real market days, then compare strategy behavior against synthetic and holdout-generator results.",quality_pass=24/24; warnings=0; fails=0; holdout_rows=15; holdout_proxy_rows=15; feed_profiles=5; quarters=3,24,24,0,0,0,15,15,15,5,3,False,outputs/phase14/quality_gate_summary.csv; outputs/phase14/quality_warning_triage.csv; outputs/phase14/holdout_generator_realism_summary.csv; outputs/phase11/strategy_validation_matrix.csv
46,P5,S04,partial_missing_required_features,priority,synthetic_quality_gate_clear,1,synthetic_quality_gate_validation,phase14_quality_gates_and_warning_triage,no failing or warning quality checks before strategy realism acceptance,pass=24; warn=0; fail=0; triage_rows=0,quality_proxy_clear_not_acceptance,True,False,proxy_evidence_needs_acceptance_upgrade,"Quality checks are current synthetic diagnostics over one-day calibration and generated scenarios, not strategy rerun evidence.",Keep quality gates green after any generator changes and rerun strategy realism checks on the accepted generator version.,quality_pass=24/24; warnings=0; fails=0; holdout_rows=15; holdout_proxy_rows=15; feed_profiles=5; quarters=3,24,24,0,0,0,15,15,15,5,3,False,outputs/phase14/quality_gate_summary.csv; outputs/phase14/quality_warning_triage.csv; outputs/phase14/holdout_generator_realism_summary.csv; outputs/phase11/strategy_validation_matrix.csv
46,P5,S04,partial_missing_required_features,priority,strategy_support_ready,2,strategy_support_closure,strategy_feature_product_or_module_support,strategy is runnable in the current feature and execution product,support_level=partial_missing_required_features,partial_or_unsupported_strategy,False,False,missing_required_acceptance_evidence,Partial or unsupported strategies cannot pass realism until required features/modules exist.,Implement missing strategy features/modules or mark the strategy as research-only before realism acceptance.,quality_pass=24/24; warnings=0; fails=0; holdout_rows=15; holdout_proxy_rows=15; feed_profiles=5; quarters=3,24,24,0,0,0,15,15,15,5,3,False,outputs/phase14/quality_gate_summary.csv; outputs/phase14/quality_warning_triage.csv; outputs/phase14/holdout_generator_realism_summary.csv; outputs/phase11/strategy_validation_matrix.csv
