candidate_id,family_id,horizon,imbalance_quantile,shock_quantile,spread_regime,cost100_event_rows,symbols,trade_dates,cost100_net_pnl_inr,cost100_annualized_return_pct,cost150_net_pnl_inr,cost200_net_pnl_inr,cost200_annualized_return_pct,cost200_avg_net_per_event,shuffle_label_margin_inr,side_flip_degrades,random_side_beat,acceptance_grade_candidate,fixed_notional_proxy_only,portfolio_return_validated,needs_capital_concurrency_capacity_model,acceptance_blockers
P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p75_SPHIGH,P268_BID_ABSORPTION_BREADTH_REPAIR,10,0.9,0.75,high,9,4,1,782.0356498346316,197.07298375832715,409.97024983463166,37.90484983463176,9.552022158327205,4.211649981625751,0.0,1,1,0,1,0,1,not_2x_annualized_above_12pct;acceptance_grade_zero;events_lt_30;symbols_lt_8;shuffle_margin_lt_100;cost200_avg_lt_25
P268_P268_WITHDRAWAL_REVERSAL_ROBUSTNESS_REPAIR_H10_IQ0p9_SQ0p75_SPMID,P268_WITHDRAWAL_REVERSAL_ROBUSTNESS_REPAIR,10,0.9,0.75,mid,29,11,1,572.8539083884338,144.35918491388531,-626.0234916115664,-1824.900891611566,-459.8750246861146,-62.92761695212297,0.0,1,1,0,1,0,1,not_2x_annualized_above_12pct;acceptance_grade_zero;events_lt_30;shuffle_margin_lt_100;cost200_avg_lt_25
P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p75_SPCOMPRESSION,P268_BID_ABSORPTION_BREADTH_REPAIR,10,0.9,0.75,compression,11,7,1,570.2732203654692,143.70885153209824,115.52662036546911,-339.2199796345306,-85.4834348679017,-30.83817996677551,-1.1368683772161605e-13,1,1,0,1,0,1,not_2x_annualized_above_12pct;acceptance_grade_zero;events_lt_30;symbols_lt_8;shuffle_margin_lt_100;cost200_avg_lt_25
P268_P268_ASK_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p5_SPMID,P268_ASK_ABSORPTION_BREADTH_REPAIR,10,0.9,0.5,mid,15,7,1,557.0556740016758,140.3780298484223,-63.05332599832407,-683.1623259983239,-172.15690615157763,-45.54415506655493,-1.1368683772161605e-13,1,1,0,1,0,1,not_2x_annualized_above_12pct;acceptance_grade_zero;events_lt_30;symbols_lt_8;shuffle_margin_lt_100;cost200_avg_lt_25
P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p6_SPHIGH,P268_BID_ABSORPTION_BREADTH_REPAIR,10,0.9,0.6,high,11,6,1,388.0079129601309,97.777994065953,-66.73868703986903,-521.4852870398689,-131.414292334047,-47.40775336726081,0.0,1,1,0,1,0,1,not_2x_annualized_above_12pct;acceptance_grade_zero;events_lt_30;symbols_lt_8;shuffle_margin_lt_100;cost200_avg_lt_25
P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p9_SPHIGH,P268_BID_ABSORPTION_BREADTH_REPAIR,10,0.9,0.9,high,6,2,1,334.0556974295089,84.18203575223625,86.0120974295089,-162.03150257049106,-40.83193864776375,-27.005250428415177,5.684341886080803e-14,1,1,0,1,0,1,not_2x_annualized_above_12pct;acceptance_grade_zero;events_lt_30;symbols_lt_8;shuffle_margin_lt_100;cost200_avg_lt_25
P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p5_SPCOMPRESSION,P268_BID_ABSORPTION_BREADTH_REPAIR,10,0.9,0.5,compression,14,8,1,284.0938556081504,71.59165161325389,-294.67454439184974,-873.4429443918496,-220.10762198674607,-62.388781742274965,0.0,1,1,0,1,0,1,not_2x_annualized_above_12pct;acceptance_grade_zero;events_lt_30;shuffle_margin_lt_100;cost200_avg_lt_25
P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p6_SPCOMPRESSION,P268_BID_ABSORPTION_BREADTH_REPAIR,10,0.9,0.6,compression,14,8,1,284.0938556081504,71.59165161325389,-294.67454439184974,-873.4429443918496,-220.10762198674607,-62.388781742274965,0.0,1,1,0,1,0,1,not_2x_annualized_above_12pct;acceptance_grade_zero;events_lt_30;shuffle_margin_lt_100;cost200_avg_lt_25
P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p5_SPHIGH,P268_BID_ABSORPTION_BREADTH_REPAIR,10,0.9,0.5,high,12,7,1,247.49777646181445,62.36943966837725,-248.58942353818537,-744.6766235381854,-187.6585091316227,-62.05638529484878,-2.8421709430404014e-14,1,1,0,1,0,1,not_2x_annualized_above_12pct;acceptance_grade_zero;events_lt_30;symbols_lt_8;shuffle_margin_lt_100;cost200_avg_lt_25
P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p5_SPLOW,P268_BID_ABSORPTION_BREADTH_REPAIR,10,0.9,0.5,low,12,6,1,227.37384949325207,57.298210072299526,-268.71335050674816,-764.8005505067481,-192.7297387277005,-63.73337920889568,5.684341886080803e-14,1,1,0,1,0,1,not_2x_annualized_above_12pct;acceptance_grade_zero;events_lt_30;symbols_lt_8;shuffle_margin_lt_100;cost200_avg_lt_25
P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H6_IQ0p9_SQ0p5_SPLOW,P268_BID_ABSORPTION_BREADTH_REPAIR,6,0.9,0.5,low,12,6,1,212.80428960858245,53.62668098136278,-283.28291039141766,-779.3701103914177,-196.40126781863725,-64.94750919928481,0.0,1,1,0,1,0,1,not_2x_annualized_above_12pct;acceptance_grade_zero;events_lt_30;symbols_lt_8;shuffle_margin_lt_100;cost200_avg_lt_25
P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H6_IQ0p9_SQ0p75_SPCOMPRESSION,P268_BID_ABSORPTION_BREADTH_REPAIR,6,0.9,0.75,compression,13,7,1,194.8744570843063,49.10836318524518,-342.5533429156939,-879.9811429156937,-221.7552480147548,-67.69085714736106,5.684341886080803e-14,1,1,0,1,0,1,not_2x_annualized_above_12pct;acceptance_grade_zero;events_lt_30;symbols_lt_8;shuffle_margin_lt_100;cost200_avg_lt_25
P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H6_IQ0p9_SQ0p6_SPLOW,P268_BID_ABSORPTION_BREADTH_REPAIR,6,0.9,0.6,low,10,5,1,176.7164279557467,44.532539844848166,-236.68957204425337,-650.0955720442535,-163.8240841551519,-65.00955720442535,2.8421709430404014e-14,1,1,0,1,0,1,not_2x_annualized_above_12pct;acceptance_grade_zero;events_lt_30;symbols_lt_8;shuffle_margin_lt_100;cost200_avg_lt_25
P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p9_SPCOMPRESSION,P268_BID_ABSORPTION_BREADTH_REPAIR,10,0.9,0.9,compression,8,5,1,129.46924457433988,32.62624963273365,-201.2555554256603,-531.98035542566,-134.05904956726633,-66.4975444282075,2.8421709430404014e-14,1,1,0,1,0,1,not_2x_annualized_above_12pct;acceptance_grade_zero;events_lt_30;symbols_lt_8;shuffle_margin_lt_100;cost200_avg_lt_25
P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H6_IQ0p9_SQ0p75_SPLOW,P268_BID_ABSORPTION_BREADTH_REPAIR,6,0.9,0.75,low,8,5,1,112.92923507616166,28.45816723919274,-217.79556492383844,-548.5203649238384,-138.2271319608073,-68.5650456154798,1.4210854715202004e-14,1,1,0,1,0,1,not_2x_annualized_above_12pct;acceptance_grade_zero;events_lt_30;symbols_lt_8;shuffle_margin_lt_100;cost200_avg_lt_25
P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p6_SPLOW,P268_BID_ABSORPTION_BREADTH_REPAIR,10,0.9,0.6,low,10,5,1,101.40795005046851,25.55480341271807,-311.9980499495316,-725.4040499495314,-182.80182058728195,-72.54040499495315,1.4210854715202004e-14,1,1,0,1,0,1,not_2x_annualized_above_12pct;acceptance_grade_zero;events_lt_30;symbols_lt_8;shuffle_margin_lt_100;cost200_avg_lt_25
P268_P268_WITHDRAWAL_REVERSAL_ROBUSTNESS_REPAIR_H10_IQ0p75_SQ0p75_SPMID,P268_WITHDRAWAL_REVERSAL_ROBUSTNESS_REPAIR,10,0.75,0.75,mid,51,11,1,74.45314773829205,18.7621932300496,-2033.917452261708,-4142.288052261708,-1043.8565891699504,-81.22133435807271,-2.273736754432321e-13,1,1,0,1,0,1,not_2x_annualized_above_12pct;acceptance_grade_zero;shuffle_margin_lt_100;cost200_avg_lt_25
