metric,value,description
phase479_cancel_included_attachment_audit_complete,1,Phase479 complete if all gates pass
phase479_thesis_id,P479_CANCEL_INCLUDED_ATTACHMENT_CURRENT_STATE_AUDIT,Phase479 thesis
phase479_attachment_path,C:\Users\Ramic\Downloads\cancel_included.txt,Attachment audited
phase479_attachment_sha256,4dc4a03759bf58ec8e3d9058bebfe3610b42dbe81395acd5a0c270bb30cb24f3,Attachment content hash
phase479_attachment_charter_status,already_executed_in_phase407_409,Current-state status
phase479_attachment_requirement_pass_rows,10,Attachment requirements satisfied by existing artifacts
phase479_attachment_requirement_rows,10,Audited attachment requirement rows
phase479_phase408_best_net_pnl_inr,-47401.785561310404,Best Phase408 net PnL
phase479_phase408_best_annualized_return_pct,-238.90499922900443,Best Phase408 annualized return
phase479_market_maker_tuning_allowed,0,No same-family tuning
phase479_strategy_promotion_allowed,0,No promotion
phase479_paper_or_live_acceptance_allowed,0,No paper/live
phase479_deployable_profitability_claim_allowed,0,No deployable claim
phase479_hard_gate_pass_rows,6,Passed hard gates
phase479_hard_gate_rows,6,Hard gates
phase479_next_best_action,do_not_rerun_or_tune_cancel_included_market_maker_continue_phase478_real_l2_one_day_expansion,Recommended next action
