metric,value,description
phase406_liquidity_vacuum_continuation_interpretation_complete,1,Phase406 interpretation completed
phase406_selected_decision,P406_LIQUIDITY_VACUUM_CONTINUATION_REJECTED,Selected decision
phase406_primary_raw_candidate_rows,75,Primary raw candidates
phase406_primary_capacity_selected_trade_rows,28,Primary selected trades
phase406_primary_net_pnl_inr,-11542.91920749659,Primary net PnL
phase406_primary_annualized_return_pct,-72.72039100722851,Primary annualized return
phase406_primary_above12,0,Primary above 12%
phase406_primary_event_floor_met,0,Primary event floor
phase406_primary_breadth_met,1,Primary breadth
phase406_primary_acceptance_candidate,0,Primary acceptance
phase406_side_flip_annualized_return_pct,5.122935689810689,Side flip
phase406_depth_removed_annualized_return_pct,-71.18638508991357,Depth removed
phase406_same_threshold_rescue_allowed,0,No threshold rescue
phase406_strategy_promotion_allowed,0,No promotion
phase406_paper_or_live_acceptance_allowed,0,No paper/live
phase406_deployable_profitability_claim_allowed,0,No deployable claim
phase406_hard_gate_pass_rows,6,Passed hard gates
phase406_hard_gate_rows,6,Hard gates
phase406_next_best_action,precommit_next_materially_new_l2_thesis_or_pause_strategy_search_no_paper_live,Recommended next action
