source,sample_path,column,required,present,purpose
unseen_raw_real_l2,real_data_sample\l2_unseen_validation\trade_date=2026-08-03\exchange=NSE\symbol=ADANIPORTS\part-034500_616394-000001.parquet,collector_received_utc_ms,1,1,full top-five market-by-price diagnostic input
unseen_raw_real_l2,real_data_sample\l2_unseen_validation\trade_date=2026-08-03\exchange=NSE\symbol=ADANIPORTS\part-034500_616394-000001.parquet,exchange_timestamp,1,1,full top-five market-by-price diagnostic input
unseen_raw_real_l2,real_data_sample\l2_unseen_validation\trade_date=2026-08-03\exchange=NSE\symbol=ADANIPORTS\part-034500_616394-000001.parquet,last_price,1,1,full top-five market-by-price diagnostic input
unseen_raw_real_l2,real_data_sample\l2_unseen_validation\trade_date=2026-08-03\exchange=NSE\symbol=ADANIPORTS\part-034500_616394-000001.parquet,buy_1_price,1,1,full top-five market-by-price diagnostic input
unseen_raw_real_l2,real_data_sample\l2_unseen_validation\trade_date=2026-08-03\exchange=NSE\symbol=ADANIPORTS\part-034500_616394-000001.parquet,buy_1_quantity,1,1,full top-five market-by-price diagnostic input
unseen_raw_real_l2,real_data_sample\l2_unseen_validation\trade_date=2026-08-03\exchange=NSE\symbol=ADANIPORTS\part-034500_616394-000001.parquet,buy_1_orders,1,1,full top-five market-by-price diagnostic input
unseen_raw_real_l2,real_data_sample\l2_unseen_validation\trade_date=2026-08-03\exchange=NSE\symbol=ADANIPORTS\part-034500_616394-000001.parquet,buy_2_price,1,1,full top-five market-by-price diagnostic input
unseen_raw_real_l2,real_data_sample\l2_unseen_validation\trade_date=2026-08-03\exchange=NSE\symbol=ADANIPORTS\part-034500_616394-000001.parquet,buy_2_quantity,1,1,full top-five market-by-price diagnostic input
unseen_raw_real_l2,real_data_sample\l2_unseen_validation\trade_date=2026-08-03\exchange=NSE\symbol=ADANIPORTS\part-034500_616394-000001.parquet,buy_2_orders,1,1,full top-five market-by-price diagnostic input
unseen_raw_real_l2,real_data_sample\l2_unseen_validation\trade_date=2026-08-03\exchange=NSE\symbol=ADANIPORTS\part-034500_616394-000001.parquet,buy_3_price,1,1,full top-five market-by-price diagnostic input
unseen_raw_real_l2,real_data_sample\l2_unseen_validation\trade_date=2026-08-03\exchange=NSE\symbol=ADANIPORTS\part-034500_616394-000001.parquet,buy_3_quantity,1,1,full top-five market-by-price diagnostic input
unseen_raw_real_l2,real_data_sample\l2_unseen_validation\trade_date=2026-08-03\exchange=NSE\symbol=ADANIPORTS\part-034500_616394-000001.parquet,buy_3_orders,1,1,full top-five market-by-price diagnostic input
unseen_raw_real_l2,real_data_sample\l2_unseen_validation\trade_date=2026-08-03\exchange=NSE\symbol=ADANIPORTS\part-034500_616394-000001.parquet,buy_4_price,1,1,full top-five market-by-price diagnostic input
unseen_raw_real_l2,real_data_sample\l2_unseen_validation\trade_date=2026-08-03\exchange=NSE\symbol=ADANIPORTS\part-034500_616394-000001.parquet,buy_4_quantity,1,1,full top-five market-by-price diagnostic input
unseen_raw_real_l2,real_data_sample\l2_unseen_validation\trade_date=2026-08-03\exchange=NSE\symbol=ADANIPORTS\part-034500_616394-000001.parquet,buy_4_orders,1,1,full top-five market-by-price diagnostic input
unseen_raw_real_l2,real_data_sample\l2_unseen_validation\trade_date=2026-08-03\exchange=NSE\symbol=ADANIPORTS\part-034500_616394-000001.parquet,buy_5_price,1,1,full top-five market-by-price diagnostic input
unseen_raw_real_l2,real_data_sample\l2_unseen_validation\trade_date=2026-08-03\exchange=NSE\symbol=ADANIPORTS\part-034500_616394-000001.parquet,buy_5_quantity,1,1,full top-five market-by-price diagnostic input
unseen_raw_real_l2,real_data_sample\l2_unseen_validation\trade_date=2026-08-03\exchange=NSE\symbol=ADANIPORTS\part-034500_616394-000001.parquet,buy_5_orders,1,1,full top-five market-by-price diagnostic input
unseen_raw_real_l2,real_data_sample\l2_unseen_validation\trade_date=2026-08-03\exchange=NSE\symbol=ADANIPORTS\part-034500_616394-000001.parquet,sell_1_price,1,1,full top-five market-by-price diagnostic input
unseen_raw_real_l2,real_data_sample\l2_unseen_validation\trade_date=2026-08-03\exchange=NSE\symbol=ADANIPORTS\part-034500_616394-000001.parquet,sell_1_quantity,1,1,full top-five market-by-price diagnostic input
unseen_raw_real_l2,real_data_sample\l2_unseen_validation\trade_date=2026-08-03\exchange=NSE\symbol=ADANIPORTS\part-034500_616394-000001.parquet,sell_1_orders,1,1,full top-five market-by-price diagnostic input
unseen_raw_real_l2,real_data_sample\l2_unseen_validation\trade_date=2026-08-03\exchange=NSE\symbol=ADANIPORTS\part-034500_616394-000001.parquet,sell_2_price,1,1,full top-five market-by-price diagnostic input
unseen_raw_real_l2,real_data_sample\l2_unseen_validation\trade_date=2026-08-03\exchange=NSE\symbol=ADANIPORTS\part-034500_616394-000001.parquet,sell_2_quantity,1,1,full top-five market-by-price diagnostic input
unseen_raw_real_l2,real_data_sample\l2_unseen_validation\trade_date=2026-08-03\exchange=NSE\symbol=ADANIPORTS\part-034500_616394-000001.parquet,sell_2_orders,1,1,full top-five market-by-price diagnostic input
unseen_raw_real_l2,real_data_sample\l2_unseen_validation\trade_date=2026-08-03\exchange=NSE\symbol=ADANIPORTS\part-034500_616394-000001.parquet,sell_3_price,1,1,full top-five market-by-price diagnostic input
unseen_raw_real_l2,real_data_sample\l2_unseen_validation\trade_date=2026-08-03\exchange=NSE\symbol=ADANIPORTS\part-034500_616394-000001.parquet,sell_3_quantity,1,1,full top-five market-by-price diagnostic input
unseen_raw_real_l2,real_data_sample\l2_unseen_validation\trade_date=2026-08-03\exchange=NSE\symbol=ADANIPORTS\part-034500_616394-000001.parquet,sell_3_orders,1,1,full top-five market-by-price diagnostic input
unseen_raw_real_l2,real_data_sample\l2_unseen_validation\trade_date=2026-08-03\exchange=NSE\symbol=ADANIPORTS\part-034500_616394-000001.parquet,sell_4_price,1,1,full top-five market-by-price diagnostic input
unseen_raw_real_l2,real_data_sample\l2_unseen_validation\trade_date=2026-08-03\exchange=NSE\symbol=ADANIPORTS\part-034500_616394-000001.parquet,sell_4_quantity,1,1,full top-five market-by-price diagnostic input
unseen_raw_real_l2,real_data_sample\l2_unseen_validation\trade_date=2026-08-03\exchange=NSE\symbol=ADANIPORTS\part-034500_616394-000001.parquet,sell_4_orders,1,1,full top-five market-by-price diagnostic input
