decision_id,decision_value,evidence,status
selected_verdict,P423_PAIR_SPREAD_POSITIVE_LEAD_FALSIFIED_BY_REALISM_RETEST,Phase418 positive synthetic lead did not survive the precommitted Phase421 realism retest.,terminal_for_this_route
phase422_next_action_matched,interpret_phase422_pair_spread_realism_retest_no_paper_live,Phase423 implements the Phase422 next-action string.,basis
synthetic_raw_selections_before_forward_filter,807,Synthetic signal opportunities existed before realism filtering.,evidence
synthetic_selections_after_forward_filter,0,No synthetic trades survived the 250 ms forward-time filter.,falsification
synthetic_primary_completed_round_trips,0,Synthetic primary after realism filter.,falsification
synthetic_primary_annualized_return_pct,0.0,"Annualized return uses fixed INR 1,000,000 capital.",falsification
full_depth_unique_gate_passed,0,Full-depth L2-L5 edge did not beat the removed-depth control by the required margin.,falsification
forward_tick_exact_gate_passed,0,"Exact post-entry aligned tick indexing was not available, so the tick-count rule remains failed/proxy-only.",caveat
real_anchor_raw_selections_before_forward_filter,606,Real-anchor pair panel was active.,real_anchor
real_anchor_selections_after_forward_filter,593,Real-anchor trades survived timing filter.,real_anchor
real_anchor_primary_completed_round_trips,139,Real-anchor primary completed round trips.,real_anchor_negative
real_anchor_primary_trade_dates,5,Real-anchor date breadth.,real_anchor_negative
real_anchor_primary_pairs,4,Real-anchor pair breadth.,real_anchor_negative
real_anchor_primary_net_pnl_inr,-31111.796714634984,Real-anchor cost200 net P&L.,real_anchor_negative
real_anchor_primary_annualized_return_pct,-156.80345544176032,Real-anchor fixed-capital annualized return.,real_anchor_negative
same_family_tuning_allowed,0,Do not tune the same pair-spread convergence route after realism falsification.,closed
strategy_promotion_allowed,0,No accepted survivor.,closed
paper_or_live_acceptance_allowed,0,No paper/live acceptance.,closed
deployable_profitability_claim_allowed,0,No deployable claim.,closed
next_action,stop_pair_spread_convergence_route_or_precommit_material_new_full_depth_source,Move to a materially new full-depth source if strategy search continues.,next
