trade_month,symbol,rows_checked,min_timestamp_value,max_timestamp_value,min_delta_value,median_delta_value,median_positive_delta_value,p01_positive_delta_value,p99_positive_delta_value,positive_delta_count,inferred_timestamp_unit,source_path,unit_contract_pass
2026-01,ADANIPORTS,250000,1784020550.0,1784044483.0,-23933.0,1.0,1.0,1.0,1.0,249873.0,seconds_in_ms_named_column,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=ADANIPORTS\part-00000.parquet,True
2026-01,AXISBANK,250000,1784020500.0,1784044983.0,-24433.0,1.0,1.0,1.0,1.0,249873.0,seconds_in_ms_named_column,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=AXISBANK\part-00000.parquet,True
2026-01,BAJAJ-AUTO,250000,1784020500.0,1784049983.0,-29433.0,1.0,1.0,1.0,1.0,249875.0,seconds_in_ms_named_column,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=BAJAJ-AUTO\part-00000.parquet,True
2026-01,BANKBEES,250000,1784020500.0,1784051483.0,-30933.0,1.0,1.0,1.0,1.0,249875.0,seconds_in_ms_named_column,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=BANKBEES\part-00000.parquet,True
2026-01,BHARTIARTL,250000,1784020500.0,1784050483.0,-29933.0,1.0,1.0,1.0,1.0,249875.0,seconds_in_ms_named_column,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=BHARTIARTL\part-00000.parquet,True
2026-01,BPCL,250000,1784020500.0,1784055483.0,-34933.0,1.0,1.0,1.0,1.0,249876.0,seconds_in_ms_named_column,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=BPCL\part-00000.parquet,True
2026-01,BRITANNIA,250000,1784020500.0,1784046983.0,-26383.0,1.0,1.0,1.0,1.0,249873.0,seconds_in_ms_named_column,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=BRITANNIA\part-00000.parquet,True
2026-01,CIPLA,250000,1784020500.0,1784045483.0,-24933.0,1.0,1.0,1.0,1.0,249873.0,seconds_in_ms_named_column,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=CIPLA\part-00000.parquet,True
2026-01,DRREDDY,250000,1784020500.0,1784044983.0,-24433.0,1.0,1.0,1.0,1.0,249873.0,seconds_in_ms_named_column,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=DRREDDY\part-00000.parquet,True
2026-01,GOLDBEES,250000,1784020500.0,1784044983.0,-24483.0,1.0,1.0,1.0,1.0,249873.0,seconds_in_ms_named_column,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=GOLDBEES\part-00000.parquet,True
2026-01,HCLTECH,250000,1784020500.0,1784055483.0,-34983.0,1.0,1.0,1.0,1.0,249876.0,seconds_in_ms_named_column,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=HCLTECH\part-00000.parquet,True
