metric,value,description
phase466_predictive_model_failure_interpretation_complete,1,Phase466 interpretation completed
phase466_thesis_id,P466_PREDICTIVE_MODEL_FAILURE_INTERPRETATION,Interpretation thesis
phase466_selected_verdict,P466_WEAK_PREDICTIVE_SMELL_NOT_REPLAYABLE,Selected verdict
phase466_score_to_signal_replay_allowed,0,No replay from Phase465 model
phase466_same_five_feature_model_rescue_allowed,0,No same-model rescue
phase466_richer_past_only_feature_precommit_allowed,1,Allows Phase467 precommit only
phase466_strategy_pnl_generated,0,No strategy P&L
phase466_strategy_promotion_allowed,0,No promotion
phase466_paper_or_live_acceptance_allowed,0,No paper/live
phase466_deployable_profitability_claim_allowed,0,No deployable claim
phase466_hard_gate_pass_rows,9,Passed hard gates
phase466_hard_gate_rows,9,Hard gates
phase466_next_best_action,precommit_phase467_richer_past_only_l1_l5_feature_matrix_before_any_replay,Recommended next action
