column,dtype
collector_run_id,str
session_id,str
callback_batch_id,int64
local_sequence_id,int64
callback_received_utc_ms,int64
callback_received_monotonic_ns,int64
exchange_timestamp_ms,int64
last_trade_time_ms,int64
trade_date,str
exchange,str
symbol,str
instrument_token,int64
feed_profile,str
annual_event_id,int64
receive_sequence,int64
source_sequence,int64
regime_code,str
last_price,float64
last_traded_quantity,int64
volume_traded,int64
average_traded_price,float64
total_buy_quantity,int64
total_sell_quantity,int64
oi,int64
oi_day_high,int64
oi_day_low,int64
is_market_shock_day,bool
is_symbol_shock,bool
is_duplicate,bool
is_disconnect_gap,bool
is_out_of_order_injected,bool
buy_1_price,float64
buy_1_quantity,int64
buy_1_orders,int64
sell_1_price,float64
sell_1_quantity,int64
sell_1_orders,int64
buy_2_price,float64
buy_2_quantity,int64
buy_2_orders,int64
sell_2_price,float64
sell_2_quantity,int64
sell_2_orders,int64
buy_3_price,float64
buy_3_quantity,int64
buy_3_orders,int64
sell_3_price,float64
sell_3_quantity,int64
sell_3_orders,int64
buy_4_price,float64
buy_4_quantity,int64
buy_4_orders,int64
sell_4_price,float64
sell_4_quantity,int64
sell_4_orders,int64
buy_5_price,float64
buy_5_quantity,int64
buy_5_orders,int64
sell_5_price,float64
sell_5_quantity,int64
sell_5_orders,int64
