strategy_id,transition_type,side,spread_bucket,spread_change_bucket,recent_return_bucket,shard_symbol_label_rows,symbols,trade_dates,signal_rows,mean_gross_bps,median_gross_bps,mean_after_cost_bps,mean_cost_clearing_rate,mean_adverse_direction_rate,worst_gross_bps,best_gross_bps,mean_spread_bps,mean_spread_change_bps,mean_abs_recent_return_bps,mean_cost_bps,label_candidate
P69_SPREAD_TRANSITION_FADE,compression,-1,S01_le_1bp,C01_lt_1bp,R04_ge_10bp,6,2,5,7950,0.0,-0.0,-10.066955534890022,0.0,1.0,-0.0,-0.0,0.8658903565933426,-0.002022148789946087,23.51626006074973,10.066955534890022,False
P69_SPREAD_TRANSITION_MOMENTUM,compression,1,S01_le_1bp,C01_lt_1bp,R04_ge_10bp,6,2,5,7950,0.0,0.0,-10.066955534890022,0.0,1.0,0.0,0.0,0.8658903565933423,-0.0020221487899460947,23.516260060749758,10.066955534890022,False
P69_SPREAD_TRANSITION_MOMENTUM,expansion,-1,S01_le_1bp,C01_lt_1bp,R04_ge_10bp,6,2,5,6200,0.0,-0.0,-10.069705542212231,0.0,1.0,-0.0,-0.0,0.8677236948081618,0.002284226145398947,26.535343790392137,10.069705542212231,False
P69_SPREAD_TRANSITION_FADE,expansion,1,S01_le_1bp,C01_lt_1bp,R04_ge_10bp,6,2,5,6200,0.0,0.0,-10.069705542212246,0.0,1.0,0.0,0.0,0.8677236948081636,0.002284226145398949,26.535343790392062,10.069705542212246,False
P69_SPREAD_TRANSITION_MOMENTUM,expansion,-1,S02_1_2p5bp,C01_lt_1bp,R03_5_10bp,103,24,5,57750,0.0,-0.0,-11.403258257248751,0.0,1.0,-0.0,-0.0,1.7567588381658363,0.001398441799359822,8.075661941398527,11.403258257248751,False
P69_SPREAD_TRANSITION_FADE,expansion,1,S02_1_2p5bp,C01_lt_1bp,R03_5_10bp,103,24,5,57750,0.0,0.0,-11.403258257248753,0.0,1.0,0.0,0.0,1.7567588381658363,0.001398441799359822,8.075661941398527,11.403258257248753,False
P69_SPREAD_TRANSITION_FADE,expansion,1,S02_1_2p5bp,C01_lt_1bp,R04_ge_10bp,103,24,5,153000,0.0,0.0,-11.404391712400058,0.0,1.0,0.0,0.0,1.7575144749333718,0.005063401086658575,28.78769442677351,11.404391712400058,False
P69_SPREAD_TRANSITION_MOMENTUM,expansion,-1,S02_1_2p5bp,C01_lt_1bp,R04_ge_10bp,103,24,5,153000,0.0,-0.0,-11.40439171240006,0.0,1.0,-0.0,-0.0,1.7575144749333722,0.005063401086658576,28.78769442677351,11.40439171240006,False
P69_SPREAD_TRANSITION_MOMENTUM,compression,1,S02_1_2p5bp,C01_lt_1bp,R04_ge_10bp,104,25,6,183400,0.0,0.0,-11.408730146439925,0.0,1.0,0.0,0.0,1.7604067642932848,-0.004757841820234652,26.907028031622264,11.408730146439925,False
P69_SPREAD_TRANSITION_FADE,compression,-1,S02_1_2p5bp,C01_lt_1bp,R04_ge_10bp,104,25,6,183400,0.0,-0.0,-11.408730146439929,0.0,1.0,-0.0,-0.0,1.7604067642932852,-0.004757841820234652,26.907028031622254,11.408730146439929,False
P69_SPREAD_TRANSITION_MOMENTUM,compression,1,S02_1_2p5bp,C01_lt_1bp,R03_5_10bp,101,24,5,50300,0.0,0.0,-11.422110326018316,0.0,1.0,0.0,0.0,1.769326884012212,-0.0013954952295018228,7.983409462627859,11.422110326018316,False
P69_SPREAD_TRANSITION_FADE,compression,-1,S02_1_2p5bp,C01_lt_1bp,R03_5_10bp,101,24,5,50300,0.0,-0.0,-11.42211032601832,0.0,1.0,-0.0,-0.0,1.7693268840122123,-0.0013954952295018228,7.983409462627858,11.42211032601832,False
P69_SPREAD_TRANSITION_FADE,compression,-1,S02_1_2p5bp,C01_lt_1bp,R02_2p5_5bp,14,7,4,2450,0.0,-0.0,-12.231191069890636,0.0,1.0,-0.0,-0.0,2.3087140465937566,-0.001081830342478184,4.697070029017439,12.231191069890636,False
P69_SPREAD_TRANSITION_MOMENTUM,compression,1,S02_1_2p5bp,C01_lt_1bp,R02_2p5_5bp,14,7,4,2450,0.0,0.0,-12.23119106989064,0.0,1.0,0.0,0.0,2.3087140465937575,-0.001081830342478184,4.697070029017438,12.23119106989064,False
P69_SPREAD_TRANSITION_FADE,expansion,1,S02_1_2p5bp,C01_lt_1bp,R02_2p5_5bp,15,7,5,2350,0.0,0.0,-12.251213819056685,0.0,1.0,0.0,0.0,2.3220625460377895,0.0010842413525012837,4.681219123333821,12.251213819056685,False
P69_SPREAD_TRANSITION_MOMENTUM,expansion,-1,S02_1_2p5bp,C01_lt_1bp,R02_2p5_5bp,15,7,5,2350,0.0,-0.0,-12.251213819056685,0.0,1.0,-0.0,-0.0,2.3220625460377886,0.0010842413525012837,4.681219123333823,12.251213819056685,False
P69_SPREAD_TRANSITION_MOMENTUM,expansion,-1,S03_2p5_5bp,C01_lt_1bp,R02_2p5_5bp,64,25,6,13850,0.0,-0.0,-13.757362446943262,0.0,1.0,-0.0,-0.0,3.326161631295509,0.0013514641997291342,4.0854675761712755,13.757362446943262,False
P69_SPREAD_TRANSITION_FADE,expansion,1,S03_2p5_5bp,C01_lt_1bp,R02_2p5_5bp,64,25,6,13850,0.0,0.0,-13.757362446943263,0.0,1.0,0.0,0.0,3.3261616312955096,0.0013514641997291342,4.085467576171276,13.757362446943263,False
P69_SPREAD_TRANSITION_MOMENTUM,expansion,-1,S03_2p5_5bp,C01_lt_1bp,R03_5_10bp,75,30,6,39650,0.0,-0.0,-13.761512877031498,0.0,1.0,-0.0,-0.0,3.3289285846876653,0.002412656320158833,7.2577017563011985,13.761512877031498,False
P69_SPREAD_TRANSITION_FADE,expansion,1,S03_2p5_5bp,C01_lt_1bp,R03_5_10bp,75,30,6,39650,0.0,0.0,-13.7615128770315,0.0,1.0,0.0,0.0,3.328928584687665,0.002412656320158833,7.2577017563011985,13.7615128770315,False
P69_SPREAD_TRANSITION_MOMENTUM,compression,1,S03_2p5_5bp,C01_lt_1bp,R04_ge_10bp,77,31,6,166750,0.0,0.0,-13.795264134248074,0.0,1.0,0.0,0.0,3.3514294228320565,-0.011666868341422078,33.44109457568082,13.795264134248074,False
P69_SPREAD_TRANSITION_FADE,compression,-1,S03_2p5_5bp,C01_lt_1bp,R04_ge_10bp,77,31,6,166750,0.0,-0.0,-13.795264134248086,0.0,1.0,-0.0,-0.0,3.3514294228320565,-0.01166686834142208,33.4410945756808,13.795264134248086,False
P69_SPREAD_TRANSITION_FADE,compression,-1,S03_2p5_5bp,C01_lt_1bp,R03_5_10bp,76,30,6,38500,0.0,-0.0,-13.795854862098466,0.0,1.0,-0.0,-0.0,3.3518232413989786,-0.0025037349144810092,7.444999448429319,13.795854862098466,False
P69_SPREAD_TRANSITION_MOMENTUM,compression,1,S03_2p5_5bp,C01_lt_1bp,R03_5_10bp,76,30,6,38500,0.0,0.0,-13.795854862098466,0.0,1.0,0.0,0.0,3.35182324139898,-0.0025037349144810092,7.444999448429319,13.795854862098466,False
P69_SPREAD_TRANSITION_MOMENTUM,expansion,-1,S03_2p5_5bp,C01_lt_1bp,R04_ge_10bp,77,31,6,134050,0.0,-0.0,-13.808272400270246,0.0,1.0,-0.0,-0.0,3.3601016001801653,0.013223566434346766,37.62728052050719,13.808272400270246,False
P69_SPREAD_TRANSITION_FADE,expansion,1,S03_2p5_5bp,C01_lt_1bp,R04_ge_10bp,77,31,6,134050,0.0,0.0,-13.808272400270251,0.0,1.0,0.0,0.0,3.3601016001801662,0.013223566434346768,37.62728052050721,13.808272400270251,False
P69_SPREAD_TRANSITION_FADE,compression,-1,S03_2p5_5bp,C01_lt_1bp,R02_2p5_5bp,60,23,6,12300,0.0,-0.0,-13.824952886803992,0.0,1.0,-0.0,-0.0,3.3712219245359942,-0.0013925153794115742,4.138875459926201,13.824952886803992,False
P69_SPREAD_TRANSITION_MOMENTUM,compression,1,S03_2p5_5bp,C01_lt_1bp,R02_2p5_5bp,60,23,6,12300,0.0,0.0,-13.824952886803992,0.0,1.0,0.0,0.0,3.371221924535994,-0.0013925153794115742,4.138875459926202,13.824952886803992,False
P69_SPREAD_TRANSITION_MOMENTUM,expansion,-1,S03_2p5_5bp,C01_lt_1bp,R01_0p25_2p5bp,2,2,1,150,0.0,-0.0,-15.959667943091372,0.0,1.0,-0.0,-0.0,4.794365295394267,0.0011491416060209758,2.396608076893349,15.959667943091372,False
P69_SPREAD_TRANSITION_FADE,expansion,1,S03_2p5_5bp,C01_lt_1bp,R01_0p25_2p5bp,2,2,1,150,0.0,0.0,-15.959667943091379,0.0,1.0,0.0,0.0,4.794365295394266,0.0011491416060209758,2.396608076893349,15.959667943091379,False
P69_SPREAD_TRANSITION_MOMENTUM,compression,1,S03_2p5_5bp,C01_lt_1bp,R01_0p25_2p5bp,2,2,1,200,0.0,0.0,-16.076188409023178,0.0,1.0,0.0,0.0,4.8720456060154635,-0.001187885638722038,2.436616745827476,16.076188409023178,False
P69_SPREAD_TRANSITION_FADE,compression,-1,S03_2p5_5bp,C01_lt_1bp,R01_0p25_2p5bp,2,2,1,200,0.0,-0.0,-16.076188409023185,0.0,1.0,-0.0,-0.0,4.872045606015462,-0.001187885638722038,2.436616745827476,16.076188409023185,False
P69_SPREAD_TRANSITION_FADE,expansion,1,S04_gt_5bp,C01_lt_1bp,R02_2p5_5bp,5,5,1,450,0.0,0.0,-16.902414223624298,0.0,1.0,0.0,0.0,5.42286281574953,0.0018869024495263176,3.50186758542781,16.902414223624298,False
P69_SPREAD_TRANSITION_MOMENTUM,expansion,-1,S04_gt_5bp,C01_lt_1bp,R02_2p5_5bp,5,5,1,450,0.0,-0.0,-16.902414223624298,0.0,1.0,-0.0,-0.0,5.42286281574953,0.0018869024495263176,3.50186758542781,16.902414223624298,False
P69_SPREAD_TRANSITION_FADE,compression,-1,S04_gt_5bp,C01_lt_1bp,R04_ge_10bp,7,7,1,19150,0.0,-0.0,-17.0339140139908,0.0,1.0,-0.0,-0.0,5.510529342660539,-0.021911092370928524,39.798816772181986,17.0339140139908,False
P69_SPREAD_TRANSITION_MOMENTUM,compression,1,S04_gt_5bp,C01_lt_1bp,R04_ge_10bp,7,7,1,19150,0.0,0.0,-17.0339140139908,0.0,1.0,0.0,0.0,5.510529342660544,-0.021911092370928514,39.79881677218192,17.0339140139908,False
P69_SPREAD_TRANSITION_FADE,expansion,1,S04_gt_5bp,C01_lt_1bp,R03_5_10bp,7,7,1,2850,0.0,0.0,-17.034050779137022,0.0,1.0,0.0,0.0,5.510620519424678,0.003981771383526531,7.197524028839988,17.034050779137022,False
P69_SPREAD_TRANSITION_MOMENTUM,expansion,-1,S04_gt_5bp,C01_lt_1bp,R03_5_10bp,7,7,1,2850,0.0,-0.0,-17.034050779137022,0.0,1.0,-0.0,-0.0,5.510620519424678,0.003981771383526531,7.197524028839987,17.034050779137022,False
P69_SPREAD_TRANSITION_FADE,compression,-1,S04_gt_5bp,C01_lt_1bp,R03_5_10bp,7,7,1,1900,0.0,-0.0,-17.046601465439217,0.0,1.0,-0.0,-0.0,5.518987643626139,-0.004083864563991843,7.420611037185071,17.046601465439217,False
P69_SPREAD_TRANSITION_MOMENTUM,compression,1,S04_gt_5bp,C01_lt_1bp,R03_5_10bp,7,7,1,1900,0.0,0.0,-17.046601465439217,0.0,1.0,0.0,0.0,5.518987643626138,-0.004083864563991843,7.420611037185069,17.046601465439217,False
P69_SPREAD_TRANSITION_FADE,expansion,1,S04_gt_5bp,C01_lt_1bp,R04_ge_10bp,7,7,1,14250,0.0,0.0,-17.055458411637233,0.0,1.0,0.0,0.0,5.52489227442483,0.02962569796195404,53.59500341363876,17.055458411637233,False
P69_SPREAD_TRANSITION_MOMENTUM,expansion,-1,S04_gt_5bp,C01_lt_1bp,R04_ge_10bp,7,7,1,14250,0.0,-0.0,-17.055458411637236,0.0,1.0,-0.0,-0.0,5.524892274424831,0.02962569796195405,53.59500341363877,17.055458411637236,False
