symbol,strategy_id,transition_type,side,shard_symbol_label_rows,symbols,trade_dates,signal_rows,mean_gross_bps,median_gross_bps,mean_after_cost_bps,mean_cost_clearing_rate,mean_adverse_direction_rate,worst_gross_bps,best_gross_bps,mean_spread_bps,mean_spread_change_bps,mean_abs_recent_return_bps,mean_cost_bps,label_candidate
GOLDBEES,P69_SPREAD_TRANSITION_FADE,compression,-1,8,1,6,10250,0.0,-0.0,-10.98217569762869,0.0,1.0,-0.0,-0.0,1.47603713175246,-0.004808429259832587,29.51517883548588,10.98217569762869,False
GOLDBEES,P69_SPREAD_TRANSITION_MOMENTUM,compression,1,8,1,6,10250,0.0,0.0,-10.982175697628701,0.0,1.0,0.0,0.0,1.4760371317524588,-0.004808429259832593,29.515178835485898,10.982175697628701,False
GOLDBEES,P69_SPREAD_TRANSITION_MOMENTUM,expansion,-1,8,1,6,8000,0.0,-0.0,-10.991424078004114,0.0,1.0,-0.0,-0.0,1.4822027186694162,0.003414154471265332,25.45036841350055,10.991424078004114,False
GOLDBEES,P69_SPREAD_TRANSITION_FADE,expansion,1,8,1,6,8000,0.0,0.0,-10.991424078004117,0.0,1.0,0.0,0.0,1.4822027186694169,0.0034141544712653336,25.450368413500488,10.991424078004117,False
HDFCBANK,P69_SPREAD_TRANSITION_MOMENTUM,compression,1,11,1,6,14200,0.0,0.0,-11.057184963399694,0.0,1.0,0.0,0.0,1.5260433089331402,-0.0033307816378783856,21.110604284063058,11.057184963399694,False
HDFCBANK,P69_SPREAD_TRANSITION_FADE,compression,-1,11,1,6,14200,0.0,-0.0,-11.057184963399704,0.0,1.0,-0.0,-0.0,1.5260433089331407,-0.003330781637878384,21.110604284063058,11.057184963399704,False
LT,P69_SPREAD_TRANSITION_FADE,expansion,1,12,1,6,11100,0.0,0.0,-11.156066757304886,0.0,1.0,0.0,0.0,1.5919645048699314,0.004042181785799821,22.15735325713356,11.156066757304886,False
LT,P69_SPREAD_TRANSITION_MOMENTUM,expansion,-1,12,1,6,11100,0.0,-0.0,-11.15606675730489,0.0,1.0,-0.0,-0.0,1.5919645048699322,0.004042181785799826,22.15735325713359,11.15606675730489,False
HDFCBANK,P69_SPREAD_TRANSITION_FADE,expansion,1,13,1,6,11550,0.0,0.0,-11.19658932516962,0.0,1.0,0.0,0.0,1.6189795501130841,0.003472366074009455,21.11250125961709,11.19658932516962,False
HDFCBANK,P69_SPREAD_TRANSITION_MOMENTUM,expansion,-1,13,1,6,11550,0.0,-0.0,-11.196589325169624,0.0,1.0,-0.0,-0.0,1.6189795501130837,0.0034723660740094498,21.112501259617115,11.196589325169624,False
M&M,P69_SPREAD_TRANSITION_MOMENTUM,compression,1,11,1,6,13550,0.0,0.0,-11.202027529277377,0.0,1.0,0.0,0.0,1.622605019518266,-0.00349765796984749,19.803926373075992,11.202027529277377,False
