trade_date,exchange,symbol,source_1s_rows,raw_parquet_files
2026-07-20,NSE,ADANIPORTS,9314,1576
2026-07-20,NSE,AXISBANK,16839,1576
2026-07-20,NSE,BAJAJ-AUTO,14581,1576
2026-07-20,NSE,BANKBEES,14791,1576
2026-07-20,NSE,BHARTIARTL,11201,1576
2026-07-20,NSE,BPCL,8951,1575
2026-07-20,NSE,BRITANNIA,6334,1574
2026-07-20,NSE,CIPLA,9715,1576
2026-07-20,NSE,DRREDDY,9333,1576
2026-07-20,NSE,GOLDBEES,8980,1576
2026-07-20,NSE,HCLTECH,10692,1575
2026-07-20,NSE,HDFCBANK,16945,1576
2026-07-20,NSE,HINDUNILVR,9384,1575
2026-07-20,NSE,ICICIBANK,16595,1576
2026-07-20,NSE,INFY,16128,1576
2026-07-20,NSE,ITBEES,7096,1576
2026-07-20,NSE,ITC,15980,1576
2026-07-20,NSE,JUNIORBEES,14697,1576
2026-07-20,NSE,KOTAKBANK,15298,1576
2026-07-20,NSE,LT,13355,1576
2026-07-20,NSE,M&M,13011,1576
2026-07-20,NSE,MARUTI,12555,1576
2026-07-20,NSE,NESTLEIND,9712,1576
2026-07-20,NSE,NIFTYBEES,14280,1576
2026-07-20,NSE,ONGC,9894,1576
2026-07-20,NSE,RELIANCE,15592,1575
2026-07-20,NSE,SBIN,15329,1575
2026-07-20,NSE,SUNPHARMA,9766,1575
2026-07-20,NSE,TCS,14439,1575
2026-07-20,NSE,TECHM,9889,1575
2026-07-20,NSE,ULTRACEMCO,11848,1575
2026-07-20,NSE,WIPRO,9095,1576
