trade_date,exchange,symbol,remote_path,local_path,remote_size
2026-07-20,NSE,ADANIPORTS,raw_l2/trade_date=2026-07-20/exchange=NSE/symbol=ADANIPORTS/part-034500_938067-000001.parquet,real_data_sample\l2_unseen_validation\trade_date=2026-07-20\exchange=NSE\symbol=ADANIPORTS\part-034500_938067-000001.parquet,34112
2026-07-20,NSE,ADANIPORTS,raw_l2/trade_date=2026-07-20/exchange=NSE/symbol=ADANIPORTS/part-034515_877922-000033.parquet,real_data_sample\l2_unseen_validation\trade_date=2026-07-20\exchange=NSE\symbol=ADANIPORTS\part-034515_877922-000033.parquet,34241
2026-07-20,NSE,ADANIPORTS,raw_l2/trade_date=2026-07-20/exchange=NSE/symbol=ADANIPORTS/part-034530_131506-000065.parquet,real_data_sample\l2_unseen_validation\trade_date=2026-07-20\exchange=NSE\symbol=ADANIPORTS\part-034530_131506-000065.parquet,34496
2026-07-20,NSE,ADANIPORTS,raw_l2/trade_date=2026-07-20/exchange=NSE/symbol=ADANIPORTS/part-034544_128039-000097.parquet,real_data_sample\l2_unseen_validation\trade_date=2026-07-20\exchange=NSE\symbol=ADANIPORTS\part-034544_128039-000097.parquet,35721
2026-07-20,NSE,ADANIPORTS,raw_l2/trade_date=2026-07-20/exchange=NSE/symbol=ADANIPORTS/part-034558_379427-000129.parquet,real_data_sample\l2_unseen_validation\trade_date=2026-07-20\exchange=NSE\symbol=ADANIPORTS\part-034558_379427-000129.parquet,36022
2026-07-20,NSE,ADANIPORTS,raw_l2/trade_date=2026-07-20/exchange=NSE/symbol=ADANIPORTS/part-034612_878613-000161.parquet,real_data_sample\l2_unseen_validation\trade_date=2026-07-20\exchange=NSE\symbol=ADANIPORTS\part-034612_878613-000161.parquet,36269
2026-07-20,NSE,ADANIPORTS,raw_l2/trade_date=2026-07-20/exchange=NSE/symbol=ADANIPORTS/part-034627_381373-000193.parquet,real_data_sample\l2_unseen_validation\trade_date=2026-07-20\exchange=NSE\symbol=ADANIPORTS\part-034627_381373-000193.parquet,36048
2026-07-20,NSE,ADANIPORTS,raw_l2/trade_date=2026-07-20/exchange=NSE/symbol=ADANIPORTS/part-034641_880508-000225.parquet,real_data_sample\l2_unseen_validation\trade_date=2026-07-20\exchange=NSE\symbol=ADANIPORTS\part-034641_880508-000225.parquet,35505
2026-07-20,NSE,ADANIPORTS,raw_l2/trade_date=2026-07-20/exchange=NSE/symbol=ADANIPORTS/part-034656_128391-000257.parquet,real_data_sample\l2_unseen_validation\trade_date=2026-07-20\exchange=NSE\symbol=ADANIPORTS\part-034656_128391-000257.parquet,34481
2026-07-20,NSE,ADANIPORTS,raw_l2/trade_date=2026-07-20/exchange=NSE/symbol=ADANIPORTS/part-034710_630865-000289.parquet,real_data_sample\l2_unseen_validation\trade_date=2026-07-20\exchange=NSE\symbol=ADANIPORTS\part-034710_630865-000289.parquet,34441
2026-07-20,NSE,ADANIPORTS,raw_l2/trade_date=2026-07-20/exchange=NSE/symbol=ADANIPORTS/part-034725_128007-000321.parquet,real_data_sample\l2_unseen_validation\trade_date=2026-07-20\exchange=NSE\symbol=ADANIPORTS\part-034725_128007-000321.parquet,34694
2026-07-20,NSE,ADANIPORTS,raw_l2/trade_date=2026-07-20/exchange=NSE/symbol=ADANIPORTS/part-034739_630730-000353.parquet,real_data_sample\l2_unseen_validation\trade_date=2026-07-20\exchange=NSE\symbol=ADANIPORTS\part-034739_630730-000353.parquet,34496
2026-07-20,NSE,ADANIPORTS,raw_l2/trade_date=2026-07-20/exchange=NSE/symbol=ADANIPORTS/part-034754_379026-000385.parquet,real_data_sample\l2_unseen_validation\trade_date=2026-07-20\exchange=NSE\symbol=ADANIPORTS\part-034754_379026-000385.parquet,34472
2026-07-20,NSE,ADANIPORTS,raw_l2/trade_date=2026-07-20/exchange=NSE/symbol=ADANIPORTS/part-034808_879717-000417.parquet,real_data_sample\l2_unseen_validation\trade_date=2026-07-20\exchange=NSE\symbol=ADANIPORTS\part-034808_879717-000417.parquet,34471
2026-07-20,NSE,ADANIPORTS,raw_l2/trade_date=2026-07-20/exchange=NSE/symbol=ADANIPORTS/part-034823_132009-000449.parquet,real_data_sample\l2_unseen_validation\trade_date=2026-07-20\exchange=NSE\symbol=ADANIPORTS\part-034823_132009-000449.parquet,34712
2026-07-20,NSE,ADANIPORTS,raw_l2/trade_date=2026-07-20/exchange=NSE/symbol=ADANIPORTS/part-034837_632647-000481.parquet,real_data_sample\l2_unseen_validation\trade_date=2026-07-20\exchange=NSE\symbol=ADANIPORTS\part-034837_632647-000481.parquet,34180
2026-07-20,NSE,ADANIPORTS,raw_l2/trade_date=2026-07-20/exchange=NSE/symbol=ADANIPORTS/part-034851_885082-000513.parquet,real_data_sample\l2_unseen_validation\trade_date=2026-07-20\exchange=NSE\symbol=ADANIPORTS\part-034851_885082-000513.parquet,34496
2026-07-20,NSE,ADANIPORTS,raw_l2/trade_date=2026-07-20/exchange=NSE/symbol=ADANIPORTS/part-034906_632050-000545.parquet,real_data_sample\l2_unseen_validation\trade_date=2026-07-20\exchange=NSE\symbol=ADANIPORTS\part-034906_632050-000545.parquet,34472
2026-07-20,NSE,ADANIPORTS,raw_l2/trade_date=2026-07-20/exchange=NSE/symbol=ADANIPORTS/part-034921_132443-000577.parquet,real_data_sample\l2_unseen_validation\trade_date=2026-07-20\exchange=NSE\symbol=ADANIPORTS\part-034921_132443-000577.parquet,34486
2026-07-20,NSE,ADANIPORTS,raw_l2/trade_date=2026-07-20/exchange=NSE/symbol=ADANIPORTS/part-034935_631874-000609.parquet,real_data_sample\l2_unseen_validation\trade_date=2026-07-20\exchange=NSE\symbol=ADANIPORTS\part-034935_631874-000609.parquet,34721
2026-07-20,NSE,ADANIPORTS,raw_l2/trade_date=2026-07-20/exchange=NSE/symbol=ADANIPORTS/part-034950_131353-000641.parquet,real_data_sample\l2_unseen_validation\trade_date=2026-07-20\exchange=NSE\symbol=ADANIPORTS\part-034950_131353-000641.parquet,34474
2026-07-20,NSE,ADANIPORTS,raw_l2/trade_date=2026-07-20/exchange=NSE/symbol=ADANIPORTS/part-035004_392893-000673.parquet,real_data_sample\l2_unseen_validation\trade_date=2026-07-20\exchange=NSE\symbol=ADANIPORTS\part-035004_392893-000673.parquet,34505
