scenario_id,lane_id,horizon_seconds,signal_quantile,spread_max_quantile,depth_share_min_quantile,top_n_per_event,side_policy,execution_policy,cost_profile,initial_capital_inr,fixed_notional_inr,max_concurrent_positions,scheduled_event_rows,symbol_rows,observed_trade_dates,trade_rows,net_pnl_inr,annualized_return_pct,side_flip_annualized_return_pct,random_side_annualized_return_pct,control_pass
P335_P334_LANE_D_HORIZON_AND_EXIT_MARGIN_SQ0p750_SPQ1p000_DSQ0p500_TOP2_H900_long_only_taker_entry_taker_exit_CAP250000_NOT100000_CONC2_zerodha_2x_all_in_cost_proxy,P334_LANE_D_HORIZON_AND_EXIT_MARGIN,900,0.75,1.0,0.5,2,long_only,taker_entry_taker_exit,zerodha_2x_all_in_cost_proxy,250000.0,100000.0,2,47,16,47,86,9009.797425866827,19.32314001122077,-80.3327850195529,-33.13407795974112,1
P335_P334_LANE_D_HORIZON_AND_EXIT_MARGIN_SQ0p750_SPQ1p000_DSQ0p500_TOP2_H900_long_only_taker_entry_taker_exit_CAP250000_NOT100000_CONC4_zerodha_2x_all_in_cost_proxy,P334_LANE_D_HORIZON_AND_EXIT_MARGIN,900,0.75,1.0,0.5,2,long_only,taker_entry_taker_exit,zerodha_2x_all_in_cost_proxy,250000.0,100000.0,4,47,16,47,86,9009.797425866827,19.32314001122077,-80.3327850195529,-33.13407795974112,1
P335_P334_LANE_D_HORIZON_AND_EXIT_MARGIN_SQ0p750_SPQ1p000_DSQ0p500_TOP4_H900_long_only_taker_entry_taker_exit_CAP250000_NOT100000_CONC2_zerodha_2x_all_in_cost_proxy,P334_LANE_D_HORIZON_AND_EXIT_MARGIN,900,0.75,1.0,0.5,4,long_only,taker_entry_taker_exit,zerodha_2x_all_in_cost_proxy,250000.0,100000.0,2,47,16,47,86,9009.797425866827,19.32314001122077,-80.3327850195529,-33.13407795974112,1
P335_P334_LANE_D_HORIZON_AND_EXIT_MARGIN_SQ0p750_SPQ1p000_DSQ0p500_TOP4_H900_long_only_taker_entry_taker_exit_CAP250000_NOT100000_CONC4_zerodha_2x_all_in_cost_proxy,P334_LANE_D_HORIZON_AND_EXIT_MARGIN,900,0.75,1.0,0.5,4,long_only,taker_entry_taker_exit,zerodha_2x_all_in_cost_proxy,250000.0,100000.0,4,47,16,47,86,9009.797425866827,19.32314001122077,-80.3327850195529,-33.13407795974112,1
P335_P334_LANE_C_SPREAD_AND_BOOK_QUALITY_MARGIN_SQ0p500_SPQ0p350_DSQ0p500_TOP3_H1800_long_only_taker_entry_taker_exit_CAP100000_NOT100000_CONC1_zerodha_2x_all_in_cost_proxy,P334_LANE_C_SPREAD_AND_BOOK_QUALITY_MARGIN,1800,0.5,0.35,0.5,3,long_only,taker_entry_taker_exit,zerodha_2x_all_in_cost_proxy,100000.0,100000.0,1,45,9,45,45,2695.40069373809,15.094243884933306,-98.44820894190019,-71.93174488395029,1
P335_P334_LANE_C_SPREAD_AND_BOOK_QUALITY_MARGIN_SQ0p500_SPQ0p350_DSQ0p500_TOP3_H1800_long_only_taker_entry_taker_exit_CAP100000_NOT100000_CONC2_zerodha_2x_all_in_cost_proxy,P334_LANE_C_SPREAD_AND_BOOK_QUALITY_MARGIN,1800,0.5,0.35,0.5,3,long_only,taker_entry_taker_exit,zerodha_2x_all_in_cost_proxy,100000.0,100000.0,2,45,9,45,45,2695.40069373809,15.094243884933306,-98.44820894190019,-71.93174488395029,1
P335_P334_LANE_C_SPREAD_AND_BOOK_QUALITY_MARGIN_SQ0p500_SPQ0p350_DSQ0p500_TOP3_H1800_long_only_taker_entry_taker_exit_CAP100000_NOT100000_CONC4_zerodha_2x_all_in_cost_proxy,P334_LANE_C_SPREAD_AND_BOOK_QUALITY_MARGIN,1800,0.5,0.35,0.5,3,long_only,taker_entry_taker_exit,zerodha_2x_all_in_cost_proxy,100000.0,100000.0,4,45,9,45,45,2695.40069373809,15.094243884933306,-98.44820894190019,-71.93174488395029,1
P335_P334_LANE_C_SPREAD_AND_BOOK_QUALITY_MARGIN_SQ0p500_SPQ0p350_DSQ0p500_TOP4_H1800_long_only_taker_entry_taker_exit_CAP100000_NOT100000_CONC1_zerodha_2x_all_in_cost_proxy,P334_LANE_C_SPREAD_AND_BOOK_QUALITY_MARGIN,1800,0.5,0.35,0.5,4,long_only,taker_entry_taker_exit,zerodha_2x_all_in_cost_proxy,100000.0,100000.0,1,45,9,45,45,2695.40069373809,15.094243884933306,-98.44820894190019,-71.93174488395029,1
P335_P334_LANE_C_SPREAD_AND_BOOK_QUALITY_MARGIN_SQ0p500_SPQ0p350_DSQ0p500_TOP4_H1800_long_only_taker_entry_taker_exit_CAP100000_NOT100000_CONC2_zerodha_2x_all_in_cost_proxy,P334_LANE_C_SPREAD_AND_BOOK_QUALITY_MARGIN,1800,0.5,0.35,0.5,4,long_only,taker_entry_taker_exit,zerodha_2x_all_in_cost_proxy,100000.0,100000.0,2,45,9,45,45,2695.40069373809,15.094243884933306,-98.44820894190019,-71.93174488395029,1
P335_P334_LANE_C_SPREAD_AND_BOOK_QUALITY_MARGIN_SQ0p500_SPQ0p350_DSQ0p500_TOP4_H1800_long_only_taker_entry_taker_exit_CAP100000_NOT100000_CONC4_zerodha_2x_all_in_cost_proxy,P334_LANE_C_SPREAD_AND_BOOK_QUALITY_MARGIN,1800,0.5,0.35,0.5,4,long_only,taker_entry_taker_exit,zerodha_2x_all_in_cost_proxy,100000.0,100000.0,4,45,9,45,45,2695.40069373809,15.094243884933306,-98.44820894190019,-71.93174488395029,1
