strategy_id,strategy_support_level,strategy_role,m06_rows,holdout_rerun_rows,quality_gate_rows,feed_imperfection_rows,pessimistic_execution_rows,artifact_control_rows,acceptance_met_rows,first_required_action,realism_rerun_contract_status
S01,runnable_proxy,priority,1,1,0,0,0,0,0,Run strategy on holdout-generator profiles and compare against development/calibration results with leakage checks.,proxy_or_support_blocked_not_acceptance
S02,runnable_proxy,priority,1,1,0,0,0,0,0,Run strategy on holdout-generator profiles and compare against development/calibration results with leakage checks.,proxy_or_support_blocked_not_acceptance
S03,partial_missing_required_features,priority,7,2,1,1,1,1,0,Run strategy on holdout-generator profiles and compare against development/calibration results with leakage checks.,proxy_or_support_blocked_not_acceptance
S04,partial_missing_required_features,priority,7,2,1,1,1,1,0,Run strategy on holdout-generator profiles and compare against development/calibration results with leakage checks.,proxy_or_support_blocked_not_acceptance
S05,runnable_proxy,filter,1,1,0,0,0,0,0,Run strategy on holdout-generator profiles and compare against development/calibration results with leakage checks.,proxy_or_support_blocked_not_acceptance
S06,partial_missing_required_features,priority,7,2,1,1,1,1,0,Run strategy on holdout-generator profiles and compare against development/calibration results with leakage checks.,proxy_or_support_blocked_not_acceptance
S07,runnable_proxy,priority,1,1,0,0,0,0,0,Run strategy on holdout-generator profiles and compare against development/calibration results with leakage checks.,proxy_or_support_blocked_not_acceptance
S08,partial_missing_required_features,research,7,2,1,1,1,1,0,Run strategy on holdout-generator profiles and compare against development/calibration results with leakage checks.,proxy_or_support_blocked_not_acceptance
S09,runnable_proxy,benchmark,1,1,0,0,0,0,0,Run strategy on holdout-generator profiles and compare against development/calibration results with leakage checks.,proxy_or_support_blocked_not_acceptance
S10,not_supported_by_current_product,research_only,7,2,1,1,1,1,0,Run strategy on holdout-generator profiles and compare against development/calibration results with leakage checks.,proxy_or_support_blocked_not_acceptance
S11,not_supported_by_current_product,risk_filter_only,7,2,1,1,1,1,0,Run strategy on holdout-generator profiles and compare against development/calibration results with leakage checks.,proxy_or_support_blocked_not_acceptance
