execution_rank,gate_id,strategy_id,strategy_support_level,strategy_role,hardening_requirement,action_class,dependency_status,strategy_support_closure_status,realism_rerun_status,observed_realism_metric,quality_pass_rows,quality_warn_rows,quality_fail_rows,holdout_profiles,structural_ready_profiles,holdout_acceptance_eligible_profiles,feed_profiles,disconnect_profiles,holdout_generator_profiles_available,holdout_generator_profiles_present_in_proxy,holdout_status,stressed_profile_positive,all_profiles_positive,interpretable_negative_control_rows,passed_negative_control_rows,holdout_rerun_required,quality_gate_required,feed_imperfection_required,pessimistic_execution_required,artifact_control_required,acceptance_requirement_met_after_contract,blocking_gap_after_contract,required_realism_action,required_next_evidence
326,G03_robustness,S01,runnable_proxy,priority,holdout_generator_strategy_rerun,holdout_generator_strategy_rerun,proxy_to_upgrade,proxy_supported_requires_acceptance_upgrade,holdout_strategy_rerun_missing_acceptance_evidence,holdout_profiles=15; structural_ready_profiles=15; holdout_status=holdout_profiles_present_as_proxy_not_rerun_acceptance; acceptance_eligible_profiles=0,24,0,0,15,15,0,5,6,2,2,holdout_profiles_present_as_proxy_not_rerun_acceptance,False,False,27.0,18.0,True,False,False,False,False,False,Holdout/realism evidence remains structural or proxy-only; strategy reruns with full lifecycle execution are still required.,Run strategy on holdout-generator profiles and compare against development/calibration results with leakage checks.,Run strategies on holdout-generator outputs and compare against calibration/development results.
327,G03_robustness,S02,runnable_proxy,priority,holdout_generator_strategy_rerun,holdout_generator_strategy_rerun,proxy_to_upgrade,proxy_supported_requires_acceptance_upgrade,holdout_strategy_rerun_missing_acceptance_evidence,holdout_profiles=15; structural_ready_profiles=15; holdout_status=holdout_profiles_present_as_proxy_not_rerun_acceptance; acceptance_eligible_profiles=0,24,0,0,15,15,0,5,6,2,2,holdout_profiles_present_as_proxy_not_rerun_acceptance,False,False,0.0,0.0,True,False,False,False,False,False,Holdout/realism evidence remains structural or proxy-only; strategy reruns with full lifecycle execution are still required.,Run strategy on holdout-generator profiles and compare against development/calibration results with leakage checks.,Run strategies on holdout-generator outputs and compare against calibration/development results.
328,G03_robustness,S05,runnable_proxy,filter,holdout_generator_strategy_rerun,holdout_generator_strategy_rerun,proxy_to_upgrade,proxy_supported_requires_acceptance_upgrade,holdout_strategy_rerun_missing_acceptance_evidence,holdout_profiles=15; structural_ready_profiles=15; holdout_status=holdout_profiles_present_as_proxy_not_rerun_acceptance; acceptance_eligible_profiles=0,24,0,0,15,15,0,5,6,2,2,holdout_profiles_present_as_proxy_not_rerun_acceptance,False,False,27.0,18.0,True,False,False,False,False,False,Holdout/realism evidence remains structural or proxy-only; strategy reruns with full lifecycle execution are still required.,Run strategy on holdout-generator profiles and compare against development/calibration results with leakage checks.,Run strategies on holdout-generator outputs and compare against calibration/development results.
329,G03_robustness,S07,runnable_proxy,priority,holdout_generator_strategy_rerun,holdout_generator_strategy_rerun,proxy_to_upgrade,proxy_supported_requires_acceptance_upgrade,holdout_strategy_rerun_missing_acceptance_evidence,holdout_profiles=15; structural_ready_profiles=15; holdout_status=holdout_profiles_present_as_proxy_not_rerun_acceptance; acceptance_eligible_profiles=0,24,0,0,15,15,0,5,6,2,2,holdout_profiles_present_as_proxy_not_rerun_acceptance,False,False,0.0,0.0,True,False,False,False,False,False,Holdout/realism evidence remains structural or proxy-only; strategy reruns with full lifecycle execution are still required.,Run strategy on holdout-generator profiles and compare against development/calibration results with leakage checks.,Run strategies on holdout-generator outputs and compare against calibration/development results.
330,G03_robustness,S09,runnable_proxy,benchmark,holdout_generator_strategy_rerun,holdout_generator_strategy_rerun,proxy_to_upgrade,proxy_supported_requires_acceptance_upgrade,holdout_strategy_rerun_missing_acceptance_evidence,holdout_profiles=15; structural_ready_profiles=15; holdout_status=holdout_profiles_present_as_proxy_not_rerun_acceptance; acceptance_eligible_profiles=0,24,0,0,15,15,0,5,6,2,2,holdout_profiles_present_as_proxy_not_rerun_acceptance,False,False,0.0,0.0,True,False,False,False,False,False,Holdout/realism evidence remains structural or proxy-only; strategy reruns with full lifecycle execution are still required.,Run strategy on holdout-generator profiles and compare against development/calibration results with leakage checks.,Run strategies on holdout-generator outputs and compare against calibration/development results.
331,G03_robustness,S03,partial_missing_required_features,priority,holdout_generator_strategy_rerun,holdout_generator_strategy_rerun,proxy_to_upgrade,requires_feature_engineering,blocked_by_partial_strategy_support,holdout_profiles=15; structural_ready_profiles=15; holdout_status=holdout_profiles_present_as_proxy_not_rerun_acceptance; acceptance_eligible_profiles=0,24,0,0,15,15,0,5,6,2,2,holdout_profiles_present_as_proxy_not_rerun_acceptance,False,False,27.0,18.0,True,False,False,False,False,False,Support closure required first: Implement missing plan features for S03: explicit_depth_withdrawal_rate; aggressive_trade_flow; multi_level_sweep_labels.,Run strategy on holdout-generator profiles and compare against development/calibration results with leakage checks.,Run strategies on holdout-generator outputs and compare against calibration/development results.
332,G03_robustness,S04,partial_missing_required_features,priority,holdout_generator_strategy_rerun,holdout_generator_strategy_rerun,proxy_to_upgrade,requires_feature_engineering,blocked_by_partial_strategy_support,holdout_profiles=15; structural_ready_profiles=15; holdout_status=holdout_profiles_present_as_proxy_not_rerun_acceptance; acceptance_eligible_profiles=0,24,0,0,15,15,0,5,6,2,2,holdout_profiles_present_as_proxy_not_rerun_acceptance,False,False,0.0,0.0,True,False,False,False,False,False,Support closure required first: Implement missing plan features for S04: aggressive_trade_imbalance; absorption_label; exhaustion_label.,Run strategy on holdout-generator profiles and compare against development/calibration results with leakage checks.,Run strategies on holdout-generator outputs and compare against calibration/development results.
333,G03_robustness,S06,partial_missing_required_features,priority,holdout_generator_strategy_rerun,holdout_generator_strategy_rerun,proxy_to_upgrade,requires_feature_engineering,blocked_by_partial_strategy_support,holdout_profiles=15; structural_ready_profiles=15; holdout_status=holdout_profiles_present_as_proxy_not_rerun_acceptance; acceptance_eligible_profiles=0,24,0,0,15,15,0,5,6,2,2,holdout_profiles_present_as_proxy_not_rerun_acceptance,False,False,27.0,18.0,True,False,False,False,False,False,Support closure required first: Implement missing plan features for S06: signed_aggressive_flow; flow_reversal; replenishment_rate.,Run strategy on holdout-generator profiles and compare against development/calibration results with leakage checks.,Run strategies on holdout-generator outputs and compare against calibration/development results.
334,G03_robustness,S08,partial_missing_required_features,research,holdout_generator_strategy_rerun,holdout_generator_strategy_rerun,proxy_to_upgrade,requires_feature_engineering,blocked_by_partial_strategy_support,holdout_profiles=15; structural_ready_profiles=15; holdout_status=holdout_profiles_present_as_proxy_not_rerun_acceptance; acceptance_eligible_profiles=0,24,0,0,15,15,0,5,6,2,2,holdout_profiles_present_as_proxy_not_rerun_acceptance,False,False,0.0,0.0,True,False,False,False,False,False,Support closure required first: Implement missing plan features for S08: sector_mapping; leader_labels; timestamp_skew_simulations; explicit_lead_lag_scenarios.,Run strategy on holdout-generator profiles and compare against development/calibration results with leakage checks.,Run strategies on holdout-generator outputs and compare against calibration/development results.
335,G03_robustness,S10,not_supported_by_current_product,research_only,holdout_generator_strategy_rerun,holdout_generator_strategy_rerun,proxy_to_upgrade,requires_explicit_non_alpha_classification,blocked_by_unsupported_strategy_scope,holdout_profiles=15; structural_ready_profiles=15; holdout_status=holdout_proxy_not_present_for_strategy; acceptance_eligible_profiles=0,24,0,0,15,15,0,5,6,2,0,holdout_proxy_not_present_for_strategy,,,,,True,False,False,False,False,False,Support closure required first: Classify S10 as research-only/risk-filter-only or build a separate non-alpha registry path.,Run strategy on holdout-generator profiles and compare against development/calibration results with leakage checks.,Run strategies on holdout-generator outputs and compare against calibration/development results.
