gate_id,passed,observed_value,required_value,severity
P424_PHASE298_RAW_DENSE_PRESENT,True,raw_synthetic_l2_dense_full_year,raw_synthetic_l2_dense_full_year,hard
P424_FULL_DEPTH_SCHEMA_PRESENT,True,30,>=30,hard
P424_LEVELS_2_TO_5_REQUIRED,True,1,1,hard
P424_L1_ONLY_FORBIDDEN_AS_PRIMARY,True,0,0,hard
P424_NO_NET_EDGE_LIVE_MASK,True,0,0,hard
P424_PHASE423_PAIR_ROUTE_CLOSED,True,P423_PAIR_SPREAD_POSITIVE_LEAD_FALSIFIED_BY_REALISM_RETEST,P423_PAIR_SPREAD_POSITIVE_LEAD_FALSIFIED_BY_REALISM_RETEST,hard
P424_NO_SAME_FAMILY_TUNING,True,0,0,hard
P424_MATERIAL_NEW_QUEUE_DEPLETION,True,queue_depletion_continuation_not_pair_spread_not_market_making_not_bar_reversal,queue_depletion_not_pair,hard
P424_SYMBOL_CATALOG_FROZEN,True,32,>=5,hard
P424_FIXED_PARAMETERS_FROZEN,True,20,>=20,hard
P424_EXACT_FORWARD_TICK_REQUIREMENT_FROZEN,True,ticks=3;ms=250.0,ticks>=3;ms>=250,hard
P424_FULL_DEPTH_UNIQUE_GATE_FROZEN,True,5.0,>0,hard
P424_COST200_FIXED_CAPITAL_PINNED,True,cost=2.0;capital=1000000.0;order_notional=100000.0,cost200_fixed_capital,hard
P424_EXECUTION_HARD_GATES_PRECOMMITTED,True,18,18,hard
P424_RESULTS_NOT_GENERATED,True,0,0,hard
P424_FORBIDDEN_ROUTES_CLOSED,True,pair_spread_rescue;market_maker_rescue;passive_fill_rescue;bar_return_reversal_alone;post_result_threshold_tuning;promotion;paper_live;deployable_claim,closed_routes_listed,hard
P424_BOUNDARIES_CLOSED,True,promotion=0;paper=0;claim=0,all_zero,hard
